,PSKY
2017-01-18,63.4900016784668
2017-01-19,62.630001068115234
2017-01-20,63.4900016784668
2017-01-23,63.2599983215332
2017-01-24,62.97999954223633
2017-01-25,63.0
2017-01-26,64.16000366210938
2017-01-27,64.73999786376953
2017-01-30,64.4000015258789
2017-01-31,64.48999786376953
2017-02-01,64.5999984741211
2017-02-02,64.13999938964844
2017-02-03,64.1500015258789
2017-02-06,64.66999816894531
2017-02-07,64.47000122070312
2017-02-08,63.5099983215332
2017-02-09,64.37999725341797
2017-02-10,64.4000015258789
2017-02-13,65.30000305175781
2017-02-14,65.33000183105469
2017-02-15,65.23999786376953
2017-02-16,65.41999816894531
2017-02-17,65.69000244140625
2017-02-21,67.45999908447266
2017-02-22,67.12000274658203
2017-02-23,66.30999755859375
2017-02-24,66.97000122070312
2017-02-27,66.2300033569336
2017-02-28,65.91999816894531
2017-03-01,67.26000213623047
2017-03-02,67.1500015258789
2017-03-03,68.23999786376953
2017-03-06,67.98999786376953
2017-03-07,67.94000244140625
2017-03-08,68.01000213623047
2017-03-09,67.69999694824219
2017-03-10,67.41000366210938
2017-03-13,67.91000366210938
2017-03-14,68.01000213623047
2017-03-15,68.18000030517578
2017-03-16,67.30000305175781
2017-03-17,66.94999694824219
2017-03-20,66.91000366210938
2017-03-21,65.97000122070312
2017-03-22,66.12000274658203
2017-03-23,66.7300033569336
2017-03-24,66.9000015258789
2017-03-27,67.48999786376953
2017-03-28,67.7699966430664
2017-03-29,68.25
2017-03-30,69.33999633789062
2017-03-31,69.36000061035156
2017-04-03,68.86000061035156
2017-04-04,69.19999694824219
2017-04-05,69.51000213623047
2017-04-06,68.87999725341797
2017-04-07,68.66999816894531
2017-04-10,68.22000122070312
2017-04-11,68.02999877929688
2017-04-12,67.16000366210938
2017-04-13,66.45999908447266
2017-04-17,67.18000030517578
2017-04-18,68.38999938964844
2017-04-19,68.56999969482422
2017-04-20,68.66999816894531
2017-04-21,66.83999633789062
2017-04-24,65.94999694824219
2017-04-25,66.41000366210938
2017-04-26,66.91000366210938
2017-04-27,66.33999633789062
2017-04-28,66.55999755859375
2017-05-01,66.6500015258789
2017-05-02,65.66000366210938
2017-05-03,63.459999084472656
2017-05-04,63.849998474121094
2017-05-05,65.19999694824219
2017-05-08,63.369998931884766
2017-05-09,63.560001373291016
2017-05-10,62.529998779296875
2017-05-11,62.75
2017-05-12,62.20000076293945
2017-05-15,62.08000183105469
2017-05-16,61.20000076293945
2017-05-17,60.380001068115234
2017-05-18,60.380001068115234
2017-05-19,61.65999984741211
2017-05-22,62.04999923706055
2017-05-23,61.470001220703125
2017-05-24,61.61000061035156
2017-05-25,61.599998474121094
2017-05-26,61.56999969482422
2017-05-30,61.52000045776367
2017-05-31,61.11000061035156
2017-06-01,61.72999954223633
2017-06-02,61.29999923706055
2017-06-05,60.34000015258789
2017-06-06,60.869998931884766
2017-06-07,61.16999816894531
2017-06-08,60.349998474121094
2017-06-09,60.709999084472656
2017-06-12,62.650001525878906
2017-06-13,61.849998474121094
2017-06-14,60.7400016784668
2017-06-15,61.5099983215332
2017-06-16,62.22999954223633
2017-06-19,62.2400016784668
2017-06-20,60.65999984741211
2017-06-21,62.529998779296875
2017-06-22,62.54999923706055
2017-06-23,63.61000061035156
2017-06-26,64.36000061035156
2017-06-27,64.0199966430664
2017-06-28,65.1500015258789
2017-06-29,63.54999923706055
2017-06-30,63.779998779296875
2017-07-03,64.16000366210938
2017-07-05,63.27000045776367
2017-07-06,62.06999969482422
2017-07-07,62.810001373291016
2017-07-10,63.70000076293945
2017-07-11,63.77000045776367
2017-07-12,63.369998931884766
2017-07-13,63.09000015258789
2017-07-14,63.95000076293945
2017-07-17,64.5999984741211
2017-07-18,64.19999694824219
2017-07-19,64.9800033569336
2017-07-20,65.86000061035156
2017-07-21,65.83000183105469
2017-07-24,66.26000213623047
2017-07-25,66.08000183105469
2017-07-26,66.62000274658203
2017-07-27,67.55999755859375
2017-07-28,67.43000030517578
2017-07-31,65.83000183105469
2017-08-01,66.08000183105469
2017-08-02,64.80999755859375
2017-08-03,64.83000183105469
2017-08-04,63.619998931884766
2017-08-07,64.5199966430664
2017-08-08,65.69999694824219
2017-08-09,65.3499984741211
2017-08-10,66.19000244140625
2017-08-11,66.70999908447266
2017-08-14,66.27999877929688
2017-08-15,66.69999694824219
2017-08-16,66.5199966430664
2017-08-17,65.69000244140625
2017-08-18,64.80000305175781
2017-08-21,65.01000213623047
2017-08-22,65.6500015258789
2017-08-23,64.72000122070312
2017-08-24,63.97999954223633
2017-08-25,63.88999938964844
2017-08-28,63.75
2017-08-29,63.27000045776367
2017-08-30,64.51000213623047
2017-08-31,64.05999755859375
2017-09-01,64.33999633789062
2017-09-05,63.63999938964844
2017-09-06,61.97999954223633
2017-09-07,60.5
2017-09-08,59.41999816894531
2017-09-11,58.0
2017-09-12,58.81999969482422
2017-09-13,60.5099983215332
2017-09-14,58.150001525878906
2017-09-15,58.22999954223633
2017-09-18,57.720001220703125
2017-09-19,58.849998474121094
2017-09-20,59.04999923706055
2017-09-21,58.790000915527344
2017-09-22,59.22999954223633
2017-09-25,60.099998474121094
2017-09-26,58.0
2017-09-27,58.209999084472656
2017-09-28,56.91999816894531
2017-09-29,58.0
2017-10-02,58.54999923706055
2017-10-03,58.88999938964844
2017-10-04,59.970001220703125
2017-10-05,58.900001525878906
2017-10-06,58.29999923706055
2017-10-09,57.91999816894531
2017-10-10,57.38999938964844
2017-10-11,57.099998474121094
2017-10-12,56.5099983215332
2017-10-13,57.0
2017-10-16,56.900001525878906
2017-10-17,56.65999984741211
2017-10-18,56.959999084472656
2017-10-19,57.83000183105469
2017-10-20,58.91999816894531
2017-10-23,57.95000076293945
2017-10-24,56.939998626708984
2017-10-25,57.22999954223633
2017-10-26,57.040000915527344
2017-10-27,56.75
2017-10-30,56.119998931884766
2017-10-31,56.119998931884766
2017-11-01,56.189998626708984
2017-11-02,54.459999084472656
2017-11-03,55.400001525878906
2017-11-06,56.959999084472656
2017-11-07,57.61000061035156
2017-11-08,57.25
2017-11-09,58.08000183105469
2017-11-10,56.7400016784668
2017-11-13,55.91999816894531
2017-11-14,56.40999984741211
2017-11-15,56.040000915527344
2017-11-16,56.400001525878906
2017-11-17,56.7400016784668
2017-11-20,55.93000030517578
2017-11-21,56.7400016784668
2017-11-22,56.2400016784668
2017-11-24,56.540000915527344
2017-11-27,55.959999084472656
2017-11-28,54.7599983215332
2017-11-29,56.540000915527344
2017-11-30,56.060001373291016
2017-12-01,57.11000061035156
2017-12-04,60.099998474121094
2017-12-05,58.099998474121094
2017-12-06,57.43000030517578
2017-12-07,57.20000076293945
2017-12-08,57.470001220703125
2017-12-11,57.68000030517578
2017-12-12,57.970001220703125
2017-12-13,57.16999816894531
2017-12-14,58.130001068115234
2017-12-15,58.900001525878906
2017-12-18,59.0
2017-12-19,59.459999084472656
2017-12-20,60.08000183105469
2017-12-21,60.529998779296875
2017-12-22,60.16999816894531
2017-12-26,60.189998626708984
2017-12-27,59.290000915527344
2017-12-28,59.2599983215332
2017-12-29,59.0
2018-01-02,59.16999816894531
2018-01-03,59.20000076293945
2018-01-04,58.0
2018-01-05,57.58000183105469
2018-01-08,56.7599983215332
2018-01-09,55.9900016784668
2018-01-10,56.65999984741211
2018-01-11,57.779998779296875
2018-01-12,58.83000183105469
2018-01-16,59.43000030517578
2018-01-17,58.900001525878906
2018-01-18,60.0
2018-01-19,57.75
2018-01-22,58.25
2018-01-23,57.52000045776367
2018-01-24,59.22999954223633
2018-01-25,59.27000045776367
2018-01-26,60.0
2018-01-29,58.72999954223633
2018-01-30,58.400001525878906
2018-01-31,57.61000061035156
2018-02-01,58.93000030517578
2018-02-02,55.400001525878906
2018-02-05,54.08000183105469
2018-02-06,53.810001373291016
2018-02-07,53.439998626708984
2018-02-08,51.79999923706055
2018-02-09,52.7599983215332
2018-02-12,53.15999984741211
2018-02-13,54.66999816894531
2018-02-14,55.849998474121094
2018-02-15,56.7400016784668
2018-02-16,55.38999938964844
2018-02-20,56.25
2018-02-21,55.380001068115234
2018-02-22,54.31999969482422
2018-02-23,55.119998931884766
2018-02-26,55.68000030517578
2018-02-27,54.150001525878906
2018-02-28,52.970001220703125
2018-03-01,52.11000061035156
2018-03-02,53.31999969482422
2018-03-05,53.40999984741211
2018-03-06,53.22999954223633
2018-03-07,52.11000061035156
2018-03-08,52.65999984741211
2018-03-09,52.18000030517578
2018-03-12,52.290000915527344
2018-03-13,51.900001525878906
2018-03-14,51.27000045776367
2018-03-15,51.040000915527344
2018-03-16,50.95000076293945
2018-03-19,50.810001373291016
2018-03-20,50.2599983215332
2018-03-21,50.869998931884766
2018-03-22,50.2599983215332
2018-03-23,49.27000045776367
2018-03-26,51.689998626708984
2018-03-27,52.349998474121094
2018-03-28,51.880001068115234
2018-03-29,51.38999938964844
2018-04-02,50.709999084472656
2018-04-03,52.86000061035156
2018-04-04,53.790000915527344
2018-04-05,52.880001068115234
2018-04-06,52.84000015258789
2018-04-09,52.849998474121094
2018-04-10,52.119998931884766
2018-04-11,51.0099983215332
2018-04-12,50.060001373291016
2018-04-13,50.06999969482422
2018-04-16,50.900001525878906
2018-04-17,51.13999938964844
2018-04-18,51.16999816894531
2018-04-19,50.95000076293945
2018-04-20,49.33000183105469
2018-04-23,49.709999084472656
2018-04-24,49.95000076293945
2018-04-25,50.41999816894531
2018-04-26,50.029998779296875
2018-04-27,49.970001220703125
2018-04-30,49.20000076293945
2018-05-01,49.61000061035156
2018-05-02,48.9900016784668
2018-05-03,48.7400016784668
2018-05-04,53.16999816894531
2018-05-07,52.41999816894531
2018-05-08,51.27000045776367
2018-05-09,51.439998626708984
2018-05-10,52.31999969482422
2018-05-11,52.52000045776367
2018-05-14,53.650001525878906
2018-05-15,54.41999816894531
2018-05-16,53.83000183105469
2018-05-17,51.61000061035156
2018-05-18,51.75
2018-05-21,52.0
2018-05-22,51.52000045776367
2018-05-23,50.5099983215332
2018-05-24,50.599998474121094
2018-05-25,50.970001220703125
2018-05-29,50.27000045776367
2018-05-30,51.22999954223633
2018-05-31,50.369998931884766
2018-06-01,49.97999954223633
2018-06-04,50.11000061035156
2018-06-05,50.22999954223633
2018-06-06,50.63999938964844
2018-06-07,51.0099983215332
2018-06-08,51.130001068115234
2018-06-11,51.9900016784668
2018-06-12,52.380001068115234
2018-06-13,54.2599983215332
2018-06-14,55.119998931884766
2018-06-15,56.11000061035156
2018-06-18,56.310001373291016
2018-06-19,56.459999084472656
2018-06-20,58.20000076293945
2018-06-21,56.400001525878906
2018-06-22,56.70000076293945
2018-06-25,56.2400016784668
2018-06-26,55.86000061035156
2018-06-27,55.709999084472656
2018-06-28,56.130001068115234
2018-06-29,56.220001220703125
2018-07-02,55.97999954223633
2018-07-03,55.63999938964844
2018-07-05,56.900001525878906
2018-07-06,58.150001525878906
2018-07-09,58.369998931884766
2018-07-10,58.7400016784668
2018-07-11,59.29999923706055
2018-07-12,59.119998931884766
2018-07-13,59.0099983215332
2018-07-16,58.83000183105469
2018-07-17,58.02000045776367
2018-07-18,58.220001220703125
2018-07-19,57.439998626708984
2018-07-20,57.22999954223633
2018-07-23,56.869998931884766
2018-07-24,56.65999984741211
2018-07-25,57.310001373291016
2018-07-26,57.529998779296875
2018-07-27,54.0099983215332
2018-07-30,51.279998779296875
2018-07-31,52.66999816894531
2018-08-01,52.54999923706055
2018-08-02,52.720001220703125
2018-08-03,53.15999984741211
2018-08-06,52.849998474121094
2018-08-07,53.220001220703125
2018-08-08,53.15999984741211
2018-08-09,53.56999969482422
2018-08-10,52.52000045776367
2018-08-13,52.209999084472656
2018-08-14,52.56999969482422
2018-08-15,52.79999923706055
2018-08-16,52.97999954223633
2018-08-17,53.220001220703125
2018-08-20,53.560001373291016
2018-08-21,53.970001220703125
2018-08-22,53.380001068115234
2018-08-23,52.880001068115234
2018-08-24,53.099998474121094
2018-08-27,53.65999984741211
2018-08-28,53.38999938964844
2018-08-29,53.88999938964844
2018-08-30,53.0099983215332
2018-08-31,53.02000045776367
2018-09-04,52.59000015258789
2018-09-05,52.95000076293945
2018-09-06,54.619998931884766
2018-09-07,56.060001373291016
2018-09-10,55.20000076293945
2018-09-11,55.400001525878906
2018-09-12,55.13999938964844
2018-09-13,56.209999084472656
2018-09-14,55.849998474121094
2018-09-17,56.279998779296875
2018-09-18,55.66999816894531
2018-09-19,55.970001220703125
2018-09-20,56.70000076293945
2018-09-21,56.7400016784668
2018-09-24,56.58000183105469
2018-09-25,56.54999923706055
2018-09-26,56.5
2018-09-27,56.54999923706055
2018-09-28,57.45000076293945
2018-10-01,55.7599983215332
2018-10-02,56.5099983215332
