,J
2016-12-23,48.13188171386719
2016-12-27,48.36348342895508
2016-12-28,47.55287551879883
2016-12-29,47.379173278808594
2016-12-30,47.1475715637207
2017-01-03,48.09879684448242
2017-01-04,48.61989974975586
2017-01-05,48.43792724609375
2017-01-06,47.95817947387695
2017-01-09,46.93251419067383
2017-01-10,47.38744735717773
2017-01-11,47.40398788452149
2017-01-12,47.47016143798828
2017-01-13,48.1070671081543
2017-01-17,47.15584182739258
2017-01-18,47.99126434326172
2017-01-19,47.65213394165039
2017-01-20,47.46188735961914
2017-01-23,47.246829986572266
2017-01-24,49.72827911376953
2017-01-25,51.1757926940918
2017-01-26,50.638145446777344
2017-01-27,49.926795959472656
2017-01-30,49.11619186401367
2017-01-31,48.42965316772461
2017-02-01,48.66952896118164
2017-02-02,48.55372619628906
2017-02-03,48.98384475708008
2017-02-06,48.95075988769531
2017-02-07,48.63644409179688
2017-02-08,46.84152603149414
2017-02-09,46.71745300292969
2017-02-10,47.47843170166016
2017-02-13,47.51979064941406
2017-02-14,47.5859603881836
2017-02-15,48.23941040039063
2017-02-16,48.82668685913086
2017-02-17,47.65213394165039
2017-02-21,48.13188171386719
2017-02-22,46.98214340209961
2017-02-23,46.40313720703125
2017-02-24,46.3452377319336
2017-02-27,47.18893051147461
2017-02-28,46.65955352783203
2017-03-01,47.594234466552734
2017-03-02,46.98214340209961
2017-03-03,46.71745300292969
2017-03-06,46.66782379150391
2017-03-07,46.74226760864258
2017-03-08,46.88288497924805
2017-03-09,46.212890625
2017-03-10,46.66782379150391
2017-03-13,46.68436813354492
2017-03-14,45.948204040527344
2017-03-15,46.593379974365234
2017-03-16,46.212890625
2017-03-17,45.87376022338867
2017-03-20,45.8654899597168
2017-03-21,45.10451126098633
2017-03-22,45.31129837036133
2017-03-23,45.29475402832031
2017-03-24,44.77365112304688
2017-03-27,44.41797637939453
2017-03-28,44.823280334472656
2017-03-29,45.584259033203125
2017-03-30,45.766231536865234
2017-03-31,45.72487258911133
2017-04-03,45.22031021118164
2017-04-04,45.22031021118164
2017-04-05,44.92253875732422
2017-04-06,45.14586639404297
2017-04-07,45.08796691894531
2017-04-10,45.443641662597656
2017-04-11,45.17068099975586
2017-04-12,43.92995834350586
2017-04-13,43.81415557861328
2017-04-17,44.21118927001953
2017-04-18,44.36834716796875
2017-04-19,44.56686401367188
2017-04-20,44.40143203735352
2017-04-21,44.2856330871582
