,EVRG
2019-01-04,55.88999938964844
2019-01-07,55.95000076293945
2019-01-08,56.61000061035156
2019-01-09,56.060001373291016
2019-01-10,56.86000061035156
2019-01-11,56.470001220703125
2019-01-14,56.040000915527344
2019-01-15,56.34999847412109
2019-01-16,56.290000915527344
2019-01-17,56.59999847412109
2019-01-18,56.65999984741211
2019-01-22,56.810001373291016
2019-01-23,56.91999816894531
2019-01-24,57.13999938964844
2019-01-25,56.77999877929688
2019-01-28,56.709999084472656
2019-01-29,56.52000045776367
2019-01-30,56.70000076293945
2019-01-31,57.31999969482422
2019-02-01,57.220001220703125
2019-02-04,57.41999816894531
2019-02-05,57.43999862670898
2019-02-06,57.209999084472656
2019-02-07,57.63999938964844
2019-02-08,58.09999847412109
2019-02-11,58.06999969482422
2019-02-12,58.29999923706055
2019-02-13,58.45000076293945
2019-02-14,58.41999816894531
2019-02-15,58.77000045776367
2019-02-19,59.290000915527344
2019-02-20,59.38999938964844
2019-02-21,59.869998931884766
2019-02-22,55.4900016784668
2019-02-25,55.63999938964844
2019-02-26,55.790000915527344
2019-02-27,55.4900016784668
2019-02-28,55.90999984741211
2019-03-01,55.02999877929688
2019-03-04,55.27000045776367
2019-03-05,55.08000183105469
2019-03-06,54.84000015258789
2019-03-07,55.38999938964844
2019-03-08,55.7599983215332
2019-03-11,56.34999847412109
2019-03-12,56.72999954223633
2019-03-13,56.93000030517578
2019-03-14,57.119998931884766
2019-03-15,57.66999816894531
2019-03-18,56.869998931884766
2019-03-19,56.43000030517578
2019-03-20,56.5
2019-03-21,57.34000015258789
2019-03-22,58.0
2019-03-25,57.79999923706055
2019-03-26,58.45000076293945
2019-03-27,58.150001525878906
2019-03-28,57.95000076293945
2019-03-29,58.04999923706055
2019-04-01,57.43000030517578
2019-04-02,57.5
2019-04-03,57.31999969482422
2019-04-04,56.56999969482422
2019-04-05,57.31999969482422
2019-04-08,57.11000061035156
2019-04-09,57.27999877929688
2019-04-10,57.15999984741211
2019-04-11,57.40999984741211
2019-04-12,57.720001220703125
2019-04-15,57.790000915527344
2019-04-16,57.06999969482422
2019-04-17,56.810001373291016
2019-04-18,56.56999969482422
2019-04-22,56.40999984741211
2019-04-23,56.54999923706055
2019-04-24,57.08000183105469
2019-04-25,57.18999862670898
2019-04-26,57.15999984741211
2019-04-29,56.970001220703125
2019-04-30,57.81999969482422
2019-05-01,57.43000030517578
2019-05-02,57.540000915527344
2019-05-03,57.59999847412109
2019-05-06,57.66999816894531
2019-05-07,57.61000061035156
2019-05-08,57.11000061035156
2019-05-09,56.93999862670898
2019-05-10,58.119998931884766
2019-05-13,58.38999938964844
2019-05-14,58.02000045776367
2019-05-15,58.209999084472656
2019-05-16,58.369998931884766
2019-05-17,58.70000076293945
2019-05-20,58.68000030517578
2019-05-21,58.7599983215332
2019-05-22,58.9900016784668
2019-05-23,59.43999862670898
2019-05-24,59.40999984741211
2019-05-28,58.77999877929688
2019-05-29,57.959999084472656
2019-05-30,57.959999084472656
2019-05-31,58.13999938964844
2019-06-03,59.02000045776367
2019-06-04,58.63999938964844
2019-06-05,59.959999084472656
2019-06-06,60.5099983215332
2019-06-07,60.47999954223633
