,DPZ
2021-03-18,363.8200073242188
2021-03-19,363.7000122070313
2021-03-22,369.3200073242188
2021-03-23,374.4200134277344
2021-03-24,366.2200012207031
2021-03-25,367.6000061035156
2021-03-26,371.8399963378906
2021-03-29,372.0799865722656
2021-03-30,368.1300048828125
2021-03-31,367.7900085449219
2021-04-01,373.3800048828125
2021-04-05,371.6400146484375
2021-04-06,380.6799926757813
2021-04-07,382.2999877929688
2021-04-08,383.9200134277344
2021-04-09,390.3500061035156
2021-04-12,390.6199951171875
2021-04-13,394.9299926757813
2021-04-14,390.6400146484375
2021-04-15,392.989990234375
2021-04-16,394.8299865722656
2021-04-19,397.9599914550781
2021-04-20,398.0499877929688
2021-04-21,394.7999877929688
2021-04-22,398.760009765625
2021-04-23,397.7099914550781
2021-04-26,400.2099914550781
2021-04-27,401.0299987792969
2021-04-28,403.9500122070313
2021-04-29,415.9800109863281
2021-04-30,422.3399963378906
2021-05-03,433.5899963378906
2021-05-04,433.989990234375
2021-05-05,431.8900146484375
2021-05-06,430.0299987792969
2021-05-07,432.4700012207031
2021-05-10,431.0700073242188
2021-05-11,422.3399963378906
2021-05-12,425.4400024414063
2021-05-13,422.3999938964844
2021-05-14,427.2900085449219
2021-05-17,432.8599853515625
2021-05-18,432.8599853515625
2021-05-19,431.9500122070313
2021-05-20,428.9400024414063
2021-05-21,427.6499938964844
2021-05-24,420.8999938964844
2021-05-25,421.0400085449219
2021-05-26,420.6900024414063
2021-05-27,423.9700012207031
2021-05-28,426.8699951171875
2021-06-01,423.0
2021-06-02,426.2000122070313
2021-06-03,425.1199951171875
2021-06-04,431.1400146484375
2021-06-07,437.9200134277344
2021-06-08,443.3599853515625
2021-06-09,442.7099914550781
2021-06-10,448.4299926757813
2021-06-11,452.9599914550781
2021-06-14,448.1600036621094
2021-06-15,445.760009765625
2021-06-16,447.5899963378906
2021-06-17,457.2000122070313
2021-06-18,460.1900024414063
2021-06-21,459.4599914550781
2021-06-22,459.8200073242188
2021-06-23,456.75
2021-06-24,459.80999755859375
2021-06-25,457.9800109863281
2021-06-28,463.5299987792969
2021-06-29,463.4500122070313
2021-06-30,466.489990234375
2021-07-01,466.0199890136719
2021-07-02,474.239990234375
2021-07-06,476.6099853515625
2021-07-07,478.1799926757813
2021-07-08,474.5499877929688
2021-07-09,477.55999755859375
2021-07-12,480.1099853515625
2021-07-13,485.6799926757813
2021-07-14,485.3200073242188
2021-07-15,484.8399963378906
2021-07-16,482.6799926757813
2021-07-19,478.489990234375
2021-07-20,474.9700012207031
2021-07-21,470.3699951171875
2021-07-22,538.8200073242188
2021-07-23,525.4500122070312
2021-07-26,534.3200073242188
2021-07-27,538.010009765625
2021-07-28,524.5700073242188
2021-07-29,526.1699829101562
2021-07-30,525.489990234375
2021-08-02,530.3599853515625
2021-08-03,540.469970703125
2021-08-04,536.6799926757812
2021-08-05,535.47998046875
2021-08-06,533.4400024414062
2021-08-09,529.469970703125
2021-08-10,518.9299926757812
2021-08-11,515.3300170898438
2021-08-12,516.47998046875
2021-08-13,517.02001953125
2021-08-16,513.1900024414062
2021-08-17,527.75
2021-08-18,525.6199951171875
2021-08-19,518.3200073242188
2021-08-20,509.5199890136719
2021-08-23,509.5199890136719
2021-08-24,501.5799865722656
2021-08-25,512.1400146484375
2021-08-26,510.5899963378906
2021-08-27,511.8699951171875
2021-08-30,517.25
2021-08-31,516.8900146484375
2021-09-01,515.4000244140625
2021-09-02,517.2899780273438
2021-09-03,514.5
2021-09-07,514.02001953125
2021-09-08,521.3699951171875
2021-09-09,516.1199951171875
2021-09-10,510.8699951171875
2021-09-13,511.1000061035156
2021-09-14,506.9599914550781
2021-09-15,505.55999755859375
2021-09-16,511.2099914550781
2021-09-17,503.5400085449219
2021-09-20,497.05999755859375
2021-09-21,498.1499938964844
2021-09-22,495.5199890136719
2021-09-23,492.80999755859375
2021-09-24,489.8399963378906
2021-09-27,487.2300109863281
2021-09-28,484.9100036621094
2021-09-29,483.0
2021-09-30,476.9599914550781
2021-10-01,475.0700073242188
2021-10-04,470.9100036621094
2021-10-05,474.6199951171875
2021-10-06,482.6600036621094
2021-10-07,482.7099914550781
2021-10-08,480.3200073242188
2021-10-11,479.4800109863281
2021-10-12,480.0499877929688
2021-10-13,476.2799987792969
2021-10-14,477.4800109863281
2021-10-15,454.9100036621094
2021-10-18,459.8999938964844
2021-10-19,465.3699951171875
2021-10-20,458.5799865722656
2021-10-21,467.9599914550781
2021-10-22,464.3299865722656
2021-10-25,466.239990234375
2021-10-26,465.7799987792969
2021-10-27,480.2699890136719
2021-10-28,479.3299865722656
2021-10-29,488.9700012207031
2021-11-01,487.3800048828125
2021-11-02,486.8699951171875
2021-11-03,485.260009765625
2021-11-04,509.3800048828125
2021-11-05,495.8800048828125
2021-11-08,496.6700134277344
2021-11-09,498.489990234375
2021-11-10,495.1499938964844
2021-11-11,506.9599914550781
2021-11-12,513.2999877929688
2021-11-15,517.3200073242188
2021-11-16,525.25
2021-11-17,531.47998046875
2021-11-18,536.8300170898438
2021-11-19,535.5900268554688
2021-11-22,533.3599853515625
2021-11-23,531.9099731445312
2021-11-24,533.97998046875
2021-11-26,529.8800048828125
2021-11-29,533.9500122070312
2021-11-30,524.1400146484375
2021-12-01,511.6499938964844
2021-12-02,525.0
2021-12-03,521.77001953125
2021-12-06,517.0800170898438
2021-12-07,537.4299926757812
2021-12-08,534.1699829101562
2021-12-09,530.2899780273438
2021-12-10,534.4199829101562
2021-12-13,537.3599853515625
2021-12-14,523.1500244140625
2021-12-15,523.9199829101562
2021-12-16,532.2000122070312
2021-12-17,528.3800048828125
2021-12-20,530.6099853515625
2021-12-21,529.9600219726562
2021-12-22,534.8300170898438
2021-12-23,545.8400268554688
2021-12-27,557.2100219726562
2021-12-28,557.77001953125
2021-12-29,562.4000244140625
2021-12-30,557.4099731445312
2021-12-31,564.3300170898438
2022-01-03,553.219970703125
2022-01-04,535.280029296875
2022-01-05,520.530029296875
2022-01-06,524.4099731445312
2022-01-07,508.4299926757813
2022-01-10,502.6499938964844
2022-01-11,486.4200134277344
2022-01-12,486.8900146484375
2022-01-13,481.3999938964844
2022-01-14,473.0400085449219
2022-01-18,466.4599914550781
2022-01-19,469.3900146484375
2022-01-20,452.2699890136719
2022-01-21,434.80999755859375
2022-01-24,456.239990234375
2022-01-25,436.3599853515625
2022-01-26,423.7000122070313
2022-01-27,429.5799865722656
2022-01-28,441.010009765625
2022-01-31,454.6499938964844
2022-02-01,458.2999877929688
2022-02-02,451.9400024414063
2022-02-03,443.7900085449219
2022-02-04,438.0700073242188
2022-02-07,434.3599853515625
2022-02-08,438.7300109863281
2022-02-09,444.760009765625
2022-02-10,438.5799865722656
2022-02-11,431.5199890136719
2022-02-14,430.7099914550781
2022-02-15,432.0
