,LII
2016-06-27,137.02999877929688
2016-06-28,138.30999755859375
2016-06-29,138.27999877929688
2016-06-30,142.60000610351562
2016-07-01,142.6999969482422
2016-07-05,142.64999389648438
2016-07-06,145.58999633789062
2016-07-07,144.3800048828125
2016-07-08,147.41000366210938
2016-07-11,147.2899932861328
2016-07-12,148.05999755859375
2016-07-13,148.14999389648438
2016-07-14,146.86000061035156
2016-07-15,148.0
2016-07-18,149.1999969482422
2016-07-19,150.9600067138672
2016-07-20,151.0
2016-07-21,150.19000244140625
2016-07-22,151.58999633789062
2016-07-25,152.0500030517578
2016-07-26,154.7100067138672
2016-07-27,156.83999633789062
2016-07-28,158.97000122070312
2016-07-29,156.8000030517578
2016-08-01,156.42999267578125
2016-08-02,155.07000732421875
2016-08-03,155.35000610351562
2016-08-04,156.36000061035156
2016-08-05,158.00999450683594
2016-08-08,158.72000122070312
2016-08-09,157.64999389648438
2016-08-10,158.3699951171875
2016-08-11,159.24000549316406
2016-08-12,158.72999572753906
2016-08-15,157.75999450683594
2016-08-16,156.07000732421875
2016-08-17,156.30999755859375
2016-08-18,157.42999267578125
2016-08-19,157.1999969482422
2016-08-22,158.47000122070312
2016-08-23,158.49000549316406
2016-08-24,158.75999450683594
2016-08-25,159.52999877929688
2016-08-26,159.2899932861328
2016-08-29,160.7100067138672
2016-08-30,162.17999267578125
2016-08-31,161.07000732421875
2016-09-01,162.77999877929688
2016-09-02,163.16000366210938
2016-09-06,162.24000549316406
2016-09-07,161.89999389648438
2016-09-08,162.1199951171875
2016-09-09,155.7100067138672
2016-09-12,156.5500030517578
2016-09-13,155.25
2016-09-14,155.4600067138672
2016-09-15,156.44000244140625
2016-09-16,155.35000610351562
2016-09-19,156.47000122070312
2016-09-20,156.05999755859375
2016-09-21,157.64999389648438
2016-09-22,158.80999755859375
2016-09-23,157.19000244140625
2016-09-26,156.97000122070312
2016-09-27,157.6999969482422
2016-09-28,157.5399932861328
2016-09-29,156.0800018310547
2016-09-30,157.02999877929688
2016-10-03,158.14999389648438
2016-10-04,159.1699981689453
2016-10-05,159.25
2016-10-06,162.38999938964844
2016-10-07,161.4499969482422
2016-10-10,162.97999572753906
2016-10-11,159.6999969482422
2016-10-12,159.1300048828125
2016-10-13,159.07000732421875
2016-10-14,157.6199951171875
2016-10-17,155.22000122070312
2016-10-18,151.7100067138672
2016-10-19,149.5
2016-10-20,148.91000366210938
2016-10-21,150.0500030517578
2016-10-24,149.72999572753906
2016-10-25,145.33999633789062
2016-10-26,145.6199951171875
2016-10-27,145.00999450683594
2016-10-28,146.4199981689453
2016-10-31,145.88999938964844
2016-11-01,144.32000732421875
2016-11-02,141.52999877929688
2016-11-03,142.57000732421875
2016-11-04,144.6199951171875
2016-11-07,145.08999633789062
2016-11-08,147.25999450683594
2016-11-09,146.47000122070312
2016-11-10,144.75999450683594
2016-11-11,146.86000061035156
2016-11-14,149.0500030517578
2016-11-15,151.13999938964844
2016-11-16,150.74000549316406
2016-11-17,153.9600067138672
2016-11-18,152.1999969482422
2016-11-21,153.1300048828125
2016-11-22,153.8699951171875
2016-11-23,152.97999572753906
2016-11-25,153.49000549316406
2016-11-28,150.69000244140625
2016-11-29,151.3000030517578
2016-11-30,148.6699981689453
2016-12-01,147.80999755859375
2016-12-02,148.27999877929688
2016-12-05,149.41000366210938
2016-12-06,153.1199951171875
2016-12-07,156.8800048828125
2016-12-08,157.0500030517578
2016-12-09,157.36000061035156
2016-12-12,156.27999877929688
2016-12-13,157.75
2016-12-14,160.1699981689453
2016-12-15,157.3000030517578
2016-12-16,157.19000244140625
2016-12-19,156.9199981689453
2016-12-20,157.47000122070312
2016-12-21,158.67999267578125
2016-12-22,156.1199951171875
2016-12-23,156.27999877929688
2016-12-27,157.5
2016-12-28,154.94000244140625
2016-12-29,155.38999938964844
2016-12-30,153.1699981689453
2017-01-03,153.6699981689453
2017-01-04,154.97999572753906
2017-01-05,153.22999572753906
2017-01-06,151.91000366210938
2017-01-09,150.5
2017-01-10,150.25
2017-01-11,151.32000732421875
2017-01-12,148.50999450683594
2017-01-13,149.3800048828125
2017-01-17,151.02999877929688
2017-01-18,151.41000366210938
2017-01-19,151.33999633789062
2017-01-20,151.77999877929688
2017-01-23,151.0800018310547
2017-01-24,156.1199951171875
2017-01-25,158.0
2017-01-26,155.97999572753906
2017-01-27,156.77000427246094
2017-01-30,156.5800018310547
2017-01-31,156.80999755859375
2017-02-01,157.19000244140625
2017-02-02,155.41000366210938
2017-02-03,157.25
2017-02-06,157.33999633789062
2017-02-07,160.3000030517578
2017-02-08,163.3300018310547
2017-02-09,163.9499969482422
2017-02-10,163.24000549316406
2017-02-13,161.11000061035156
2017-02-14,160.16000366210938
2017-02-15,159.32000732421875
2017-02-16,167.7100067138672
2017-02-17,162.52999877929688
2017-02-21,165.08999633789062
2017-02-22,164.02999877929688
2017-02-23,164.52999877929688
2017-02-24,165.94000244140625
2017-02-27,167.22999572753906
2017-02-28,164.6199951171875
2017-03-01,167.49000549316406
2017-03-02,167.3300018310547
2017-03-03,167.61000061035156
2017-03-06,166.52000427246094
2017-03-07,165.75
2017-03-08,165.5
2017-03-09,166.5399932861328
2017-03-10,167.3000030517578
2017-03-13,168.39999389648438
2017-03-14,168.4199981689453
2017-03-15,171.66000366210938
2017-03-16,172.11000061035156
2017-03-17,172.02999877929688
2017-03-20,171.64999389648438
2017-03-21,168.64999389648438
2017-03-22,169.94000244140625
2017-03-23,170.60000610351562
2017-03-24,169.63999938964844
2017-03-27,169.99000549316406
2017-03-28,169.60000610351562
2017-03-29,168.69000244140625
2017-03-30,168.22999572753906
2017-03-31,167.3000030517578
2017-04-03,166.36000061035156
2017-04-04,165.8699951171875
2017-04-05,164.49000549316406
2017-04-06,165.25
2017-04-07,164.61000061035156
2017-04-10,166.33999633789062
2017-04-11,167.89999389648438
2017-04-12,165.47000122070312
2017-04-13,165.22999572753906
2017-04-17,167.32000732421875
2017-04-18,167.11000061035156
2017-04-19,167.7899932861328
2017-04-20,169.30999755859375
2017-04-21,172.42999267578125
2017-04-24,168.32000732421875
2017-04-25,168.8699951171875
2017-04-26,167.47000122070312
2017-04-27,168.27000427246094
2017-04-28,165.38999938964844
2017-05-01,166.47999572753906
2017-05-02,165.4600067138672
2017-05-03,166.6999969482422
2017-05-04,167.86000061035156
2017-05-05,167.85000610351562
2017-05-08,167.00999450683594
2017-05-09,166.9499969482422
2017-05-10,168.22999572753906
2017-05-11,167.58999633789062
2017-05-12,166.17999267578125
2017-05-15,167.8800048828125
2017-05-16,172.02000427246094
2017-05-17,171.30999755859375
2017-05-18,171.6999969482422
2017-05-19,175.49000549316406
2017-05-22,175.69000244140625
2017-05-23,175.3800048828125
2017-05-24,175.57000732421875
2017-05-25,176.14999389648438
2017-05-26,175.08999633789062
2017-05-30,175.57000732421875
2017-05-31,177.10000610351562
2017-06-01,177.80999755859375
2017-06-02,178.8699951171875
2017-06-05,179.08999633789062
2017-06-06,177.7100067138672
2017-06-07,178.75
2017-06-08,178.4199981689453
2017-06-09,178.66000366210938
2017-06-12,181.4900054931641
2017-06-13,184.5500030517578
2017-06-14,186.3999938964844
2017-06-15,187.72000122070312
2017-06-16,188.6100006103516
2017-06-19,191.0500030517578
2017-06-20,191.25
2017-06-21,191.8699951171875
2017-06-22,188.69000244140625
2017-06-23,187.6100006103516
2017-06-26,186.5599975585937
2017-06-27,184.259994506836
2017-06-28,184.5
2017-06-29,183.44000244140625
2017-06-30,183.63999938964844
2017-07-03,183.8699951171875
2017-07-05,185.82000732421875
2017-07-06,183.91000366210932
2017-07-07,186.22000122070312
2017-07-10,184.6999969482422
2017-07-11,182.94000244140625
2017-07-12,183.8099975585937
2017-07-13,183.91000366210932
2017-07-14,183.77999877929688
2017-07-17,184.32000732421875
2017-07-18,183.9199981689453
2017-07-19,184.42999267578125
2017-07-20,182.57000732421875
2017-07-21,182.41000366210932
2017-07-24,176.33999633789062
2017-07-25,171.9600067138672
2017-07-26,169.9199981689453
2017-07-27,172.08999633789062
2017-07-28,171.02000427246094
2017-07-31,171.0
2017-08-01,171.08999633789062
2017-08-02,171.9499969482422
2017-08-03,172.39999389648438
2017-08-04,172.27999877929688
2017-08-07,173.3699951171875
2017-08-08,172.39999389648438
2017-08-09,171.5
2017-08-10,167.52999877929688
2017-08-11,167.3699951171875
2017-08-14,168.5399932861328
2017-08-15,167.9199981689453
2017-08-16,167.47999572753906
2017-08-17,165.11000061035156
2017-08-18,164.02000427246094
2017-08-21,164.3699951171875
2017-08-22,165.85000610351562
2017-08-23,163.52000427246094
2017-08-24,160.60000610351562
2017-08-25,161.85000610351562
2017-08-28,162.19000244140625
2017-08-29,161.24000549316406
2017-08-30,162.94000244140625
2017-08-31,165.72999572753906
2017-09-01,165.9600067138672
2017-09-05,166.13999938964844
2017-09-06,163.25
2017-09-07,163.19000244140625
2017-09-08,168.8699951171875
2017-09-11,168.60000610351562
2017-09-12,171.83999633789062
2017-09-13,167.47999572753906
2017-09-14,167.02000427246094
2017-09-15,167.52999877929688
2017-09-18,167.24000549316406
2017-09-19,165.8300018310547
2017-09-20,170.3699951171875
2017-09-21,171.67999267578125
2017-09-22,172.97000122070312
2017-09-25,170.5500030517578
2017-09-26,173.67999267578125
2017-09-27,173.3300018310547
2017-09-28,175.9199981689453
2017-09-29,178.97000122070312
2017-10-02,179.02000427246094
2017-10-03,180.1199951171875
2017-10-04,181.38999938964844
2017-10-05,181.52999877929688
2017-10-06,184.32000732421875
2017-10-09,184.1100006103516
2017-10-10,181.5
2017-10-11,180.2899932861328
2017-10-12,181.0800018310547
2017-10-13,181.2100067138672
2017-10-16,181.08999633789065
2017-10-17,180.19000244140625
2017-10-18,181.82000732421875
2017-10-19,179.38999938964844
2017-10-20,180.3000030517578
2017-10-23,193.42999267578125
2017-10-24,196.57000732421875
2017-10-25,193.22000122070312
2017-10-26,195.5500030517578
2017-10-27,193.33999633789065
2017-10-30,191.13999938964844
2017-10-31,191.1300048828125
2017-11-01,189.8699951171875
2017-11-02,189.8300018310547
2017-11-03,190.1699981689453
2017-11-06,191.27999877929688
2017-11-07,191.6499938964844
2017-11-08,193.1999969482422
2017-11-09,188.8999938964844
2017-11-10,188.7899932861328
2017-11-13,189.22999572753903
2017-11-14,190.33999633789065
2017-11-15,191.32000732421875
2017-11-16,195.0
2017-11-17,194.25
2017-11-20,194.8000030517578
2017-11-21,196.97999572753903
2017-11-22,196.1499938964844
2017-11-24,196.3999938964844
2017-11-27,196.3000030517578
2017-11-28,201.13999938964844
2017-11-29,203.8300018310547
2017-11-30,209.7400054931641
2017-12-01,208.3999938964844
2017-12-04,209.02999877929688
2017-12-05,206.6000061035156
2017-12-06,205.509994506836
2017-12-07,204.5500030517578
2017-12-08,206.66000366210932
2017-12-11,206.5
2017-12-12,206.67999267578125
2017-12-13,206.38999938964844
2017-12-14,204.1499938964844
2017-12-15,204.6699981689453
2017-12-18,206.97000122070312
2017-12-19,205.97000122070312
2017-12-20,207.47000122070312
2017-12-21,207.4499969482422
2017-12-22,205.6499938964844
2017-12-26,207.6000061035156
2017-12-27,208.5500030517578
2017-12-28,210.66000366210932
2017-12-29,208.259994506836
2018-01-02,207.1300048828125
2018-01-03,210.97999572753903
2018-01-04,210.97999572753903
2018-01-05,213.47999572753903
2018-01-08,214.13999938964844
2018-01-09,211.6699981689453
2018-01-10,204.9499969482422
2018-01-11,208.9499969482422
2018-01-12,210.67999267578125
2018-01-16,209.97999572753903
2018-01-17,211.1100006103516
2018-01-18,213.9900054931641
2018-01-19,216.47999572753903
2018-01-22,215.6199951171875
2018-01-23,215.42999267578125
2018-01-24,217.25
2018-01-25,219.5399932861328
2018-01-26,221.08999633789065
2018-01-29,220.9600067138672
2018-01-30,220.17999267578125
2018-01-31,217.91000366210932
2018-02-01,214.1699981689453
2018-02-02,209.9600067138672
2018-02-05,196.0
2018-02-06,197.8300018310547
2018-02-07,200.97999572753903
2018-02-08,193.0399932861328
2018-02-09,198.0599975585937
2018-02-12,201.8099975585937
2018-02-13,200.02999877929688
2018-02-14,203.72999572753903
2018-02-15,207.22999572753903
2018-02-16,205.7400054931641
2018-02-20,203.16000366210932
2018-02-21,202.6000061035156
2018-02-22,206.0800018310547
2018-02-23,209.7100067138672
2018-02-26,210.07000732421875
2018-02-27,207.57000732421875
2018-02-28,204.6300048828125
2018-03-01,196.32000732421875
2018-03-02,197.8600006103516
2018-03-05,199.1699981689453
2018-03-06,202.6300048828125
2018-03-07,204.27999877929688
2018-03-08,206.009994506836
2018-03-09,209.509994506836
2018-03-12,211.6199951171875
2018-03-13,212.2400054931641
2018-03-14,212.1999969482422
2018-03-15,211.44000244140625
2018-03-16,212.1100006103516
2018-03-19,208.77999877929688
2018-03-20,209.6100006103516
2018-03-21,211.2700042724609
2018-03-22,206.0500030517578
2018-03-23,202.6999969482422
2018-03-26,204.58999633789065
2018-03-27,201.82000732421875
2018-03-28,200.72999572753903
2018-03-29,204.3699951171875
2018-04-02,200.0200042724609
2018-04-03,204.0599975585937
2018-04-04,205.75
2018-04-05,205.1300048828125
2018-04-06,199.8999938964844
2018-04-09,199.0599975585937
2018-04-10,200.97999572753903
2018-04-11,199.57000732421875
2018-04-12,202.1100006103516
2018-04-13,198.7100067138672
2018-04-16,203.38999938964844
2018-04-17,205.8500061035156
2018-04-18,205.759994506836
2018-04-19,202.83999633789065
2018-04-20,197.0800018310547
2018-04-23,198.4900054931641
2018-04-24,189.27999877929688
2018-04-25,194.3300018310547
2018-04-26,196.3300018310547
2018-04-27,198.2400054931641
2018-04-30,193.3699951171875
2018-05-01,196.52999877929688
2018-05-02,193.1699981689453
2018-05-03,194.52999877929688
2018-05-04,199.5500030517578
2018-05-07,201.9199981689453
2018-05-08,203.8600006103516
2018-05-09,202.5200042724609
2018-05-10,204.259994506836
2018-05-11,204.57000732421875
2018-05-14,202.6000061035156
2018-05-15,199.1300048828125
2018-05-16,199.7100067138672
2018-05-17,203.1000061035156
2018-05-18,203.8600006103516
2018-05-21,206.66000366210932
2018-05-22,204.1000061035156
2018-05-23,205.83999633789065
2018-05-24,205.22000122070312
2018-05-25,207.32000732421875
2018-05-29,206.6300048828125
2018-05-30,207.6499938964844
2018-05-31,203.3099975585937
2018-06-01,204.77999877929688
2018-06-04,205.69000244140625
2018-06-05,206.97000122070312
2018-06-06,206.8699951171875
2018-06-07,209.6699981689453
2018-06-08,213.759994506836
2018-06-11,210.6199951171875
2018-06-12,212.3800048828125
2018-06-13,208.5500030517578
2018-06-14,211.5200042724609
2018-06-15,211.3300018310547
2018-06-18,209.259994506836
2018-06-19,205.9900054931641
2018-06-20,204.91000366210932
2018-06-21,201.9600067138672
2018-06-22,199.94000244140625
2018-06-25,198.1000061035156
2018-06-26,196.5
2018-06-27,193.8300018310547
2018-06-28,193.88999938964844
2018-06-29,200.1499938964844
2018-07-02,201.7899932861328
2018-07-03,202.0
2018-07-05,206.1699981689453
2018-07-06,206.5
2018-07-09,212.3800048828125
2018-07-10,212.8000030517578
2018-07-11,211.44000244140625
2018-07-12,214.57000732421875
2018-07-13,215.08999633789065
2018-07-16,212.5599975585937
2018-07-17,214.5200042724609
2018-07-18,214.66000366210932
2018-07-19,216.44000244140625
2018-07-20,216.22999572753903
2018-07-23,207.97999572753903
2018-07-24,209.38999938964844
2018-07-25,205.3300018310547
2018-07-26,209.66000366210932
2018-07-27,211.1199951171875
2018-07-30,213.4900054931641
2018-07-31,217.0800018310547
2018-08-01,213.9600067138672
2018-08-02,217.2400054931641
2018-08-03,217.8500061035156
2018-08-06,220.19000244140625
2018-08-07,219.8999938964844
2018-08-08,216.0800018310547
2018-08-09,216.97000122070312
2018-08-10,215.6199951171875
2018-08-13,213.58999633789065
2018-08-14,217.52999877929688
2018-08-15,222.0800018310547
2018-08-16,221.2700042724609
2018-08-17,222.66000366210932
2018-08-20,225.32000732421875
2018-08-21,222.13999938964844
2018-08-22,222.8099975585937
2018-08-23,221.1100006103516
2018-08-24,220.259994506836
2018-08-27,222.2100067138672
2018-08-28,223.9499969482422
2018-08-29,223.17999267578125
2018-08-30,223.3300018310547
2018-08-31,222.8099975585937
2018-09-04,224.3999938964844
2018-09-05,225.97000122070312
2018-09-06,225.82000732421875
2018-09-07,226.97999572753903
2018-09-10,225.0500030517578
2018-09-11,227.58999633789065
2018-09-12,227.6300048828125
2018-09-13,228.6199951171875
2018-09-14,226.08999633789065
2018-09-17,223.9600067138672
2018-09-18,223.4900054931641
2018-09-19,220.6499938964844
2018-09-20,219.9499969482422
2018-09-21,216.72000122070312
2018-09-24,216.1000061035156
2018-09-25,216.0599975585937
2018-09-26,216.97999572753903
2018-09-27,217.1699981689453
2018-09-28,218.3999938964844
