,TPL
2019-09-20,71.3499984741211
2019-09-23,72.54777526855469
2019-09-24,72.22222137451172
2019-09-25,71.87333679199219
2019-09-26,70.56111145019531
2019-09-27,70.23332977294922
2019-09-30,72.17444610595703
2019-10-01,70.12110900878906
2019-10-02,68.90555572509766
2019-10-03,69.21666717529297
2019-10-04,67.1544418334961
2019-10-07,67.26222229003906
2019-10-08,68.02889251708984
2019-10-09,66.72777557373047
2019-10-10,67.54666900634766
2019-10-11,67.79222106933594
2019-10-14,67.27999877929688
2019-10-15,67.33333587646484
2019-10-16,66.8455581665039
2019-10-17,66.1611099243164
2019-10-18,65.78778076171875
2019-10-21,66.53888702392578
2019-10-22,67.77777862548828
2019-10-23,68.6544418334961
2019-10-24,67.4044418334961
2019-10-25,67.45777893066406
2019-10-28,67.98999786376953
2019-10-29,65.27777862548828
2019-10-30,65.6977767944336
2019-10-31,63.22555541992188
2019-11-01,69.63333129882812
2019-11-04,70.77777862548828
2019-11-05,72.76667022705078
2019-11-06,70.93333435058594
2019-11-07,71.11111450195312
2019-11-08,71.66666412353516
2019-11-11,71.94889068603516
2019-11-12,71.86111450195312
2019-11-13,73.81888580322266
2019-11-14,72.33444213867188
2019-11-15,73.88888549804688
2019-11-18,73.89444732666016
2019-11-19,75.84889221191406
2019-11-20,76.6866683959961
2019-11-21,75.46778106689453
2019-11-22,74.44444274902344
2019-11-25,75.11111450195312
2019-11-26,74.13333129882812
2019-11-27,75.11000061035156
2019-11-29,74.9977798461914
2019-12-02,72.22222137451172
2019-12-03,71.73444366455078
2019-12-04,74.07111358642578
2019-12-05,74.04444122314453
2019-12-06,74.1722183227539
2019-12-09,74.32666778564453
2019-12-10,74.68777465820312
2019-12-11,75.0022201538086
2019-12-12,76.44444274902344
2019-12-13,75.98444366455078
2019-12-16,77.22777557373047
2019-12-17,78.11000061035156
2019-12-18,78.68000030517578
2019-12-19,80.98332977294922
2019-12-20,85.10221862792969
2019-12-23,87.0777816772461
2019-12-24,87.27333068847656
2019-12-26,87.24666595458984
2019-12-27,88.33777618408203
2019-12-30,87.59333038330078
2019-12-31,86.8022232055664
2020-01-02,86.12444305419922
2020-01-03,88.80000305175781
2020-01-06,88.88888549804688
2020-01-07,89.38888549804688
2020-01-08,91.0411148071289
2020-01-09,90.3544464111328
2020-01-10,89.91999816894531
2020-01-13,89.43333435058594
2020-01-14,88.8277816772461
2020-01-15,88.43555450439453
2020-01-16,88.32221984863281
2020-01-17,88.0955581665039
2020-01-21,86.8822250366211
2020-01-22,85.19999694824219
2020-01-23,84.33333587646484
2020-01-24,83.47000122070312
2020-01-27,81.68111419677734
2020-01-28,82.8388900756836
2020-01-29,82.44444274902344
2020-01-30,80.72222137451172
2020-01-31,83.96778106689453
2020-02-03,83.33333587646484
2020-02-04,86.67111206054688
2020-02-05,89.00777435302734
2020-02-06,89.2844467163086
2020-02-07,89.12222290039062
2020-02-10,86.38444519042969
2020-02-11,86.9000015258789
2020-02-12,87.52777862548828
2020-02-13,87.05555725097656
2020-02-14,85.5633316040039
2020-02-18,85.13111114501953
2020-02-19,85.88333129882812
2020-02-20,86.82333374023438
2020-02-21,85.0
2020-02-24,83.47000122070312
2020-02-25,80.55555725097656
2020-02-26,78.97666931152344
2020-02-27,75.35555267333984
2020-02-28,77.31111145019531
2020-03-02,76.74444580078125
2020-03-03,74.56444549560547
2020-03-04,74.78888702392578
2020-03-05,72.8677749633789
2020-03-06,69.11111450195312
2020-03-09,51.91222381591797
2020-03-10,58.55555725097656
2020-03-11,50.77888870239258
2020-03-12,45.55666732788086
2020-03-13,48.5444450378418
2020-03-16,45.55666732788086
2020-03-17,40.91777801513672
2020-03-18,34.54888916015625
2020-03-19,39.34222030639648
2020-03-20,39.206668853759766
2020-03-23,34.2599983215332
2020-03-24,43.21555709838867
2020-03-25,41.66666793823242
2020-03-26,41.11222076416016
2020-03-27,42.14444351196289
2020-03-30,43.33555603027344
2020-03-31,42.223331451416016
2020-04-01,41.83555603027344
2020-04-02,46.89666748046875
2020-04-03,50.87444305419922
2020-04-06,52.78111267089844
2020-04-07,50.782222747802734
2020-04-08,52.33666610717773
2020-04-09,57.026668548583984
2020-04-13,57.23333358764648
2020-04-14,59.50333404541016
2020-04-15,57.22444534301758
2020-04-16,56.61777877807617
2020-04-17,56.95777893066406
2020-04-20,55.83333206176758
2020-04-21,51.46222305297852
2020-04-22,55.473331451416016
2020-04-23,54.856666564941406
2020-04-24,55.424442291259766
2020-04-27,57.106666564941406
2020-04-28,57.72777938842773
2020-04-29,62.22777938842773
2020-04-30,63.2944450378418
2020-05-01,56.473331451416016
2020-05-04,59.258888244628906
2020-05-05,57.3488883972168
2020-05-06,54.56888961791992
2020-05-07,54.78111267089844
2020-05-08,57.95000076293945
2020-05-11,57.79888916015625
2020-05-12,58.223331451416016
2020-05-13,56.856666564941406
2020-05-14,57.774444580078125
2020-05-15,58.261112213134766
2020-05-18,61.48444366455078
2020-05-19,61.206668853759766
2020-05-20,64.97888946533203
2020-05-21,64.28221893310547
2020-05-22,64.01333618164062
2020-05-26,65.32111358642578
2020-05-27,65.29666900634766
2020-05-28,66.77666473388672
2020-05-29,65.1544418334961
2020-06-01,66.11444091796875
2020-06-02,68.01333618164062
2020-06-03,68.88444519042969
2020-06-04,69.445556640625
2020-06-05,73.86666870117188
2020-06-08,78.28778076171875
2020-06-09,74.0
2020-06-10,71.66555786132812
2020-06-11,63.924442291259766
2020-06-12,69.66666412353516
2020-06-15,69.50777435302734
2020-06-16,71.2611083984375
