,LHX
2018-10-31,148.7100067138672
2018-11-01,150.00999450683594
2018-11-02,147.02999877929688
2018-11-05,149.5500030517578
2018-11-06,150.55999755859375
2018-11-07,153.08999633789062
2018-11-08,151.50999450683594
2018-11-09,153.13999938964844
2018-11-12,148.6999969482422
2018-11-13,150.42999267578125
2018-11-14,149.41000366210938
2018-11-15,151.02999877929688
2018-11-16,150.91000366210938
2018-11-19,148.10000610351562
2018-11-20,146.49000549316406
2018-11-21,144.7899932861328
2018-11-23,145.1699981689453
2018-11-26,145.75999450683594
2018-11-27,140.77999877929688
2018-11-28,143.60000610351562
2018-11-29,143.1300048828125
2018-11-30,142.9499969482422
2018-12-03,142.8000030517578
2018-12-04,139.0399932861328
2018-12-06,139.75
2018-12-07,139.39999389648438
2018-12-10,143.4499969482422
2018-12-11,144.97999572753906
2018-12-12,147.02000427246094
2018-12-13,148.44000244140625
2018-12-14,148.47000122070312
2018-12-17,145.91000366210938
2018-12-18,142.9499969482422
2018-12-19,138.4600067138672
2018-12-20,134.5399932861328
2018-12-21,128.61000061035156
2018-12-24,127.26000213623048
2018-12-26,128.22999572753906
2018-12-27,131.63999938964844
2018-12-28,131.17999267578125
2018-12-31,134.64999389648438
2019-01-02,133.13999938964844
2019-01-03,130.0500030517578
2019-01-04,132.9199981689453
2019-01-07,133.7899932861328
2019-01-08,133.74000549316406
2019-01-09,133.36000061035156
2019-01-10,134.88999938964844
2019-01-11,136.91000366210938
2019-01-14,138.0399932861328
2019-01-15,138.7899932861328
2019-01-16,136.57000732421875
2019-01-17,138.64999389648438
2019-01-18,142.77999877929688
2019-01-22,139.25
2019-01-23,142.1199951171875
2019-01-24,141.92999267578125
2019-01-25,143.47999572753906
2019-01-28,142.69000244140625
2019-01-29,155.22000122070312
2019-01-30,154.89999389648438
2019-01-31,153.17999267578125
2019-02-01,153.77000427246094
2019-02-04,157.22999572753906
2019-02-05,157.8000030517578
2019-02-06,157.63999938964844
2019-02-07,157.42999267578125
2019-02-08,160.16000366210938
2019-02-11,160.66000366210938
2019-02-12,162.0800018310547
2019-02-13,161.9600067138672
2019-02-14,162.24000549316406
2019-02-15,164.8000030517578
2019-02-19,164.58999633789062
2019-02-20,165.1999969482422
2019-02-21,164.57000732421875
2019-02-22,165.8800048828125
2019-02-25,163.8800048828125
2019-02-26,162.33999633789062
2019-02-27,162.0500030517578
2019-02-28,164.92999267578125
2019-03-01,164.7899932861328
