,CPT
2022-03-08,167.4600067138672
2022-03-09,168.99000549316406
2022-03-10,168.9199981689453
2022-03-11,166.1699981689453
2022-03-14,164.58999633789062
2022-03-15,165.75
2022-03-16,166.66000366210938
2022-03-17,167.77000427246094
2022-03-18,164.75
2022-03-21,164.94000244140625
2022-03-22,162.6699981689453
2022-03-23,162.6699981689453
2022-03-24,163.80999755859375
2022-03-25,164.75
2022-03-28,168.8300018310547
2022-03-29,171.3300018310547
2022-03-30,169.61000061035156
2022-03-31,166.1999969482422
2022-04-01,171.60000610351562
2022-04-04,168.99000549316406
2022-04-05,169.91000366210938
2022-04-06,175.2100067138672
2022-04-07,172.61000061035156
2022-04-08,168.2100067138672
2022-04-11,165.74000549316406
2022-04-12,165.22000122070312
2022-04-13,165.0500030517578
2022-04-14,164.6199951171875
2022-04-18,163.0800018310547
2022-04-19,165.74000549316406
2022-04-20,169.02999877929688
2022-04-21,170.6300048828125
2022-04-22,167.07000732421875
2022-04-25,164.1999969482422
2022-04-26,162.92999267578125
2022-04-27,161.7100067138672
2022-04-28,162.14999389648438
2022-04-29,156.88999938964844
2022-05-02,150.36000061035156
2022-05-03,152.61000061035156
2022-05-04,152.7899932861328
2022-05-05,150.5500030517578
2022-05-06,148.80999755859375
2022-05-09,143.3699951171875
2022-05-10,141.55999755859375
2022-05-11,143.5
2022-05-12,144.22000122070312
2022-05-13,145.99000549316406
2022-05-16,144.2100067138672
2022-05-17,143.1699981689453
2022-05-18,138.24000549316406
2022-05-19,138.0
2022-05-20,138.63999938964844
2022-05-23,140.83999633789062
2022-05-24,141.22999572753906
2022-05-25,141.60000610351562
2022-05-26,141.89999389648438
2022-05-27,144.97999572753906
2022-05-31,143.49000549316406
2022-06-01,143.55999755859375
2022-06-02,144.66000366210938
2022-06-03,143.55999755859375
2022-06-06,139.83999633789062
2022-06-07,142.6300048828125
2022-06-08,139.36000061035156
2022-06-09,134.91000366210938
2022-06-10,133.19000244140625
2022-06-13,126.5
2022-06-14,126.0
2022-06-15,128.5500030517578
2022-06-16,127.58000183105467
2022-06-17,128.5800018310547
2022-06-21,130.3699951171875
2022-06-22,131.88999938964844
2022-06-23,134.61000061035156
2022-06-24,135.11000061035156
2022-06-27,135.5500030517578
2022-06-28,134.77999877929688
2022-06-29,133.9199981689453
2022-06-30,134.47999572753906
2022-07-01,136.05999755859375
2022-07-05,133.91000366210938
2022-07-06,134.72999572753906
2022-07-07,134.16000366210938
2022-07-08,132.74000549316406
2022-07-11,132.7899932861328
2022-07-12,132.55999755859375
2022-07-13,132.35000610351562
2022-07-14,130.5
2022-07-15,132.0800018310547
2022-07-18,131.13999938964844
2022-07-19,133.8300018310547
2022-07-20,133.92999267578125
2022-07-21,134.5800018310547
2022-07-22,135.83999633789062
2022-07-25,135.85000610351562
2022-07-26,135.0
2022-07-27,135.80999755859375
2022-07-28,141.3300018310547
2022-07-29,141.10000610351562
2022-08-01,138.9199981689453
2022-08-02,137.07000732421875
2022-08-03,136.3000030517578
2022-08-04,137.11000061035156
2022-08-05,137.27999877929688
2022-08-08,137.99000549316406
2022-08-09,140.91000366210938
2022-08-10,143.35000610351562
2022-08-11,143.36000061035156
2022-08-12,145.72000122070312
2022-08-15,146.22999572753906
2022-08-16,146.7100067138672
2022-08-17,146.55999755859375
2022-08-18,143.82000732421875
2022-08-19,142.3000030517578
2022-08-22,139.1999969482422
2022-08-23,136.0399932861328
2022-08-24,136.72000122070312
2022-08-25,138.19000244140625
2022-08-26,134.6999969482422
2022-08-29,132.49000549316406
2022-08-30,130.38999938964844
2022-08-31,128.50999450683594
2022-09-01,129.10000610351562
2022-09-02,126.69000244140624
2022-09-06,130.08999633789062
2022-09-07,130.92999267578125
2022-09-08,133.13999938964844
2022-09-09,134.83999633789062
2022-09-12,135.05999755859375
2022-09-13,132.32000732421875
2022-09-14,130.75999450683594
2022-09-15,129.1300048828125
2022-09-16,129.0
2022-09-19,127.88999938964844
2022-09-20,124.11000061035156
2022-09-21,122.4499969482422
2022-09-22,122.7699966430664
2022-09-23,121.9499969482422
2022-09-26,118.72000122070312
2022-09-27,117.31999969482422
2022-09-28,120.36000061035156
2022-09-29,118.22000122070312
2022-09-30,119.4499969482422
2022-10-03,122.12000274658205
2022-10-04,123.13999938964844
2022-10-05,119.41999816894533
2022-10-06,116.37000274658205
2022-10-07,113.0
2022-10-10,111.9800033569336
2022-10-11,113.45999908447266
2022-10-12,112.13999938964844
2022-10-13,114.41000366210938
2022-10-14,110.68000030517578
2022-10-17,115.41000366210938
2022-10-18,115.45999908447266
2022-10-19,112.7300033569336
2022-10-20,112.2699966430664
2022-10-21,113.88999938964844
2022-10-24,113.0
2022-10-25,116.7699966430664
2022-10-26,115.05999755859376
2022-10-27,114.9000015258789
2022-10-28,114.9800033569336
2022-10-31,115.5500030517578
2022-11-01,115.4000015258789
2022-11-02,111.88999938964844
2022-11-03,110.08000183105467
2022-11-04,111.5
2022-11-07,109.63999938964844
2022-11-08,109.8499984741211
2022-11-09,109.37000274658205
2022-11-10,116.1999969482422
2022-11-11,115.2300033569336
2022-11-14,111.87000274658205
2022-11-15,114.62999725341795
2022-11-16,114.30999755859376
2022-11-17,113.5199966430664
2022-11-18,114.81999969482422
2022-11-21,116.25
2022-11-22,116.83000183105467
2022-11-23,117.37999725341795
2022-11-25,118.12999725341795
2022-11-28,115.20999908447266
2022-11-29,117.75
2022-11-30,120.33000183105467
2022-12-01,119.48999786376952
2022-12-02,119.87999725341795
2022-12-05,116.38999938964844
2022-12-06,114.62999725341795
2022-12-07,114.27999877929688
2022-12-08,116.20999908447266
2022-12-09,116.0
2022-12-12,116.29000091552734
2022-12-13,118.44000244140624
2022-12-14,116.77999877929688
2022-12-15,114.7300033569336
2022-12-16,112.1999969482422
2022-12-19,110.38999938964844
2022-12-20,109.8000030517578
2022-12-21,110.5199966430664
2022-12-22,110.16000366210938
2022-12-23,111.30999755859376
2022-12-27,111.51000213623048
2022-12-28,109.86000061035156
2022-12-29,112.94000244140624
2022-12-30,111.87999725341795
2023-01-03,110.68000030517578
2023-01-04,112.75
2023-01-05,109.66999816894533
2023-01-06,114.0
2023-01-09,113.01000213623048
2023-01-10,113.38999938964844
2023-01-11,118.27999877929688
2023-01-12,118.33000183105467
