,NDSN
2020-08-12,206.83999633789065
2020-08-13,206.4600067138672
2020-08-14,206.6699981689453
2020-08-17,206.97000122070312
2020-08-18,205.66000366210932
2020-08-19,204.13999938964844
2020-08-20,191.009994506836
2020-08-21,189.07000732421875
2020-08-24,188.2400054931641
2020-08-25,188.66000366210932
2020-08-26,192.41000366210932
2020-08-27,189.1199951171875
2020-08-28,187.9600067138672
2020-08-31,186.4900054931641
2020-09-01,189.77999877929688
2020-09-02,197.1100006103516
2020-09-03,188.57000732421875
2020-09-04,186.8800048828125
2020-09-08,185.94000244140625
2020-09-09,189.82000732421875
2020-09-10,190.82000732421875
2020-09-11,191.6699981689453
2020-09-14,195.1000061035156
2020-09-15,198.47999572753903
2020-09-16,198.1999969482422
2020-09-17,194.75
2020-09-18,192.0
2020-09-21,187.72000122070312
2020-09-22,186.07000732421875
2020-09-23,182.77999877929688
2020-09-24,181.17999267578125
2020-09-25,183.67999267578125
2020-09-28,189.8000030517578
2020-09-29,191.4199981689453
2020-09-30,191.82000732421875
2020-10-01,191.72000122070312
2020-10-02,190.47999572753903
2020-10-05,196.259994506836
2020-10-06,197.7400054931641
2020-10-07,200.5200042724609
2020-10-08,200.57000732421875
2020-10-09,201.19000244140625
2020-10-12,204.009994506836
2020-10-13,203.1999969482422
2020-10-14,202.47999572753903
2020-10-15,206.94000244140625
2020-10-16,208.5599975585937
2020-10-19,207.3300018310547
2020-10-20,208.7400054931641
2020-10-21,208.33999633789065
2020-10-22,211.1699981689453
2020-10-23,207.5599975585937
2020-10-26,203.0500030517578
2020-10-27,197.75
2020-10-28,191.22000122070312
2020-10-29,195.1999969482422
2020-10-30,193.42999267578125
2020-11-02,197.0
2020-11-03,200.3099975585937
2020-11-04,202.6699981689453
2020-11-05,208.47000122070312
2020-11-06,210.66000366210932
2020-11-09,201.77999877929688
2020-11-10,197.17999267578125
2020-11-11,202.2400054931641
2020-11-12,199.2400054931641
2020-11-13,201.9199981689453
2020-11-16,206.8300018310547
2020-11-17,203.94000244140625
2020-11-18,201.5
2020-11-19,202.3099975585937
2020-11-20,202.1000061035156
2020-11-23,201.5
2020-11-24,204.52999877929688
2020-11-25,202.52999877929688
2020-11-27,204.3699951171875
2020-11-30,203.8099975585937
2020-12-01,203.759994506836
2020-12-02,197.52999877929688
2020-12-03,195.3099975585937
2020-12-04,200.4199981689453
2020-12-07,199.0200042724609
2020-12-08,198.92999267578125
2020-12-09,198.52999877929688
2020-12-10,198.0
2020-12-11,197.7899932861328
2020-12-14,199.72000122070312
2020-12-15,201.91000366210932
2020-12-16,193.9900054931641
2020-12-17,196.91000366210932
2020-12-18,198.72999572753903
2020-12-21,195.82000732421875
2020-12-22,198.63999938964844
2020-12-23,198.3500061035156
2020-12-24,198.9499969482422
2020-12-28,198.41000366210932
2020-12-29,196.8999938964844
2020-12-30,198.8300018310547
2020-12-31,200.9499969482422
2021-01-04,196.5599975585937
2021-01-05,199.2899932861328
2021-01-06,204.9499969482422
2021-01-07,205.2899932861328
