,ERIE
2018-06-12,117.5500030517578
2018-06-13,118.47000122070312
2018-06-14,117.4499969482422
2018-06-15,118.38999938964844
2018-06-18,118.41000366210938
2018-06-19,119.52999877929688
2018-06-20,119.25
2018-06-21,118.83999633789062
2018-06-22,120.83000183105467
2018-06-25,118.5
2018-06-26,118.0999984741211
2018-06-27,115.63999938964844
2018-06-28,115.83000183105467
2018-06-29,117.26000213623048
2018-07-02,115.9499969482422
2018-07-03,116.86000061035156
2018-07-05,116.80999755859376
2018-07-06,117.98999786376952
2018-07-09,118.5
2018-07-10,118.23999786376952
2018-07-11,117.93000030517578
2018-07-12,118.08999633789062
2018-07-13,118.12000274658205
2018-07-16,118.52999877929688
2018-07-17,118.0999984741211
2018-07-18,119.75
2018-07-19,119.16999816894533
2018-07-20,120.08000183105467
2018-07-23,120.16999816894533
2018-07-24,119.61000061035156
2018-07-25,120.20999908447266
2018-07-26,121.19000244140624
2018-07-27,123.61000061035156
2018-07-30,124.0999984741211
2018-07-31,124.23999786376952
2018-08-01,126.8000030517578
2018-08-02,126.9000015258789
2018-08-03,126.66999816894533
2018-08-06,126.43000030517578
2018-08-07,125.83999633789062
2018-08-08,125.38999938964844
2018-08-09,125.6999969482422
2018-08-10,125.23999786376952
2018-08-13,125.0500030517578
2018-08-14,125.36000061035156
2018-08-15,125.37999725341795
2018-08-16,126.0999984741211
2018-08-17,126.54000091552734
2018-08-20,126.0999984741211
2018-08-21,127.01000213623048
2018-08-22,126.45999908447266
2018-08-23,126.23999786376952
2018-08-24,127.1500015258789
2018-08-27,127.01000213623048
2018-08-28,126.43000030517578
2018-08-29,126.0999984741211
2018-08-30,126.33000183105467
2018-08-31,123.52999877929688
2018-09-04,126.94000244140624
2018-09-05,125.4800033569336
2018-09-06,126.3000030517578
2018-09-07,126.91999816894533
2018-09-10,126.1500015258789
2018-09-11,127.0500030517578
2018-09-12,126.66000366210938
2018-09-13,127.73999786376952
2018-09-14,128.58999633789062
2018-09-17,129.1300048828125
2018-09-18,129.07000732421875
2018-09-19,128.92999267578125
2018-09-20,129.5500030517578
2018-09-21,128.74000549316406
2018-09-24,127.41999816894533
2018-09-25,126.54000091552734
2018-09-26,126.5
2018-09-27,126.5
