,TT
2020-06-01,90.43000030517578
2020-06-02,91.44000244140624
2020-06-03,94.33000183105467
2020-06-04,95.54000091552734
2020-06-05,102.01000213623048
2020-06-08,98.98999786376952
2020-06-09,97.45999908447266
2020-06-10,94.58999633789062
2020-06-11,89.7699966430664
2020-06-12,90.38999938964844
2020-06-15,90.6500015258789
2020-06-16,91.68000030517578
2020-06-17,91.8499984741211
2020-06-18,90.06999969482422
2020-06-19,89.29000091552734
2020-06-22,90.18000030517578
2020-06-23,90.08999633789062
2020-06-24,86.04000091552734
2020-06-25,85.80000305175781
2020-06-26,84.63999938964844
2020-06-29,89.19000244140625
2020-06-30,88.9800033569336
2020-07-01,88.86000061035156
2020-07-02,90.52999877929688
2020-07-06,92.54000091552734
2020-07-07,91.41000366210938
2020-07-08,92.12999725341795
2020-07-09,90.29000091552734
2020-07-10,91.63999938964844
2020-07-13,92.08999633789062
2020-07-14,97.52999877929688
2020-07-15,100.93000030517578
2020-07-16,101.94000244140624
2020-07-17,102.4499969482422
2020-07-20,103.37999725341795
2020-07-21,105.4499969482422
2020-07-22,106.20999908447266
2020-07-23,105.41999816894533
2020-07-24,103.76000213623048
2020-07-27,104.5500030517578
2020-07-28,103.70999908447266
2020-07-29,110.47000122070312
2020-07-30,110.86000061035156
2020-07-31,111.87000274658205
2020-08-03,112.19000244140624
2020-08-04,112.27999877929688
2020-08-05,115.1500015258789
2020-08-06,115.48999786376952
2020-08-07,116.8499984741211
2020-08-10,118.8499984741211
2020-08-11,119.8000030517578
2020-08-12,120.1999969482422
2020-08-13,118.37000274658205
2020-08-14,118.87999725341795
2020-08-17,119.36000061035156
2020-08-18,118.02999877929688
2020-08-19,117.4000015258789
2020-08-20,116.0199966430664
2020-08-21,117.56999969482422
2020-08-24,118.91999816894533
2020-08-25,118.45999908447266
2020-08-26,120.08000183105467
2020-08-27,118.91999816894533
2020-08-28,120.3000030517578
2020-08-31,118.38999938964844
2020-09-01,120.1999969482422
2020-09-02,122.38999938964844
2020-09-03,118.12999725341795
2020-09-04,117.7699966430664
2020-09-08,116.19000244140624
2020-09-09,117.06999969482422
2020-09-10,115.61000061035156
2020-09-11,116.98999786376952
2020-09-14,118.98999786376952
2020-09-15,121.22000122070312
2020-09-16,122.01000213623048
2020-09-17,124.87000274658205
2020-09-18,122.95999908447266
2020-09-21,120.08000183105467
2020-09-22,121.5199966430664
2020-09-23,118.79000091552734
2020-09-24,119.0
2020-09-25,118.91000366210938
2020-09-28,121.51000213623048
2020-09-29,121.22000122070312
2020-09-30,121.25
2020-10-01,121.9499969482422
2020-10-02,123.86000061035156
2020-10-05,126.93000030517578
2020-10-06,126.58999633789062
2020-10-07,127.94000244140624
2020-10-08,129.8000030517578
2020-10-09,129.1199951171875
2020-10-12,131.9600067138672
2020-10-13,129.25
2020-10-14,130.1999969482422
2020-10-15,130.63999938964844
2020-10-16,131.2100067138672
2020-10-19,127.5
2020-10-20,128.72999572753906
2020-10-21,128.8699951171875
2020-10-22,130.4600067138672
2020-10-23,129.22000122070312
2020-10-26,126.1500015258789
2020-10-27,123.68000030517578
2020-10-28,127.83999633789062
2020-10-29,132.0500030517578
2020-10-30,132.75
2020-11-02,137.5500030517578
2020-11-03,141.25999450683594
2020-11-04,137.27999877929688
2020-11-05,141.1199951171875
2020-11-06,144.32000732421875
2020-11-09,145.6699981689453
2020-11-10,143.5800018310547
2020-11-11,142.9600067138672
2020-11-12,143.38999938964844
2020-11-13,147.99000549316406
2020-11-16,152.44000244140625
2020-11-17,148.7899932861328
2020-11-18,144.44000244140625
2020-11-19,146.7899932861328
2020-11-20,144.1999969482422
2020-11-23,145.9199981689453
2020-11-24,147.07000732421875
2020-11-25,144.97000122070312
2020-11-27,143.5
2020-11-30,146.24000549316406
2020-12-01,145.6999969482422
2020-12-02,144.33999633789062
2020-12-03,141.72000122070312
2020-12-04,141.85000610351562
2020-12-07,141.1199951171875
2020-12-08,139.9600067138672
2020-12-09,141.0500030517578
2020-12-10,139.22000122070312
2020-12-11,139.94000244140625
2020-12-14,137.7100067138672
2020-12-15,140.3800048828125
2020-12-16,138.57000732421875
2020-12-17,140.97000122070312
2020-12-18,141.05999755859375
2020-12-21,142.14999389648438
2020-12-22,143.0
2020-12-23,142.5
2020-12-24,143.66000366210938
2020-12-28,144.1999969482422
2020-12-29,142.89999389648438
2020-12-30,144.8300018310547
2020-12-31,145.16000366210938
2021-01-04,143.97999572753906
2021-01-05,145.85000610351562
2021-01-06,149.83999633789062
2021-01-07,153.72000122070312
2021-01-08,152.5800018310547
2021-01-11,152.25
2021-01-12,151.94000244140625
2021-01-13,150.9499969482422
2021-01-14,150.75
2021-01-15,149.50999450683594
2021-01-19,153.49000549316406
