,APO
2020-08-21,47.02999877929688
2020-08-24,45.560001373291016
2020-08-25,45.68999862670898
2020-08-26,46.900001525878906
2020-08-27,47.29999923706055
2020-08-28,46.59000015258789
2020-08-31,46.869998931884766
2020-09-01,48.16999816894531
2020-09-02,48.470001220703125
2020-09-03,46.40999984741211
2020-09-04,46.61000061035156
2020-09-08,44.63999938964844
2020-09-09,45.33000183105469
2020-09-10,45.0099983215332
2020-09-11,44.72999954223633
2020-09-14,45.41999816894531
2020-09-15,45.34999847412109
2020-09-16,45.52999877929688
2020-09-17,44.470001220703125
2020-09-18,44.66999816894531
2020-09-21,43.70000076293945
2020-09-22,44.33000183105469
2020-09-23,43.93000030517578
2020-09-24,42.84999847412109
2020-09-25,44.720001220703125
2020-09-28,46.29999923706055
2020-09-29,45.34999847412109
2020-09-30,44.75
2020-10-01,47.02999877929688
2020-10-02,47.34000015258789
2020-10-05,48.09000015258789
2020-10-06,46.52000045776367
2020-10-07,46.0
2020-10-08,46.95000076293945
2020-10-09,46.54999923706055
2020-10-12,43.900001525878906
2020-10-13,43.130001068115234
2020-10-14,42.97999954223633
2020-10-15,43.040000915527344
2020-10-16,40.459999084472656
2020-10-19,38.97999954223633
2020-10-20,40.209999084472656
2020-10-21,41.2599983215332
2020-10-22,40.63999938964844
2020-10-23,41.150001525878906
2020-10-26,40.15999984741211
2020-10-27,40.18999862670898
2020-10-28,38.88999938964844
2020-10-29,37.86000061035156
2020-10-30,36.86000061035156
2020-11-02,38.41999816894531
2020-11-03,39.31999969482422
2020-11-04,40.72999954223633
2020-11-05,41.70000076293945
2020-11-06,41.65999984741211
2020-11-09,44.0
2020-11-10,43.959999084472656
2020-11-11,42.869998931884766
2020-11-12,42.81999969482422
2020-11-13,44.2400016784668
2020-11-16,45.34999847412109
2020-11-17,45.77000045776367
2020-11-18,45.369998931884766
2020-11-19,44.70000076293945
2020-11-20,43.18000030517578
2020-11-23,44.400001525878906
2020-11-24,45.58000183105469
2020-11-25,43.86000061035156
2020-11-27,43.869998931884766
2020-11-30,43.619998931884766
2020-12-01,45.310001373291016
2020-12-02,46.0
2020-12-03,46.630001068115234
2020-12-04,48.5
2020-12-07,48.290000915527344
2020-12-08,48.31999969482422
2020-12-09,46.95000076293945
2020-12-10,47.52999877929688
2020-12-11,47.900001525878906
2020-12-14,47.83000183105469
2020-12-15,48.31999969482422
2020-12-16,49.33000183105469
2020-12-17,49.040000915527344
2020-12-18,47.77999877929688
2020-12-21,46.7599983215332
2020-12-22,47.93000030517578
2020-12-23,48.15999984741211
2020-12-24,49.09000015258789
2020-12-28,48.36000061035156
2020-12-29,48.06999969482422
2020-12-30,48.58000183105469
2020-12-31,48.97999954223633
2021-01-04,47.77000045776367
2021-01-05,48.13999938964844
2021-01-06,47.5
2021-01-07,46.900001525878906
2021-01-08,46.959999084472656
2021-01-11,47.459999084472656
2021-01-12,46.97999954223633
2021-01-13,47.13999938964844
2021-01-14,48.209999084472656
2021-01-15,47.95000076293945
2021-01-19,48.18999862670898
2021-01-20,48.04999923706055
2021-01-21,47.810001373291016
2021-01-22,46.43000030517578
2021-01-25,45.880001068115234
2021-01-26,49.18000030517578
2021-01-27,47.58000183105469
2021-01-28,48.060001373291016
2021-01-29,45.93999862670898
2021-02-01,47.63999938964844
2021-02-02,48.88999938964844
2021-02-03,50.119998931884766
