,WST
2023-12-05,343.4700012207031
2023-12-06,342.92999267578125
2023-12-07,341.19000244140625
2023-12-08,342.239990234375
2023-12-11,344.1300048828125
2023-12-12,347.7699890136719
2023-12-13,359.67999267578125
2023-12-14,358.010009765625
2023-12-15,358.20001220703125
2023-12-18,356.2099914550781
2023-12-19,358.3099975585937
2023-12-20,349.489990234375
2023-12-21,353.760009765625
2023-12-22,354.92999267578125
2023-12-26,357.3399963378906
2023-12-27,355.8800048828125
2023-12-28,354.92999267578125
2023-12-29,352.1199951171875
2024-01-02,348.69000244140625
2024-01-03,338.2699890136719
2024-01-04,340.32000732421875
2024-01-05,339.4800109863281
2024-01-08,351.8500061035156
2024-01-09,349.3399963378906
2024-01-10,357.1600036621094
2024-01-11,354.6300048828125
2024-01-12,346.7699890136719
2024-01-16,346.5
2024-01-17,339.510009765625
2024-01-18,342.8699951171875
2024-01-19,342.739990234375
2024-01-22,347.1099853515625
2024-01-23,351.6300048828125
2024-01-24,348.7099914550781
2024-01-25,354.2200012207031
2024-01-26,361.3599853515625
2024-01-29,370.5
2024-01-30,376.0899963378906
2024-01-31,373.0299987792969
2024-02-01,381.5
2024-02-02,381.0199890136719
2024-02-05,397.6199951171875
2024-02-06,398.2699890136719
2024-02-07,413.0
2024-02-08,410.8999938964844
2024-02-09,409.6400146484375
2024-02-12,406.6300048828125
2024-02-13,398.5899963378906
2024-02-14,408.1900024414063
2024-02-15,350.70001220703125
2024-02-16,362.0499877929688
2024-02-20,350.17999267578125
2024-02-21,356.20001220703125
2024-02-22,359.8999938964844
2024-02-23,367.4400024414063
2024-02-26,363.2900085449219
2024-02-27,358.2900085449219
2024-02-28,357.3099975585937
2024-02-29,358.3599853515625
2024-03-01,358.7200012207031
2024-03-04,358.7900085449219
2024-03-05,351.95001220703125
2024-03-06,354.3099975585937
2024-03-07,362.1600036621094
2024-03-08,358.95001220703125
2024-03-11,357.5199890136719
2024-03-12,377.989990234375
2024-03-13,385.75
2024-03-14,399.3900146484375
2024-03-15,387.6199951171875
2024-03-18,395.7200012207031
2024-03-19,395.6900024414063
2024-03-20,394.1000061035156
2024-03-21,395.8900146484375
2024-03-22,393.9200134277344
2024-03-25,388.3900146484375
2024-03-26,388.2200012207031
2024-03-27,394.1000061035156
2024-03-28,395.7099914550781
2024-04-01,395.9400024414063
2024-04-02,387.8999938964844
2024-04-03,387.1499938964844
2024-04-04,386.1199951171875
2024-04-05,394.0299987792969
2024-04-08,392.5799865722656
2024-04-09,392.3800048828125
2024-04-10,389.7699890136719
2024-04-11,387.5799865722656
2024-04-12,380.0
2024-04-15,378.80999755859375
2024-04-16,379.4800109863281
2024-04-17,377.3599853515625
2024-04-18,377.3299865722656
2024-04-19,372.0400085449219
2024-04-22,375.3500061035156
2024-04-23,390.2000122070313
2024-04-24,385.7300109863281
2024-04-25,368.1799926757813
2024-04-26,360.4299926757813
2024-04-29,354.4100036621094
2024-04-30,357.4800109863281
2024-05-01,363.4299926757813
2024-05-02,368.4599914550781
2024-05-03,365.0199890136719
2024-05-06,366.5400085449219
2024-05-07,368.3500061035156
2024-05-08,366.6600036621094
2024-05-09,365.5899963378906
2024-05-10,364.1900024414063
2024-05-13,358.1700134277344
2024-05-14,354.4800109863281
2024-05-15,351.5199890136719
2024-05-16,354.1099853515625
2024-05-17,355.6400146484375
2024-05-20,342.760009765625
2024-05-21,337.010009765625
2024-05-22,334.2900085449219
