,IRM
2018-02-12,33.29999923706055
2018-02-13,33.540000915527344
2018-02-14,33.189998626708984
2018-02-15,33.720001220703125
2018-02-16,33.16999816894531
2018-02-20,32.119998931884766
2018-02-21,31.46999931335449
2018-02-22,31.57999992370605
2018-02-23,31.959999084472656
2018-02-26,31.950000762939453
2018-02-27,31.049999237060547
2018-02-28,31.459999084472656
2018-03-01,31.6299991607666
2018-03-02,31.549999237060547
2018-03-05,32.099998474121094
2018-03-06,32.38999938964844
2018-03-07,32.709999084472656
2018-03-08,32.709999084472656
2018-03-09,33.25
2018-03-12,33.0099983215332
2018-03-13,33.220001220703125
2018-03-14,32.97999954223633
2018-03-15,32.88999938964844
2018-03-16,32.52000045776367
2018-03-19,31.459999084472656
2018-03-20,31.729999542236328
2018-03-21,31.61000061035156
2018-03-22,31.63999938964844
2018-03-23,30.88999938964844
2018-03-26,31.270000457763672
2018-03-27,31.89999961853028
2018-03-28,32.709999084472656
2018-03-29,32.86000061035156
2018-04-02,32.369998931884766
2018-04-03,32.81999969482422
2018-04-04,33.29999923706055
2018-04-05,33.77000045776367
2018-04-06,33.529998779296875
2018-04-09,33.31999969482422
2018-04-10,33.459999084472656
2018-04-11,33.540000915527344
2018-04-12,33.15999984741211
2018-04-13,33.349998474121094
2018-04-16,33.61000061035156
2018-04-17,34.22999954223633
2018-04-18,34.52000045776367
2018-04-19,33.7599983215332
2018-04-20,33.34000015258789
2018-04-23,33.439998626708984
2018-04-24,33.7599983215332
2018-04-25,33.779998779296875
2018-04-26,34.33000183105469
2018-04-27,34.5
2018-04-30,33.939998626708984
2018-05-01,34.119998931884766
2018-05-02,34.0
2018-05-03,34.29999923706055
2018-05-04,34.4900016784668
2018-05-07,34.439998626708984
2018-05-08,33.4900016784668
2018-05-09,33.41999816894531
2018-05-10,33.720001220703125
2018-05-11,33.529998779296875
2018-05-14,33.5099983215332
2018-05-15,32.75
2018-05-16,32.619998931884766
2018-05-17,32.04999923706055
2018-05-18,32.08000183105469
2018-05-21,32.68000030517578
2018-05-22,32.52000045776367
2018-05-23,32.869998931884766
2018-05-24,32.97999954223633
2018-05-25,32.9900016784668
2018-05-29,33.2599983215332
2018-05-30,33.5
2018-05-31,33.290000915527344
2018-06-01,33.95000076293945
2018-06-04,34.56999969482422
2018-06-05,34.43000030517578
2018-06-06,34.630001068115234
2018-06-07,34.79999923706055
2018-06-08,34.61000061035156
2018-06-11,34.63999938964844
2018-06-12,35.0
2018-06-13,34.63999938964844
2018-06-14,33.9900016784668
2018-06-15,33.2599983215332
2018-06-18,33.380001068115234
2018-06-19,33.83000183105469
2018-06-20,34.31999969482422
2018-06-21,34.70000076293945
2018-06-22,35.0
2018-06-25,34.93000030517578
2018-06-26,34.58000183105469
2018-06-27,34.400001525878906
2018-06-28,34.650001525878906
2018-06-29,35.0099983215332
2018-07-02,34.900001525878906
2018-07-03,35.560001373291016
2018-07-05,35.68000030517578
2018-07-06,35.88999938964844
2018-07-09,36.5
2018-07-10,36.459999084472656
2018-07-11,36.619998931884766
2018-07-12,36.7400016784668
2018-07-13,36.63999938964844
2018-07-16,36.36000061035156
2018-07-17,35.029998779296875
2018-07-18,34.70000076293945
2018-07-19,35.41999816894531
2018-07-20,34.95000076293945
2018-07-23,34.810001373291016
2018-07-24,35.04999923706055
2018-07-25,35.349998474121094
2018-07-26,35.45000076293945
2018-07-27,34.459999084472656
2018-07-30,34.90999984741211
2018-07-31,35.11000061035156
2018-08-01,35.29999923706055
2018-08-02,35.58000183105469
2018-08-03,35.7599983215332
2018-08-06,36.0099983215332
2018-08-07,35.93000030517578
2018-08-08,35.58000183105469
2018-08-09,35.459999084472656
2018-08-10,34.599998474121094
2018-08-13,34.83000183105469
2018-08-14,35.310001373291016
2018-08-15,35.54999923706055
2018-08-16,36.08000183105469
2018-08-17,36.47999954223633
2018-08-20,36.56999969482422
2018-08-21,36.310001373291016
2018-08-22,35.97999954223633
2018-08-23,36.08000183105469
2018-08-24,35.900001525878906
2018-08-27,35.7400016784668
2018-08-28,36.209999084472656
2018-08-29,36.310001373291016
2018-08-30,35.95000076293945
2018-08-31,36.09999847412109
2018-09-04,36.34999847412109
2018-09-05,36.540000915527344
2018-09-06,36.27000045776367
2018-09-07,35.36000061035156
2018-09-10,35.91999816894531
2018-09-11,35.65999984741211
2018-09-12,36.02000045776367
2018-09-13,36.34000015258789
2018-09-14,35.650001525878906
2018-09-17,35.779998779296875
2018-09-18,35.25
2018-09-19,34.599998474121094
2018-09-20,35.529998779296875
2018-09-21,35.90999984741211
2018-09-24,35.22999954223633
2018-09-25,34.709999084472656
2018-09-26,34.310001373291016
2018-09-27,34.09000015258789
2018-09-28,34.52000045776367
2018-10-01,34.380001068115234
2018-10-02,34.04999923706055
2018-10-03,33.709999084472656
2018-10-04,33.52000045776367
2018-10-05,33.290000915527344
2018-10-08,33.90999984741211
2018-10-09,33.54999923706055
2018-10-10,32.45000076293945
2018-10-11,31.5
2018-10-12,31.59000015258789
2018-10-15,31.82999992370605
2018-10-16,32.150001525878906
2018-10-17,31.739999771118164
2018-10-18,31.799999237060547
2018-10-19,32.18000030517578
2018-10-22,31.780000686645508
2018-10-23,32.029998779296875
2018-10-24,32.25
2018-10-25,32.70000076293945
2018-10-26,30.479999542236328
2018-10-29,31.3700008392334
2018-10-30,31.61000061035156
2018-10-31,30.61000061035156
2018-11-01,31.59000015258789
2018-11-02,31.18000030517578
2018-11-05,31.6299991607666
2018-11-06,31.739999771118164
2018-11-07,32.130001068115234
2018-11-08,32.290000915527344
2018-11-09,32.77000045776367
2018-11-12,32.66999816894531
2018-11-13,32.869998931884766
2018-11-14,32.83000183105469
2018-11-15,33.040000915527344
2018-11-16,33.86000061035156
2018-11-19,33.459999084472656
2018-11-20,33.11000061035156
2018-11-21,32.56999969482422
2018-11-23,32.41999816894531
2018-11-26,33.27000045776367
2018-11-27,33.439998626708984
2018-11-28,33.7599983215332
2018-11-29,33.75
2018-11-30,33.970001220703125
2018-12-03,33.900001525878906
2018-12-04,33.91999816894531
2018-12-06,34.38999938964844
2018-12-07,34.04999923706055
2018-12-10,33.97999954223633
2018-12-11,34.459999084472656
2018-12-12,34.06999969482422
2018-12-13,34.95000076293945
2018-12-14,35.02000045776367
2018-12-17,33.369998931884766
2018-12-18,33.90999984741211
2018-12-19,33.27000045776367
2018-12-20,32.41999816894531
2018-12-21,32.130001068115234
2018-12-24,30.63999938964844
2018-12-26,32.06999969482422
2018-12-27,32.15999984741211
2018-12-28,32.38999938964844
2018-12-31,32.40999984741211
2019-01-02,32.099998474121094
2019-01-03,32.61000061035156
2019-01-04,33.18000030517578
2019-01-07,33.54999923706055
2019-01-08,34.290000915527344
2019-01-09,34.41999816894531
2019-01-10,34.709999084472656
2019-01-11,34.83000183105469
2019-01-14,34.77000045776367
2019-01-15,34.84000015258789
2019-01-16,35.040000915527344
2019-01-17,35.43000030517578
2019-01-18,35.63999938964844
2019-01-22,35.56999969482422
2019-01-23,35.70000076293945
2019-01-24,35.90999984741211
2019-01-25,36.04999923706055
2019-01-28,36.2400016784668
2019-01-29,36.40999984741211
2019-01-30,36.84000015258789
2019-01-31,37.20000076293945
2019-02-01,36.61000061035156
2019-02-04,36.93999862670898
2019-02-05,36.869998931884766
2019-02-06,36.7400016784668
2019-02-07,36.540000915527344
2019-02-08,36.5099983215332
2019-02-11,36.380001068115234
2019-02-12,35.790000915527344
2019-02-13,35.84000015258789
2019-02-14,35.27000045776367
2019-02-15,35.119998931884766
2019-02-19,35.38999938964844
2019-02-20,35.720001220703125
2019-02-21,35.84000015258789
2019-02-22,35.58000183105469
2019-02-25,35.040000915527344
2019-02-26,35.040000915527344
2019-02-27,35.0
2019-02-28,35.41999816894531
2019-03-01,35.779998779296875
2019-03-04,35.66999816894531
2019-03-05,35.29999923706055
2019-03-06,35.02000045776367
2019-03-07,34.869998931884766
2019-03-08,34.779998779296875
2019-03-11,34.97999954223633
2019-03-12,35.099998474121094
2019-03-13,35.27000045776367
2019-03-14,34.77000045776367
2019-03-15,34.93000030517578
2019-03-18,34.81999969482422
2019-03-19,34.5
2019-03-20,34.400001525878906
2019-03-21,35.22999954223633
2019-03-22,35.119998931884766
2019-03-25,35.16999816894531
2019-03-26,35.529998779296875
2019-03-27,35.45000076293945
2019-03-28,35.630001068115234
2019-03-29,35.459999084472656
2019-04-01,35.75
2019-04-02,35.779998779296875
2019-04-03,35.88999938964844
2019-04-04,35.93000030517578
2019-04-05,36.36000061035156
2019-04-08,36.29999923706055
2019-04-09,35.970001220703125
2019-04-10,36.209999084472656
2019-04-11,36.290000915527344
2019-04-12,36.52999877929688
2019-04-15,36.56999969482422
2019-04-16,36.04999923706055
2019-04-17,36.02000045776367
2019-04-18,35.939998626708984
2019-04-22,35.400001525878906
2019-04-23,35.86000061035156
2019-04-24,35.84000015258789
2019-04-25,32.650001525878906
2019-04-26,32.439998626708984
2019-04-29,32.029998779296875
2019-04-30,32.47999954223633
2019-05-01,31.959999084472656
2019-05-02,31.540000915527344
2019-05-03,31.600000381469727
2019-05-06,31.100000381469727
2019-05-07,30.86000061035156
2019-05-08,30.989999771118164
2019-05-09,30.96999931335449
2019-05-10,31.350000381469727
2019-05-13,31.39999961853028
2019-05-14,31.790000915527344
2019-05-15,31.959999084472656
2019-05-16,32.36000061035156
2019-05-17,32.09000015258789
2019-05-20,31.6200008392334
2019-05-21,31.84000015258789
2019-05-22,31.6200008392334
2019-05-23,31.729999542236328
2019-05-24,31.309999465942383
2019-05-28,31.059999465942383
2019-05-29,30.729999542236328
2019-05-30,30.790000915527344
2019-05-31,30.64999961853028
2019-06-03,31.07999992370605
2019-06-04,30.709999084472656
2019-06-05,31.459999084472656
2019-06-06,31.040000915527344
2019-06-07,31.190000534057617
2019-06-10,31.450000762939453
2019-06-11,31.68000030517578
2019-06-12,31.63999938964844
2019-06-13,32.08000183105469
2019-06-14,31.729999542236328
