,GEN
2021-01-20,20.90999984741211
2021-01-21,20.6200008392334
2021-01-22,20.670000076293945
2021-01-25,20.65999984741211
2021-01-26,20.950000762939453
2021-01-27,20.809999465942383
2021-01-28,21.299999237060547
2021-01-29,21.06999969482422
2021-02-01,21.440000534057617
2021-02-02,21.86000061035156
2021-02-03,21.6299991607666
2021-02-04,21.440000534057617
2021-02-05,21.06999969482422
2021-02-08,20.559999465942383
2021-02-09,22.040000915527344
2021-02-10,21.649999618530277
2021-02-11,21.290000915527344
2021-02-12,21.46999931335449
2021-02-16,21.38999938964844
2021-02-17,21.149999618530277
2021-02-18,20.84000015258789
2021-02-19,20.459999084472656
2021-02-22,20.51000022888184
2021-02-23,19.82999992370605
2021-02-24,20.549999237060547
2021-02-25,20.229999542236328
2021-02-26,19.51000022888184
2021-03-01,19.65999984741211
2021-03-02,19.940000534057617
2021-03-03,19.989999771118164
2021-03-04,20.100000381469727
2021-03-05,20.190000534057617
2021-03-08,20.96999931335449
2021-03-09,21.530000686645508
2021-03-10,21.01000022888184
2021-03-11,21.399999618530277
2021-03-12,21.479999542236328
2021-03-15,21.56999969482422
2021-03-16,21.280000686645508
2021-03-17,21.399999618530277
2021-03-18,21.18000030517578
2021-03-19,21.1200008392334
2021-03-22,21.309999465942383
2021-03-23,21.3799991607666
2021-03-24,21.059999465942383
2021-03-25,21.049999237060547
2021-03-26,21.61000061035156
2021-03-29,21.71999931335449
2021-03-30,21.100000381469727
2021-03-31,21.26000022888184
2021-04-01,21.420000076293945
2021-04-05,22.100000381469727
2021-04-06,21.950000762939453
2021-04-07,21.75
2021-04-08,22.09000015258789
2021-04-09,21.93000030517578
2021-04-12,22.200000762939453
2021-04-13,21.540000915527344
2021-04-14,21.1299991607666
2021-04-15,21.459999084472656
2021-04-16,21.6200008392334
2021-04-19,21.799999237060547
2021-04-20,21.81999969482422
2021-04-21,22.01000022888184
2021-04-22,22.0
2021-04-23,22.25
2021-04-26,22.61000061035156
2021-04-27,22.479999542236328
2021-04-28,22.13999938964844
2021-04-29,22.0
2021-04-30,21.61000061035156
2021-05-03,21.6200008392334
2021-05-04,21.459999084472656
2021-05-05,21.239999771118164
2021-05-06,20.81999969482422
2021-05-07,21.100000381469727
2021-05-10,21.07999992370605
2021-05-11,23.350000381469727
2021-05-12,25.030000686645508
2021-05-13,25.3700008392334
2021-05-14,26.09000015258789
2021-05-17,26.11000061035156
2021-05-18,26.489999771118164
2021-05-19,26.3799991607666
2021-05-20,26.68000030517578
2021-05-21,26.71999931335449
2021-05-24,27.5
2021-05-25,27.229999542236328
2021-05-26,27.6299991607666
2021-05-27,27.649999618530277
2021-05-28,27.65999984741211
2021-06-01,27.88999938964844
2021-06-02,28.489999771118164
2021-06-03,28.059999465942383
2021-06-04,28.450000762939453
2021-06-07,28.43000030517578
2021-06-08,28.26000022888184
2021-06-09,28.600000381469727
2021-06-10,28.670000076293945
2021-06-11,28.59000015258789
2021-06-14,28.450000762939453
2021-06-15,28.0
2021-06-16,27.76000022888184
2021-06-17,27.520000457763672
2021-06-18,26.81999969482422
2021-06-21,27.3700008392334
2021-06-22,27.1200008392334
2021-06-23,27.229999542236328
2021-06-24,27.36000061035156
2021-06-25,26.979999542236328
2021-06-28,27.040000915527344
2021-06-29,27.38999938964844
2021-06-30,27.21999931335449
2021-07-01,27.190000534057617
2021-07-02,27.200000762939453
2021-07-06,27.729999542236328
2021-07-07,27.84000015258789
2021-07-08,27.209999084472656
2021-07-09,27.65999984741211
2021-07-12,27.299999237060547
2021-07-13,27.200000762939453
2021-07-14,26.90999984741211
2021-07-15,25.86000061035156
2021-07-16,26.01000022888184
2021-07-19,26.040000915527344
