,WTW
2017-05-24,142.75999450683594
2017-05-25,144.8000030517578
2017-05-26,145.0
2017-05-30,145.0399932861328
2017-05-31,146.6300048828125
2017-06-01,146.6300048828125
2017-06-02,147.17999267578125
2017-06-05,147.0500030517578
2017-06-06,145.38999938964844
2017-06-07,145.3699951171875
2017-06-08,145.50999450683594
2017-06-09,145.66000366210938
2017-06-12,146.24000549316406
2017-06-13,147.17999267578125
2017-06-14,147.97999572753906
2017-06-15,148.4199981689453
2017-06-16,149.64999389648438
2017-06-19,149.57000732421875
2017-06-20,149.57000732421875
2017-06-21,148.60000610351562
2017-06-22,145.0500030517578
2017-06-23,145.36000061035156
2017-06-26,145.0800018310547
2017-06-27,144.91000366210938
2017-06-28,146.83999633789062
2017-06-29,146.7100067138672
2017-06-30,145.4600067138672
2017-07-03,146.38999938964844
2017-07-05,145.49000549316406
2017-07-06,145.02999877929688
2017-07-07,146.32000732421875
2017-07-10,146.2100067138672
2017-07-11,144.5
2017-07-12,145.3699951171875
2017-07-13,145.7100067138672
2017-07-14,146.47999572753906
2017-07-17,147.9199981689453
2017-07-18,147.1199951171875
2017-07-19,146.72999572753906
2017-07-20,147.33999633789062
2017-07-21,147.6199951171875
2017-07-24,149.0800018310547
2017-07-25,149.8699951171875
2017-07-26,148.50999450683594
2017-07-27,147.02999877929688
2017-07-28,150.1199951171875
2017-07-31,148.8800048828125
2017-08-01,149.6199951171875
2017-08-02,148.8699951171875
2017-08-03,147.24000549316406
2017-08-04,149.63999938964844
2017-08-07,149.5800018310547
2017-08-08,149.66000366210938
2017-08-09,149.24000549316406
2017-08-10,147.97000122070312
2017-08-11,149.13999938964844
2017-08-14,151.30999755859375
2017-08-15,150.8699951171875
2017-08-16,150.00999450683594
2017-08-17,148.0500030517578
2017-08-18,148.44000244140625
2017-08-21,148.92999267578125
2017-08-22,149.49000549316406
2017-08-23,148.38999938964844
2017-08-24,148.36000061035156
2017-08-25,148.8800048828125
2017-08-28,148.0
2017-08-29,147.8699951171875
2017-08-30,147.77000427246094
2017-08-31,148.47000122070312
2017-09-01,148.10000610351562
2017-09-05,147.47000122070312
2017-09-06,147.6199951171875
2017-09-07,147.86000061035156
2017-09-08,151.83999633789062
2017-09-11,151.52999877929688
2017-09-12,152.61000061035156
2017-09-13,152.8800048828125
2017-09-14,152.4199981689453
2017-09-15,153.13999938964844
2017-09-18,152.10000610351562
2017-09-19,151.83999633789062
2017-09-20,152.41000366210938
2017-09-21,151.3699951171875
2017-09-22,152.7100067138672
2017-09-25,153.52000427246094
2017-09-26,154.86000061035156
2017-09-27,155.8300018310547
2017-09-28,155.52999877929688
2017-09-29,154.22999572753906
2017-10-02,155.49000549316406
2017-10-03,154.88999938964844
2017-10-04,154.6999969482422
2017-10-05,155.25
2017-10-06,155.02000427246094
2017-10-09,154.67999267578125
2017-10-10,155.9499969482422
2017-10-11,155.9600067138672
2017-10-12,156.42999267578125
2017-10-13,157.58999633789062
2017-10-16,158.9499969482422
2017-10-17,158.94000244140625
2017-10-18,159.8000030517578
2017-10-19,161.1699981689453
2017-10-20,162.82000732421875
2017-10-23,164.02000427246094
2017-10-24,163.27999877929688
2017-10-25,163.24000549316406
2017-10-26,162.82000732421875
2017-10-27,161.6199951171875
2017-10-30,161.00999450683594
2017-10-31,161.0800018310547
2017-11-01,160.91000366210938
2017-11-02,157.47999572753906
