,LVS
2017-03-21,55.91999816894531
2017-03-22,55.86000061035156
2017-03-23,55.59000015258789
2017-03-24,55.619998931884766
2017-03-27,56.630001068115234
2017-03-28,56.93000030517578
2017-03-29,57.25
2017-03-30,57.02999877929688
2017-03-31,57.06999969482422
2017-04-03,57.18000030517578
2017-04-04,56.66999816894531
2017-04-05,56.16999816894531
2017-04-06,56.68000030517578
2017-04-07,56.20000076293945
2017-04-10,55.560001373291016
2017-04-11,56.150001525878906
2017-04-12,56.5099983215332
2017-04-13,55.900001525878906
2017-04-17,56.43999862670898
2017-04-18,56.869998931884766
2017-04-19,56.68999862670898
2017-04-20,57.77000045776367
2017-04-21,57.380001068115234
2017-04-24,57.650001525878906
2017-04-25,58.470001220703125
2017-04-26,59.2599983215332
2017-04-27,59.20000076293945
2017-04-28,58.9900016784668
2017-05-01,59.38999938964844
2017-05-02,59.18999862670898
2017-05-03,59.310001373291016
2017-05-04,58.5
2017-05-05,58.75
2017-05-08,57.20000076293945
2017-05-09,58.040000915527344
2017-05-10,58.33000183105469
2017-05-11,57.459999084472656
2017-05-12,58.650001525878906
2017-05-15,58.29999923706055
2017-05-16,58.09999847412109
2017-05-17,56.84000015258789
2017-05-18,56.84999847412109
2017-05-19,56.77000045776367
2017-05-22,57.70000076293945
2017-05-23,57.52999877929688
2017-05-24,57.52999877929688
2017-05-25,57.95000076293945
2017-05-26,58.02000045776367
2017-05-30,58.70000076293945
2017-05-31,59.130001068115234
2017-06-01,62.04999923706055
2017-06-02,62.54999923706055
2017-06-05,62.40999984741211
2017-06-06,63.65999984741211
2017-06-07,63.86000061035156
2017-06-08,64.62999725341797
2017-06-09,63.68999862670898
2017-06-12,63.95000076293945
2017-06-13,64.87000274658203
2017-06-14,65.23999786376953
2017-06-15,64.7699966430664
2017-06-16,64.98999786376953
2017-06-19,66.12000274658203
2017-06-20,64.62000274658203
2017-06-21,64.56999969482422
2017-06-22,64.33999633789062
2017-06-23,64.97000122070312
2017-06-26,64.48999786376953
2017-06-27,64.13999938964844
2017-06-28,64.94999694824219
2017-06-29,63.5099983215332
2017-06-30,63.88999938964844
2017-07-03,62.630001068115234
2017-07-05,62.77000045776367
2017-07-06,61.54999923706055
2017-07-07,61.77000045776367
2017-07-10,62.16999816894531
2017-07-11,61.88999938964844
2017-07-12,62.27999877929688
2017-07-13,62.16999816894531
2017-07-14,61.06999969482422
2017-07-17,61.13999938964844
2017-07-18,62.470001220703125
2017-07-19,61.91999816894531
2017-07-20,62.15999984741211
2017-07-21,62.36000061035156
2017-07-24,62.709999084472656
2017-07-25,62.619998931884766
2017-07-26,61.650001525878906
2017-07-27,62.27000045776367
2017-07-28,61.27999877929688
2017-07-31,61.61000061035156
2017-08-01,61.22999954223633
2017-08-02,60.540000915527344
2017-08-03,60.77999877929688
2017-08-04,60.970001220703125
2017-08-07,61.06999969482422
2017-08-08,61.0
2017-08-09,60.77999877929688
2017-08-10,60.15999984741211
2017-08-11,59.65999984741211
2017-08-14,60.790000915527344
2017-08-15,61.86000061035156
2017-08-16,61.540000915527344
2017-08-17,60.11000061035156
2017-08-18,60.0099983215332
2017-08-21,60.25
2017-08-22,60.56999969482422
2017-08-23,59.88999938964844
2017-08-24,60.2400016784668
2017-08-25,60.119998931884766
2017-08-28,60.27999877929688
2017-08-29,60.709999084472656
2017-08-30,60.560001373291016
2017-08-31,62.209999084472656
2017-09-01,62.869998931884766
2017-09-05,62.65999984741211
2017-09-06,63.2599983215332
2017-09-07,63.38999938964844
2017-09-08,63.119998931884766
2017-09-11,64.27999877929688
2017-09-12,64.4800033569336
2017-09-13,64.44000244140625
2017-09-14,64.08999633789062
2017-09-15,63.25
2017-09-18,63.630001068115234
2017-09-19,64.52999877929688
2017-09-20,63.630001068115234
2017-09-21,63.619998931884766
2017-09-22,63.56999969482422
2017-09-25,62.310001373291016
2017-09-26,63.16999816894531
2017-09-27,64.16000366210938
2017-09-28,63.63999938964844
2017-09-29,64.16000366210938
2017-10-02,64.97000122070312
2017-10-03,64.88999938964844
2017-10-04,65.05999755859375
2017-10-05,65.04000091552734
2017-10-06,64.26000213623047
2017-10-09,63.65999984741211
2017-10-10,63.36000061035156
2017-10-11,63.31999969482422
2017-10-12,61.68000030517578
2017-10-13,62.0099983215332
2017-10-16,62.79999923706055
2017-10-17,62.310001373291016
2017-10-18,61.88999938964844
2017-10-19,62.34000015258789
2017-10-20,62.68999862670898
2017-10-23,63.130001068115234
2017-10-24,63.150001525878906
2017-10-25,62.90999984741211
2017-10-26,62.58000183105469
2017-10-27,61.75
2017-10-30,61.459999084472656
2017-10-31,63.380001068115234
2017-11-01,64.37000274658203
2017-11-02,64.9000015258789
2017-11-03,65.87999725341797
2017-11-06,66.55000305175781
2017-11-07,67.33999633789062
2017-11-08,67.9000015258789
2017-11-09,67.41999816894531
2017-11-10,67.4000015258789
2017-11-13,67.25
2017-11-14,67.2699966430664
2017-11-15,66.25
2017-11-16,66.68000030517578
2017-11-17,66.5
2017-11-20,67.08000183105469
2017-11-21,67.79000091552734
2017-11-22,67.69999694824219
2017-11-24,67.6500015258789
2017-11-27,67.76000213623047
2017-11-28,68.36000061035156
2017-11-29,67.55999755859375
2017-11-30,69.29000091552734
2017-12-01,69.83999633789062
2017-12-04,69.77999877929688
2017-12-05,69.44000244140625
2017-12-06,68.75
2017-12-07,69.5999984741211
2017-12-08,70.36000061035156
2017-12-11,71.06999969482422
2017-12-12,70.08000183105469
2017-12-13,70.83000183105469
2017-12-14,70.55000305175781
2017-12-15,70.5
2017-12-18,71.12000274658203
2017-12-19,71.97000122070312
2017-12-20,70.76000213623047
2017-12-21,70.30000305175781
2017-12-22,69.73999786376953
2017-12-26,70.12999725341797
2017-12-27,70.83999633789062
2017-12-28,69.9800033569336
2017-12-29,69.48999786376953
2018-01-02,69.0999984741211
2018-01-03,68.31999969482422
2018-01-04,68.1500015258789
2018-01-05,67.91999816894531
2018-01-08,68.0
2018-01-09,69.5199966430664
2018-01-10,70.04000091552734
2018-01-11,70.62999725341797
2018-01-12,71.0199966430664
2018-01-16,72.66999816894531
2018-01-17,73.51000213623047
2018-01-18,73.7300033569336
2018-01-19,74.51000213623047
2018-01-22,77.0999984741211
2018-01-23,77.66000366210938
2018-01-24,77.44000244140625
2018-01-25,75.36000061035156
2018-01-26,75.5
2018-01-29,79.02999877929688
2018-01-30,78.37999725341797
