,LNT
2024-01-02,51.880001068115234
2024-01-03,51.7599983215332
2024-01-04,51.93999862670898
2024-01-05,52.02999877929688
2024-01-08,52.33000183105469
2024-01-09,52.220001220703125
2024-01-10,51.90999984741211
2024-01-11,50.09000015258789
2024-01-12,50.380001068115234
2024-01-16,50.27999877929688
2024-01-17,49.540000915527344
2024-01-18,49.04999923706055
2024-01-19,48.869998931884766
2024-01-22,48.459999084472656
2024-01-23,48.77000045776367
2024-01-24,48.13999938964844
2024-01-25,48.75
2024-01-26,48.84999847412109
2024-01-29,49.18999862670898
2024-01-30,48.880001068115234
2024-01-31,48.65999984741211
2024-02-01,49.84000015258789
2024-02-02,48.79999923706055
2024-02-05,47.61000061035156
2024-02-06,47.7599983215332
2024-02-07,47.77999877929688
2024-02-08,47.47999954223633
2024-02-09,47.93000030517578
2024-02-12,48.459999084472656
2024-02-13,47.56999969482422
2024-02-14,47.630001068115234
2024-02-15,48.400001525878906
2024-02-16,48.34999847412109
2024-02-20,48.25
2024-02-21,49.09000015258789
2024-02-22,48.630001068115234
2024-02-23,48.70000076293945
2024-02-26,47.43000030517578
2024-02-27,47.81999969482422
2024-02-28,47.560001373291016
2024-02-29,47.75
2024-03-01,47.72999954223633
2024-03-04,48.540000915527344
2024-03-05,48.5099983215332
2024-03-06,48.97999954223633
2024-03-07,49.060001373291016
2024-03-08,49.34000015258789
2024-03-11,49.59000015258789
2024-03-12,48.77000045776367
2024-03-13,48.93000030517578
2024-03-14,48.06999969482422
2024-03-15,48.38999938964844
2024-03-18,48.61000061035156
2024-03-19,48.95000076293945
2024-03-20,48.79999923706055
2024-03-21,48.900001525878906
2024-03-22,48.66999816894531
2024-03-25,48.630001068115234
2024-03-26,48.2599983215332
2024-03-27,49.77000045776367
2024-03-28,50.400001525878906
2024-04-01,49.68000030517578
2024-04-02,49.970001220703125
2024-04-03,49.45000076293945
2024-04-04,49.130001068115234
2024-04-05,48.84999847412109
2024-04-08,49.45000076293945
2024-04-09,49.9900016784668
