,KKR
2018-03-09,22.709999084472656
2018-03-12,22.690000534057617
2018-03-13,22.420000076293945
2018-03-14,22.1200008392334
2018-03-15,21.76000022888184
2018-03-16,21.96999931335449
2018-03-19,21.63999938964844
2018-03-20,21.75
2018-03-21,21.809999465942383
2018-03-22,21.06999969482422
2018-03-23,20.61000061035156
2018-03-26,20.700000762939453
2018-03-27,20.3700008392334
2018-03-28,20.200000762939453
2018-03-29,20.299999237060547
2018-04-02,19.88999938964844
2018-04-03,19.709999084472656
2018-04-04,20.100000381469727
2018-04-05,20.32999992370605
2018-04-06,20.01000022888184
2018-04-09,20.01000022888184
2018-04-10,20.40999984741211
2018-04-11,20.229999542236328
2018-04-12,20.57999992370605
2018-04-13,20.32999992370605
2018-04-16,20.71999931335449
2018-04-17,20.979999542236328
2018-04-18,20.96999931335449
2018-04-19,21.149999618530277
2018-04-20,21.420000076293945
2018-04-23,21.309999465942383
2018-04-24,21.149999618530277
2018-04-25,20.75
2018-04-26,20.88999938964844
2018-04-27,20.86000061035156
2018-04-30,20.940000534057617
2018-05-01,21.399999618530277
2018-05-02,21.5
2018-05-03,22.13999938964844
2018-05-04,23.0
2018-05-07,22.59000015258789
2018-05-08,22.670000076293945
2018-05-09,22.8799991607666
2018-05-10,22.51000022888184
2018-05-11,22.030000686645508
2018-05-14,21.75
2018-05-15,21.600000381469727
2018-05-16,22.31999969482422
2018-05-17,22.709999084472656
2018-05-18,22.399999618530277
2018-05-21,22.649999618530277
2018-05-22,22.56999969482422
2018-05-23,22.290000915527344
2018-05-24,22.5
2018-05-25,22.459999084472656
2018-05-29,21.90999984741211
2018-05-30,22.149999618530277
2018-05-31,22.229999542236328
2018-06-01,22.46999931335449
2018-06-04,22.520000457763672
2018-06-05,22.450000762939453
2018-06-06,22.65999984741211
2018-06-07,22.479999542236328
2018-06-08,22.979999542236328
2018-06-11,23.26000022888184
2018-06-12,23.239999771118164
2018-06-13,23.6299991607666
2018-06-14,23.76000022888184
2018-06-15,23.90999984741211
2018-06-18,23.959999084472656
2018-06-19,24.18000030517578
2018-06-20,24.280000686645508
2018-06-21,24.56999969482422
2018-06-22,24.850000381469727
2018-06-25,24.540000915527344
2018-06-26,25.0
2018-06-27,24.84000015258789
2018-06-28,24.450000762939453
2018-06-29,24.850000381469727
2018-07-02,25.93000030517578
2018-07-03,26.68000030517578
2018-07-05,26.850000381469727
2018-07-06,27.040000915527344
2018-07-09,27.11000061035156
2018-07-10,26.280000686645508
2018-07-11,26.290000915527344
