,RVTY
2016-09-06,53.77000045776367
2016-09-07,54.47999954223633
2016-09-08,54.84999847412109
2016-09-09,52.75
2016-09-12,53.02999877929688
2016-09-13,51.970001220703125
2016-09-14,51.93999862670898
2016-09-15,53.15999984741211
2016-09-16,53.31999969482422
2016-09-19,53.81999969482422
2016-09-20,53.31999969482422
2016-09-21,54.290000915527344
2016-09-22,55.61000061035156
2016-09-23,55.52999877929688
2016-09-26,55.22999954223633
2016-09-27,56.02999877929688
2016-09-28,56.15999984741211
2016-09-29,55.13999938964844
2016-09-30,56.11000061035156
2016-10-03,55.59000015258789
2016-10-04,55.77000045776367
2016-10-05,56.41999816894531
2016-10-06,56.43000030517578
2016-10-07,55.70000076293945
2016-10-10,55.459999084472656
2016-10-11,53.81999969482422
2016-10-12,52.880001068115234
2016-10-13,52.060001373291016
2016-10-14,52.11000061035156
2016-10-17,51.810001373291016
2016-10-18,52.4900016784668
2016-10-19,52.810001373291016
2016-10-20,52.93000030517578
2016-10-21,52.68999862670898
2016-10-24,53.08000183105469
2016-10-25,51.15999984741211
2016-10-26,50.61000061035156
2016-10-27,50.90999984741211
2016-10-28,50.79999923706055
2016-10-31,50.88999938964844
2016-11-01,50.52000045776367
2016-11-02,50.02000045776367
2016-11-03,50.16999816894531
2016-11-04,51.06999969482422
2016-11-07,51.869998931884766
2016-11-08,50.720001220703125
2016-11-09,50.790000915527344
2016-11-10,51.209999084472656
2016-11-11,50.900001525878906
2016-11-14,50.27000045776367
2016-11-15,50.91999816894531
2016-11-16,51.459999084472656
2016-11-17,50.93999862670898
2016-11-18,49.95000076293945
2016-11-21,50.58000183105469
2016-11-22,50.65999984741211
2016-11-23,51.90999984741211
2016-11-25,51.540000915527344
2016-11-28,50.93999862670898
2016-11-29,51.16999816894531
2016-11-30,50.720001220703125
2016-12-01,50.7400016784668
2016-12-02,50.9900016784668
2016-12-05,51.150001525878906
2016-12-06,52.09999847412109
2016-12-07,52.7400016784668
2016-12-08,53.04999923706055
2016-12-09,53.560001373291016
2016-12-12,53.560001373291016
2016-12-13,54.0099983215332
2016-12-14,53.560001373291016
2016-12-15,53.9900016784668
2016-12-16,53.869998931884766
2016-12-19,53.43999862670898
2016-12-20,53.52000045776367
2016-12-21,53.09000015258789
2016-12-22,52.34000015258789
2016-12-23,52.65999984741211
2016-12-27,52.68000030517578
2016-12-28,52.18999862670898
2016-12-29,52.18000030517578
2016-12-30,52.150001525878906
2017-01-03,52.9900016784668
