,ARES
2017-10-17,18.700000762939453
2017-10-18,18.299999237060547
2017-10-19,18.25
2017-10-20,18.549999237060547
2017-10-23,18.64999961853028
2017-10-24,18.700000762939453
2017-10-25,18.56999969482422
2017-10-26,18.549999237060547
2017-10-27,18.600000381469727
2017-10-30,18.549999237060547
2017-10-31,18.350000381469727
2017-11-01,18.5
2017-11-02,18.600000381469727
2017-11-03,18.75
2017-11-06,18.799999237060547
2017-11-07,18.799999237060547
2017-11-08,18.850000381469727
2017-11-09,18.950000762939453
2017-11-10,18.799999237060547
2017-11-13,19.049999237060547
2017-11-14,18.950000762939453
2017-11-15,18.799999237060547
2017-11-16,18.5
2017-11-17,18.549999237060547
2017-11-20,18.75
2017-11-21,18.850000381469727
2017-11-22,18.89999961853028
2017-11-24,18.65999984741211
2017-11-27,18.799999237060547
2017-11-28,18.850000381469727
2017-11-29,18.600000381469727
2017-11-30,18.450000762939453
2017-12-01,18.25
2017-12-04,18.450000762939453
2017-12-05,18.350000381469727
2017-12-06,18.450000762939453
2017-12-07,18.700000762939453
2017-12-08,18.5
2017-12-11,18.5
2017-12-12,18.799999237060547
2017-12-13,18.950000762939453
2017-12-14,19.040000915527344
2017-12-15,18.950000762939453
2017-12-18,18.850000381469727
2017-12-19,18.850000381469727
2017-12-20,19.049999237060547
2017-12-21,18.950000762939453
2017-12-22,19.049999237060547
2017-12-26,19.100000381469727
2017-12-27,19.299999237060547
2017-12-28,19.700000762939453
2017-12-29,20.0
2018-01-02,20.200000762939453
2018-01-03,20.14999961853028
2018-01-04,20.0
2018-01-05,20.100000381469727
2018-01-08,20.700000762939453
2018-01-09,21.39999961853028
2018-01-10,22.25
2018-01-11,22.950000762939453
2018-01-12,22.950000762939453
2018-01-16,23.25
2018-01-17,23.25
2018-01-18,23.0
2018-01-19,23.200000762939453
2018-01-22,24.200000762939453
2018-01-23,24.950000762939453
2018-01-24,25.100000381469727
2018-01-25,24.5
2018-01-26,24.700000762939453
2018-01-29,24.5
2018-01-30,24.14999961853028
2018-01-31,23.350000381469727
2018-02-01,23.64999961853028
2018-02-02,23.14999961853028
2018-02-05,21.549999237060547
2018-02-06,21.950000762939453
2018-02-07,22.25
2018-02-08,21.799999237060547
2018-02-09,21.600000381469727
2018-02-12,23.0
2018-02-13,23.049999237060547
2018-02-14,22.700000762939453
2018-02-15,24.450000762939453
2018-02-16,24.049999237060547
2018-02-20,23.700000762939453
2018-02-21,24.0
2018-02-22,24.100000381469727
2018-02-23,23.950000762939453
2018-02-26,24.64999961853028
2018-02-27,24.350000381469727
2018-02-28,24.39999961853028
2018-03-01,24.75
2018-03-02,24.600000381469727
2018-03-05,25.25
2018-03-06,22.850000381469727
2018-03-07,22.299999237060547
2018-03-08,22.0
2018-03-09,21.89999961853028
2018-03-12,22.0
2018-03-13,21.850000381469727
2018-03-14,21.89999961853028
2018-03-15,21.350000381469727
2018-03-16,21.350000381469727
2018-03-19,20.89999961853028
2018-03-20,21.14999961853028
2018-03-21,21.049999237060547
2018-03-22,21.799999237060547
2018-03-23,21.75
2018-03-26,21.75
2018-03-27,21.299999237060547
2018-03-28,21.0
2018-03-29,21.39999961853028
2018-04-02,21.200000762939453
2018-04-03,21.700000762939453
2018-04-04,22.0
2018-04-05,21.549999237060547
2018-04-06,20.89999961853028
2018-04-09,21.299999237060547
2018-04-10,22.049999237060547
2018-04-11,21.450000762939453
2018-04-12,21.39999961853028
2018-04-13,21.350000381469727
2018-04-16,21.700000762939453
2018-04-17,22.25
2018-04-18,22.25
2018-04-19,22.549999237060547
2018-04-20,22.5
2018-04-23,22.25
2018-04-24,21.850000381469727
2018-04-25,22.0
2018-04-26,22.14999961853028
2018-04-27,21.850000381469727
2018-04-30,22.0
2018-05-01,22.39999961853028
2018-05-02,22.5
2018-05-03,22.200000762939453
2018-05-04,21.75
2018-05-07,22.299999237060547
2018-05-08,21.89999961853028
2018-05-09,22.14999961853028
2018-05-10,22.049999237060547
2018-05-11,22.0
2018-05-14,22.549999237060547
2018-05-15,22.14999961853028
2018-05-16,21.89999961853028
2018-05-17,22.100000381469727
2018-05-18,21.75
2018-05-21,21.64999961853028
2018-05-22,21.600000381469727
2018-05-23,21.5
2018-05-24,21.549999237060547
2018-05-25,21.39999961853028
2018-05-29,21.299999237060547
2018-05-30,21.549999237060547
2018-05-31,22.14999961853028
2018-06-01,21.950000762939453
2018-06-04,22.0
2018-06-05,21.850000381469727
2018-06-06,21.600000381469727
2018-06-07,21.89999961853028
2018-06-08,21.700000762939453
2018-06-11,21.64999961853028
2018-06-12,21.25
2018-06-13,20.89999961853028
2018-06-14,20.850000381469727
2018-06-15,20.700000762939453
2018-06-18,20.5
2018-06-19,20.64999961853028
2018-06-20,20.39999961853028
2018-06-21,20.700000762939453
2018-06-22,21.0
2018-06-25,20.850000381469727
2018-06-26,20.75
2018-06-27,20.700000762939453
2018-06-28,20.950000762939453
2018-06-29,20.700000762939453
2018-07-02,21.0
2018-07-03,21.100000381469727
2018-07-05,21.200000762939453
2018-07-06,21.14999961853028
2018-07-09,21.450000762939453
2018-07-10,21.14999961853028
2018-07-11,20.799999237060547
2018-07-12,21.0
2018-07-13,21.450000762939453
2018-07-16,21.600000381469727
2018-07-17,21.200000762939453
2018-07-18,21.350000381469727
2018-07-19,21.14999961853028
2018-07-20,21.549999237060547
2018-07-23,21.5
2018-07-24,21.100000381469727
2018-07-25,21.100000381469727
2018-07-26,20.850000381469727
2018-07-27,20.89999961853028
2018-07-30,20.950000762939453
2018-07-31,21.350000381469727
2018-08-01,20.89999961853028
2018-08-02,21.25
2018-08-03,20.950000762939453
2018-08-06,21.049999237060547
2018-08-07,21.049999237060547
2018-08-08,21.0
2018-08-09,21.0
2018-08-10,21.100000381469727
2018-08-13,21.350000381469727
2018-08-14,21.850000381469727
2018-08-15,20.950000762939453
2018-08-16,20.799999237060547
2018-08-17,20.799999237060547
2018-08-20,20.950000762939453
2018-08-21,21.049999237060547
2018-08-22,21.39999961853028
2018-08-23,21.299999237060547
2018-08-24,21.0
2018-08-27,21.25
2018-08-28,21.549999237060547
2018-08-29,21.799999237060547
2018-08-30,21.64999961853028
2018-08-31,21.299999237060547
2018-09-04,21.25
2018-09-05,21.14999961853028
2018-09-06,21.0
2018-09-07,21.049999237060547
2018-09-10,21.100000381469727
2018-09-11,21.049999237060547
2018-09-12,21.049999237060547
2018-09-13,21.14999961853028
2018-09-14,21.549999237060547
2018-09-17,21.600000381469727
2018-09-18,22.299999237060547
2018-09-19,23.0
2018-09-20,22.950000762939453
2018-09-21,23.299999237060547
2018-09-24,23.049999237060547
2018-09-25,23.0
2018-09-26,23.100000381469727
2018-09-27,23.299999237060547
2018-09-28,23.200000762939453
2018-10-01,22.729999542236328
2018-10-02,22.350000381469727
2018-10-03,22.440000534057617
2018-10-04,21.96999931335449
2018-10-05,21.709999084472656
2018-10-08,21.64999961853028
2018-10-09,21.86000061035156
2018-10-10,20.93000030517578
2018-10-11,20.690000534057617
2018-10-12,20.71999931335449
2018-10-15,20.64999961853028
2018-10-16,20.82999992370605
2018-10-17,20.950000762939453
2018-10-18,20.780000686645508
2018-10-19,20.40999984741211
2018-10-22,20.100000381469727
2018-10-23,19.84000015258789
2018-10-24,19.3799991607666
2018-10-25,19.64999961853028
2018-10-26,19.51000022888184
2018-10-29,19.01000022888184
2018-10-30,19.40999984741211
2018-10-31,19.61000061035156
2018-11-01,20.56999969482422
2018-11-02,21.030000686645508
2018-11-05,21.14999961853028
2018-11-06,21.6200008392334
2018-11-07,21.729999542236328
2018-11-08,21.850000381469727
2018-11-09,22.1299991607666
2018-11-12,21.729999542236328
2018-11-13,22.270000457763672
2018-11-14,22.13999938964844
2018-11-15,22.0
2018-11-16,22.38999938964844
2018-11-19,22.200000762939453
2018-11-20,21.700000762939453
2018-11-21,22.25
2018-11-23,22.1200008392334
2018-11-26,22.84000015258789
2018-11-27,22.57999992370605
2018-11-28,23.01000022888184
2018-11-29,22.780000686645508
2018-11-30,22.440000534057617
2018-12-03,23.049999237060547
2018-12-04,22.06999969482422
2018-12-06,22.209999084472656
2018-12-07,21.459999084472656
2018-12-10,21.71999931335449
2018-12-11,21.75
2018-12-12,22.0
2018-12-13,22.170000076293945
2018-12-14,21.65999984741211
2018-12-17,21.040000915527344
2018-12-18,20.459999084472656
2018-12-19,19.18000030517578
2018-12-20,17.540000915527344
2018-12-21,17.079999923706055
2018-12-24,16.8700008392334
2018-12-26,17.229999542236328
2018-12-27,17.75
2018-12-28,17.950000762939453
2018-12-31,17.780000686645508
2019-01-02,17.5
2019-01-03,17.100000381469727
2019-01-04,18.040000915527344
2019-01-07,18.5
2019-01-08,18.950000762939453
2019-01-09,18.780000686645508
2019-01-10,18.84000015258789
2019-01-11,19.299999237060547
2019-01-14,19.64999961853028
2019-01-15,19.90999984741211
2019-01-16,19.809999465942383
2019-01-17,19.799999237060547
2019-01-18,20.049999237060547
2019-01-22,20.209999084472656
2019-01-23,20.57999992370605
2019-01-24,20.64999961853028
2019-01-25,20.96999931335449
2019-01-28,21.049999237060547
2019-01-29,20.850000381469727
2019-01-30,20.780000686645508
2019-01-31,20.86000061035156
2019-02-01,20.799999237060547
2019-02-04,21.65999984741211
2019-02-05,22.0
2019-02-06,22.21999931335449
2019-02-07,21.59000015258789
2019-02-08,21.61000061035156
2019-02-11,21.280000686645508
