,CASY
2023-07-03,243.22999572753903
2023-07-05,245.47000122070312
2023-07-06,243.9199981689453
2023-07-07,242.6199951171875
2023-07-10,242.3600006103516
2023-07-11,244.6100006103516
2023-07-12,243.38999938964844
2023-07-13,243.0200042724609
2023-07-14,243.17999267578125
2023-07-17,248.8099975585937
2023-07-18,255.75
2023-07-19,254.509994506836
2023-07-20,256.1199951171875
2023-07-21,256.07000732421875
2023-07-24,256.6300048828125
2023-07-25,254.5599975585937
2023-07-26,254.82000732421875
2023-07-27,249.38999938964844
2023-07-28,251.4600067138672
2023-07-31,252.66000366210932
2023-08-01,248.13999938964844
2023-08-02,246.66000366210932
2023-08-03,244.92999267578125
2023-08-04,243.77999877929688
2023-08-07,247.0500030517578
2023-08-08,246.44000244140625
2023-08-09,246.6499938964844
2023-08-10,248.9499969482422
2023-08-11,247.6100006103516
2023-08-14,248.77999877929688
2023-08-15,248.509994506836
2023-08-16,248.57000732421875
2023-08-17,244.9600067138672
2023-08-18,246.88999938964844
2023-08-21,248.1699981689453
2023-08-22,244.16000366210932
2023-08-23,245.8500061035156
2023-08-24,241.82000732421875
2023-08-25,244.3999938964844
2023-08-28,244.0200042724609
2023-08-29,246.58999633789065
2023-08-30,245.25
2023-08-31,244.41000366210932
2023-09-01,243.2400054931641
2023-09-05,241.0599975585937
2023-09-06,238.69000244140625
2023-09-07,239.83999633789065
2023-09-08,241.8699951171875
2023-09-11,239.3999938964844
2023-09-12,266.1199951171875
2023-09-13,275.69000244140625
2023-09-14,279.9599914550781
2023-09-15,278.8399963378906
2023-09-18,281.6099853515625
2023-09-19,279.6099853515625
2023-09-20,281.3599853515625
2023-09-21,278.5899963378906
2023-09-22,277.8599853515625
2023-09-25,278.54998779296875
2023-09-26,274.6400146484375
2023-09-27,274.0899963378906
2023-09-28,274.1199951171875
2023-09-29,271.5199890136719
2023-10-02,271.79998779296875
2023-10-03,268.70001220703125
2023-10-04,272.7300109863281
2023-10-05,274.0299987792969
2023-10-06,269.69000244140625
2023-10-09,272.42999267578125
2023-10-10,276.42999267578125
2023-10-11,271.8900146484375
2023-10-12,266.3699951171875
2023-10-13,266.4800109863281
2023-10-16,268.57000732421875
2023-10-17,274.07000732421875
2023-10-18,269.010009765625
2023-10-19,264.0599975585937
2023-10-20,261.9800109863281
2023-10-23,264.760009765625
2023-10-24,265.989990234375
2023-10-25,268.8599853515625
2023-10-26,271.44000244140625
2023-10-27,268.5
2023-10-30,270.6400146484375
2023-10-31,271.9100036621094
2023-11-01,270.2099914550781
2023-11-02,270.75
2023-11-03,273.57000732421875
2023-11-06,272.8500061035156
2023-11-07,274.3599853515625
2023-11-08,274.6499938964844
2023-11-09,275.19000244140625
2023-11-10,275.92999267578125
2023-11-13,279.1199951171875
2023-11-14,281.45001220703125
2023-11-15,282.75
2023-11-16,281.3099975585937
2023-11-17,277.7200012207031
2023-11-20,281.6199951171875
2023-11-21,282.8900146484375
2023-11-22,284.6000061035156
2023-11-24,282.1300048828125
2023-11-27,282.6400146484375
2023-11-28,279.4200134277344
2023-11-29,273.75
2023-11-30,275.3999938964844
2023-12-01,276.3099975585937
2023-12-04,276.9800109863281
2023-12-05,275.57000732421875
2023-12-06,274.67999267578125
2023-12-07,274.6499938964844
2023-12-08,268.010009765625
2023-12-11,273.8099975585937
2023-12-12,272.6700134277344
2023-12-13,278.1300048828125
2023-12-14,271.3299865722656
2023-12-15,267.70001220703125
2023-12-18,271.4200134277344
2023-12-19,273.8699951171875
2023-12-20,269.42999267578125
2023-12-21,274.0
2023-12-22,273.8099975585937
2023-12-26,272.70001220703125
2023-12-27,274.5299987792969
2023-12-28,275.010009765625
2023-12-29,274.739990234375
2024-01-02,277.5799865722656
2024-01-03,276.1600036621094
2024-01-04,278.8999938964844
2024-01-05,284.3399963378906
2024-01-08,285.5899963378906
2024-01-09,283.0199890136719
2024-01-10,282.9800109863281
2024-01-11,287.1199951171875
2024-01-12,287.5199890136719
2024-01-16,288.5799865722656
2024-01-17,287.0400085449219
2024-01-18,285.2099914550781
2024-01-19,285.5799865722656
2024-01-22,286.0899963378906
2024-01-23,285.7300109863281
2024-01-24,282.1700134277344
2024-01-25,283.8299865722656
2024-01-26,275.45001220703125
2024-01-29,273.25
2024-01-30,274.4100036621094
2024-01-31,271.3599853515625
2024-02-01,274.739990234375
2024-02-02,275.0599975585937
2024-02-05,273.5199890136719
2024-02-06,276.1099853515625
2024-02-07,275.20001220703125
2024-02-08,285.0199890136719
2024-02-09,286.44000244140625
2024-02-12,285.07000732421875
2024-02-13,280.6600036621094
2024-02-14,283.75
2024-02-15,286.1300048828125
2024-02-16,287.6600036621094
2024-02-20,288.4800109863281
2024-02-21,288.17999267578125
2024-02-22,294.5599975585937
2024-02-23,299.75
2024-02-26,299.0400085449219
2024-02-27,300.9200134277344
2024-02-28,304.1199951171875
2024-02-29,304.489990234375
2024-03-01,306.8500061035156
2024-03-04,313.70001220703125
2024-03-05,291.2799987792969
2024-03-06,300.9100036621094
2024-03-07,307.1499938964844
2024-03-08,302.17999267578125
2024-03-11,298.760009765625
2024-03-12,294.0299987792969
2024-03-13,295.9100036621094
2024-03-14,297.5199890136719
2024-03-15,305.42999267578125
2024-03-18,305.1700134277344
2024-03-19,308.9200134277344
2024-03-20,315.1499938964844
2024-03-21,318.1099853515625
2024-03-22,316.5899963378906
2024-03-25,319.3800048828125
2024-03-26,316.4599914550781
2024-03-27,318.69000244140625
2024-03-28,318.45001220703125
2024-04-01,315.3699951171875
2024-04-02,312.5
2024-04-03,315.510009765625
2024-04-04,311.17999267578125
2024-04-05,316.6700134277344
2024-04-08,313.2300109863281
2024-04-09,312.19000244140625
2024-04-10,312.3299865722656
2024-04-11,309.7900085449219
2024-04-12,310.0599975585937
2024-04-15,312.7799987792969
2024-04-16,312.54998779296875
2024-04-17,309.1700134277344
2024-04-18,309.3999938964844
2024-04-19,310.4100036621094
2024-04-22,313.4800109863281
2024-04-23,313.32000732421875
2024-04-24,315.6400146484375
2024-04-25,317.7799987792969
2024-04-26,320.0299987792969
2024-04-29,323.2699890136719
2024-04-30,319.5799865722656
2024-05-01,318.6600036621094
2024-05-02,316.5799865722656
2024-05-03,313.9200134277344
2024-05-06,323.20001220703125
2024-05-07,329.8599853515625
2024-05-08,327.8999938964844
2024-05-09,332.9100036621094
2024-05-10,337.6099853515625
2024-05-13,340.260009765625
2024-05-14,337.760009765625
2024-05-15,337.67999267578125
2024-05-16,333.92999267578125
2024-05-17,335.4800109863281
2024-05-20,334.4700012207031
2024-05-21,336.1700134277344
2024-05-22,337.0799865722656
2024-05-23,338.19000244140625
2024-05-24,343.1400146484375
2024-05-28,337.32000732421875
2024-05-29,325.32000732421875
2024-05-30,327.6499938964844
2024-05-31,331.7799987792969
2024-06-03,330.9700012207031
2024-06-04,322.70001220703125
2024-06-05,326.1199951171875
2024-06-06,326.8800048828125
2024-06-07,328.6300048828125
2024-06-10,328.3299865722656
2024-06-11,326.5299987792969
2024-06-12,381.1300048828125
2024-06-13,376.5799865722656
2024-06-14,372.0199890136719
2024-06-17,377.2999877929688
2024-06-18,376.8299865722656
2024-06-20,368.4100036621094
2024-06-21,371.7699890136719
2024-06-24,380.8200073242188
2024-06-25,380.9700012207031
2024-06-26,381.6900024414063
2024-06-27,382.8699951171875
2024-06-28,381.55999755859375
2024-07-01,377.1900024414063
2024-07-02,373.8999938964844
2024-07-03,370.260009765625
2024-07-05,369.3599853515625
2024-07-08,367.5700073242188
2024-07-09,360.6199951171875
2024-07-10,363.55999755859375
2024-07-11,376.0400085449219
2024-07-12,376.4400024414063
2024-07-15,379.7900085449219
2024-07-16,383.2999877929688
2024-07-17,379.1099853515625
2024-07-18,376.4200134277344
2024-07-19,376.6499938964844
2024-07-22,378.9599914550781
2024-07-23,376.6900024414063
2024-07-24,374.1300048828125
2024-07-25,372.7799987792969
2024-07-26,391.1600036621094
2024-07-29,388.0199890136719
2024-07-30,387.5400085449219
2024-07-31,387.8399963378906
2024-08-01,383.1000061035156
2024-08-02,371.9299926757813
2024-08-05,371.8699951171875
2024-08-06,373.7300109863281
2024-08-07,367.5400085449219
2024-08-08,375.5199890136719
2024-08-09,374.760009765625
2024-08-12,371.010009765625
