,HLT
2021-09-24,135.47999572753906
2021-09-27,138.8000030517578
2021-09-28,136.5500030517578
2021-09-29,135.16000366210938
2021-09-30,132.11000061035156
2021-10-01,138.14999389648438
2021-10-04,138.50999450683594
2021-10-05,139.75
2021-10-06,139.36000061035156
2021-10-07,141.1699981689453
2021-10-08,141.50999450683594
2021-10-11,142.85000610351562
2021-10-12,144.6999969482422
2021-10-13,140.8300018310547
2021-10-14,141.5800018310547
2021-10-15,144.52000427246094
2021-10-18,144.05999755859375
2021-10-19,140.9499969482422
2021-10-20,140.24000549316406
2021-10-21,141.5
2021-10-22,141.66000366210938
2021-10-25,142.1699981689453
2021-10-26,144.4499969482422
2021-10-27,147.22000122070312
2021-10-28,146.0399932861328
2021-10-29,143.9499969482422
2021-11-01,144.77999877929688
2021-11-02,141.33999633789062
2021-11-03,145.24000549316406
2021-11-04,147.44000244140625
2021-11-05,151.83999633789062
2021-11-08,151.1699981689453
2021-11-09,148.4600067138672
2021-11-10,146.52999877929688
2021-11-11,143.5800018310547
2021-11-12,143.47000122070312
2021-11-15,142.91000366210938
2021-11-16,141.74000549316406
2021-11-17,144.52999877929688
2021-11-18,143.58999633789062
2021-11-19,144.3699951171875
2021-11-22,143.8699951171875
2021-11-23,145.72999572753906
2021-11-24,145.2899932861328
2021-11-26,136.2100067138672
2021-11-29,138.07000732421875
2021-11-30,135.07000732421875
2021-12-01,129.9600067138672
2021-12-02,139.58999633789062
2021-12-03,138.74000549316406
2021-12-06,144.30999755859375
2021-12-07,143.14999389648438
2021-12-08,144.38999938964844
2021-12-09,144.30999755859375
2021-12-10,146.1300048828125
2021-12-13,142.41000366210938
2021-12-14,141.97999572753906
2021-12-15,140.2899932861328
2021-12-16,139.0
2021-12-17,140.94000244140625
2021-12-20,140.3699951171875
2021-12-21,148.5500030517578
2021-12-22,152.74000549316406
2021-12-23,154.7100067138672
2021-12-27,155.2899932861328
2021-12-28,155.02000427246094
2021-12-29,155.3699951171875
2021-12-30,154.97999572753906
2021-12-31,155.99000549316406
2022-01-03,154.47999572753906
2022-01-04,155.9600067138672
2022-01-05,151.8000030517578
2022-01-06,152.17999267578125
2022-01-07,152.0
2022-01-10,148.61000061035156
2022-01-11,152.5
2022-01-12,150.0
2022-01-13,149.89999389648438
2022-01-14,147.97999572753906
2022-01-18,144.52000427246094
2022-01-19,142.2100067138672
2022-01-20,142.24000549316406
2022-01-21,142.25999450683594
2022-01-24,140.47999572753906
2022-01-25,142.38999938964844
2022-01-26,144.82000732421875
2022-01-27,137.25
2022-01-28,143.38999938964844
2022-01-31,145.11000061035156
2022-02-01,145.72000122070312
2022-02-02,144.58999633789062
2022-02-03,144.14999389648438
2022-02-04,145.5
2022-02-07,148.63999938964844
2022-02-08,153.3800048828125
2022-02-09,153.13999938964844
2022-02-10,154.1999969482422
2022-02-11,149.52999877929688
2022-02-14,151.42999267578125
2022-02-15,158.0
2022-02-16,156.33999633789062
2022-02-17,153.0399932861328
2022-02-18,150.41000366210938
2022-02-22,147.16000366210938
2022-02-23,143.3699951171875
2022-02-24,146.08999633789062
2022-02-25,150.6699981689453
2022-02-28,148.86000061035156
2022-03-01,142.1699981689453
2022-03-02,145.91000366210938
2022-03-03,142.00999450683594
2022-03-04,137.6699981689453
2022-03-07,129.08999633789062
2022-03-08,133.9199981689453
2022-03-09,138.52000427246094
2022-03-10,142.94000244140625
2022-03-11,141.77000427246094
2022-03-14,141.55999755859375
2022-03-15,144.24000549316406
2022-03-16,150.7899932861328
2022-03-17,151.13999938964844
2022-03-18,151.7899932861328
2022-03-21,150.35000610351562
2022-03-22,151.4199981689453
2022-03-23,148.41000366210938
2022-03-24,151.88999938964844
2022-03-25,151.5
2022-03-28,150.67999267578125
2022-03-29,155.30999755859375
2022-03-30,153.14999389648438
2022-03-31,151.74000549316406
2022-04-01,150.7100067138672
2022-04-04,152.33999633789062
2022-04-05,151.5500030517578
2022-04-06,145.61000061035156
2022-04-07,145.5500030517578
2022-04-08,145.47999572753906
2022-04-11,143.6999969482422
2022-04-12,144.8800048828125
2022-04-13,153.92999267578125
2022-04-14,155.5800018310547
2022-04-18,156.57000732421875
2022-04-19,163.13999938964844
2022-04-20,162.91000366210938
2022-04-21,156.9600067138672
2022-04-22,153.35000610351562
2022-04-25,155.94000244140625
2022-04-26,151.72000122070312
2022-04-27,157.05999755859375
2022-04-28,161.22000122070312
2022-04-29,155.2899932861328
2022-05-02,155.41000366210938
2022-05-03,148.9600067138672
2022-05-04,151.38999938964844
2022-05-05,149.88999938964844
2022-05-06,143.47999572753906
2022-05-09,133.30999755859375
2022-05-10,137.7899932861328
2022-05-11,134.50999450683594
2022-05-12,132.42999267578125
2022-05-13,136.58999633789062
2022-05-16,132.85000610351562
2022-05-17,135.0800018310547
2022-05-18,128.66000366210938
2022-05-19,131.7100067138672
2022-05-20,130.27999877929688
2022-05-23,132.35000610351562
2022-05-24,128.27999877929688
2022-05-25,131.74000549316406
2022-05-26,138.47000122070312
2022-05-27,142.25
2022-05-31,140.86000061035156
2022-06-01,138.4199981689453
2022-06-02,142.2899932861328
2022-06-03,142.1699981689453
2022-06-06,144.4199981689453
2022-06-07,143.82000732421875
2022-06-08,140.7100067138672
2022-06-09,135.8000030517578
2022-06-10,127.47000122070312
2022-06-13,120.8499984741211
2022-06-14,119.13999938964844
2022-06-15,121.88999938964844
2022-06-16,115.41999816894533
2022-06-17,116.27999877929688
2022-06-21,114.44000244140624
2022-06-22,112.0199966430664
2022-06-23,110.5199966430664
2022-06-24,116.70999908447266
2022-06-27,117.02999877929688
2022-06-28,115.27999877929688
2022-06-29,113.05999755859376
2022-06-30,111.44000244140624
2022-07-01,112.98999786376952
2022-07-05,112.02999877929688
2022-07-06,109.75
2022-07-07,113.9000015258789
2022-07-08,111.58999633789062
2022-07-11,111.58999633789062
2022-07-12,112.63999938964844
2022-07-13,114.12000274658205
2022-07-14,113.30999755859376
2022-07-15,116.33999633789062
2022-07-18,117.41999816894533
2022-07-19,121.41000366210938
2022-07-20,122.69000244140624
2022-07-21,121.97000122070312
2022-07-22,120.83000183105467
2022-07-25,122.19000244140624
2022-07-26,120.22000122070312
2022-07-27,129.25
2022-07-28,128.0
2022-07-29,128.07000732421875
2022-08-01,128.69000244140625
2022-08-02,128.67999267578125
2022-08-03,130.97000122070312
2022-08-04,131.0500030517578
2022-08-05,130.32000732421875
2022-08-08,130.72000122070312
2022-08-09,131.4499969482422
2022-08-10,133.66000366210938
2022-08-11,134.69000244140625
2022-08-12,137.44000244140625
2022-08-15,137.02000427246094
2022-08-16,139.02000427246094
2022-08-17,137.4600067138672
2022-08-18,138.77000427246094
2022-08-19,135.47999572753906
2022-08-22,131.5800018310547
2022-08-23,132.27999877929688
2022-08-24,133.3000030517578
2022-08-25,136.0800018310547
2022-08-26,131.08999633789062
2022-08-29,129.47000122070312
2022-08-30,126.83000183105467
2022-08-31,127.36000061035156
2022-09-01,127.66999816894533
2022-09-02,127.48999786376952
2022-09-06,126.87000274658205
2022-09-07,131.17999267578125
2022-09-08,132.97000122070312
2022-09-09,135.91000366210938
2022-09-12,136.64999389648438
2022-09-13,130.4600067138672
2022-09-14,134.8300018310547
2022-09-15,135.24000549316406
2022-09-16,130.8000030517578
2022-09-19,132.3000030517578
2022-09-20,131.67999267578125
2022-09-21,124.62999725341795
2022-09-22,119.41999816894533
2022-09-23,118.33000183105467
2022-09-26,117.4800033569336
2022-09-27,118.16999816894533
2022-09-28,123.66999816894533
2022-09-29,121.86000061035156
2022-09-30,120.62000274658205
2022-10-03,121.7699966430664
2022-10-04,125.97000122070312
2022-10-05,125.91999816894533
2022-10-06,123.3499984741211
2022-10-07,121.37000274658205
2022-10-10,120.33000183105467
2022-10-11,117.87999725341795
2022-10-12,121.0
2022-10-13,123.0999984741211
2022-10-14,122.58000183105467
2022-10-17,126.41000366210938
2022-10-18,128.60000610351562
2022-10-19,128.6999969482422
2022-10-20,126.5500030517578
2022-10-21,131.22999572753906
2022-10-24,130.6300048828125
2022-10-25,130.63999938964844
2022-10-26,129.99000549316406
2022-10-27,133.39999389648438
2022-10-28,134.63999938964844
2022-10-31,135.25999450683594
2022-11-01,133.74000549316406
2022-11-02,129.72999572753906
2022-11-03,128.5
2022-11-04,130.00999450683594
2022-11-07,128.8699951171875
2022-11-08,130.8300018310547
2022-11-09,129.88999938964844
2022-11-10,136.6199951171875
2022-11-11,140.6300048828125
2022-11-14,138.75999450683594
2022-11-15,138.5399932861328
2022-11-16,138.3800048828125
2022-11-17,137.9600067138672
2022-11-18,139.50999450683594
2022-11-21,137.91000366210938
2022-11-22,139.99000549316406
2022-11-23,138.5399932861328
2022-11-25,138.25
2022-11-28,137.0
2022-11-29,138.75
2022-11-30,142.6199951171875
2022-12-01,142.3000030517578
2022-12-02,141.4199981689453
2022-12-05,139.13999938964844
2022-12-06,137.57000732421875
2022-12-07,134.32000732421875
2022-12-08,137.16000366210938
2022-12-09,137.42999267578125
2022-12-12,138.75
2022-12-13,138.11000061035156
2022-12-14,136.0500030517578
