,IEX
2018-05-15,137.1199951171875
2018-05-16,137.41000366210938
2018-05-17,138.02000427246094
2018-05-18,139.5399932861328
2018-05-21,142.02000427246094
2018-05-22,140.3300018310547
2018-05-23,139.75
2018-05-24,140.92999267578125
2018-05-25,139.27000427246094
2018-05-29,137.89999389648438
2018-05-30,140.58999633789062
2018-05-31,138.67999267578125
2018-06-01,139.47000122070312
2018-06-04,139.24000549316406
2018-06-05,141.25999450683594
2018-06-06,142.49000549316406
2018-06-07,143.30999755859375
2018-06-08,144.1300048828125
2018-06-11,143.38999938964844
2018-06-12,143.22999572753906
2018-06-13,142.17999267578125
2018-06-14,143.6699981689453
2018-06-15,143.25
2018-06-18,143.99000549316406
2018-06-19,141.60000610351562
2018-06-20,141.2100067138672
2018-06-21,138.75
2018-06-22,138.66000366210938
2018-06-25,137.1199951171875
2018-06-26,136.07000732421875
2018-06-27,135.58999633789062
2018-06-28,135.52000427246094
2018-06-29,136.47999572753906
2018-07-02,135.7899932861328
2018-07-03,135.44000244140625
2018-07-05,137.5800018310547
2018-07-06,137.38999938964844
2018-07-09,138.3800048828125
2018-07-10,138.75999450683594
2018-07-11,136.74000549316406
2018-07-12,138.14999389648438
2018-07-13,138.64999389648438
2018-07-16,137.4199981689453
2018-07-17,138.6300048828125
2018-07-18,139.0800018310547
2018-07-19,140.6699981689453
2018-07-20,140.0399932861328
2018-07-23,137.4499969482422
2018-07-24,139.60000610351562
2018-07-25,149.0399932861328
2018-07-26,150.3699951171875
2018-07-27,149.9499969482422
2018-07-30,147.97000122070312
2018-07-31,153.5800018310547
2018-08-01,152.64999389648438
2018-08-02,152.7899932861328
2018-08-03,151.75999450683594
2018-08-06,152.97000122070312
2018-08-07,153.27000427246094
2018-08-08,152.52000427246094
2018-08-09,151.64999389648438
2018-08-10,151.0399932861328
2018-08-13,151.08999633789062
2018-08-14,152.11000061035156
2018-08-15,151.5800018310547
2018-08-16,152.02999877929688
2018-08-17,152.1199951171875
2018-08-20,153.07000732421875
2018-08-21,153.75999450683594
2018-08-22,152.82000732421875
2018-08-23,150.9499969482422
2018-08-24,151.5
2018-08-27,153.50999450683594
2018-08-28,153.6699981689453
2018-08-29,155.36000061035156
2018-08-30,153.91000366210938
2018-08-31,153.2100067138672
2018-09-04,152.7899932861328
2018-09-05,152.69000244140625
2018-09-06,152.57000732421875
2018-09-07,152.35000610351562
2018-09-10,152.52000427246094
2018-09-11,152.07000732421875
2018-09-12,151.1300048828125
2018-09-13,153.36000061035156
2018-09-14,155.27999877929688
2018-09-17,153.89999389648438
2018-09-18,155.9600067138672
2018-09-19,155.10000610351562
2018-09-20,156.77000427246094
2018-09-21,156.16000366210938
2018-09-24,154.77999877929688
2018-09-25,154.0
2018-09-26,153.25
2018-09-27,152.2100067138672
2018-09-28,150.66000366210938
2018-10-01,151.11000061035156
2018-10-02,149.9199981689453
2018-10-03,150.97000122070312
2018-10-04,149.8300018310547
2018-10-05,148.05999755859375
2018-10-08,145.8000030517578
2018-10-09,143.42999267578125
2018-10-10,140.1199951171875
2018-10-11,134.17999267578125
2018-10-12,136.49000549316406
2018-10-15,135.17999267578125
2018-10-16,136.8000030517578
2018-10-17,137.36000061035156
2018-10-18,134.3699951171875
2018-10-19,132.86000061035156
2018-10-22,133.5500030517578
2018-10-23,129.41000366210938
2018-10-24,127.12999725341795
2018-10-25,126.86000061035156
2018-10-26,127.37000274658205
2018-10-29,125.01000213623048
2018-10-30,125.25
2018-10-31,126.81999969482422
2018-11-01,131.9600067138672
2018-11-02,134.1199951171875
2018-11-05,133.94000244140625
2018-11-06,134.4600067138672
2018-11-07,138.5399932861328
2018-11-08,136.52999877929688
2018-11-09,135.52999877929688
2018-11-12,132.99000549316406
2018-11-13,132.6699981689453
2018-11-14,133.74000549316406
2018-11-15,136.07000732421875
2018-11-16,136.75999450683594
2018-11-19,134.61000061035156
2018-11-20,131.99000549316406
2018-11-21,133.02000427246094
2018-11-23,131.39999389648438
2018-11-26,133.25
2018-11-27,131.8300018310547
2018-11-28,134.61000061035156
2018-11-29,134.36000061035156
2018-11-30,137.39999389648438
2018-12-03,139.19000244140625
2018-12-04,134.49000549316406
2018-12-06,135.0399932861328
2018-12-07,133.63999938964844
2018-12-10,134.3800048828125
2018-12-11,133.5399932861328
2018-12-12,135.61000061035156
2018-12-13,135.00999450683594
2018-12-14,132.55999755859375
2018-12-17,129.30999755859375
2018-12-18,129.0399932861328
2018-12-19,125.6999969482422
2018-12-20,124.94000244140624
2018-12-21,123.70999908447266
2018-12-24,118.63999938964844
2018-12-26,123.66999816894533
2018-12-27,125.43000030517578
2018-12-28,124.16000366210938
2018-12-31,126.26000213623048
2019-01-02,125.0500030517578
2019-01-03,121.41999816894533
2019-01-04,129.35000610351562
2019-01-07,131.8300018310547
2019-01-08,134.89999389648438
2019-01-09,135.5399932861328
2019-01-10,136.57000732421875
2019-01-11,136.55999755859375
2019-01-14,134.89999389648438
2019-01-15,134.64999389648438
2019-01-16,135.83999633789062
2019-01-17,137.83999633789062
2019-01-18,140.77000427246094
2019-01-22,137.60000610351562
2019-01-23,135.91000366210938
2019-01-24,136.75999450683594
2019-01-25,137.25999450683594
2019-01-28,135.64999389648438
2019-01-29,139.10000610351562
2019-01-30,137.10000610351562
2019-01-31,137.86000061035156
2019-02-01,138.07000732421875
2019-02-04,138.1300048828125
2019-02-05,138.35000610351562
2019-02-06,138.19000244140625
2019-02-07,137.85000610351562
2019-02-08,140.02000427246094
2019-02-11,140.36000061035156
2019-02-12,142.97000122070312
2019-02-13,141.97000122070312
2019-02-14,141.0800018310547
2019-02-15,144.1199951171875
2019-02-19,142.5399932861328
2019-02-20,143.1699981689453
2019-02-21,142.4600067138672
2019-02-22,144.5500030517578
2019-02-25,144.8300018310547
2019-02-26,143.5399932861328
2019-02-27,144.9600067138672
2019-02-28,144.10000610351562
2019-03-01,144.85000610351562
2019-03-04,145.5500030517578
2019-03-05,144.74000549316406
2019-03-06,145.08999633789062
2019-03-07,143.80999755859375
2019-03-08,142.9600067138672
2019-03-11,146.75
2019-03-12,145.88999938964844
2019-03-13,147.4199981689453
2019-03-14,146.6699981689453
2019-03-15,147.72000122070312
2019-03-18,149.97999572753906
2019-03-19,149.19000244140625
2019-03-20,148.55999755859375
2019-03-21,151.63999938964844
2019-03-22,147.92999267578125
2019-03-25,147.82000732421875
2019-03-26,150.3300018310547
2019-03-27,149.9600067138672
2019-03-28,151.4499969482422
2019-03-29,151.74000549316406
2019-04-01,155.77999877929688
2019-04-02,154.82000732421875
2019-04-03,155.5500030517578
