,WRB
2021-04-15,35.293331146240234
2021-04-16,35.51555633544922
2021-04-19,35.893333435058594
2021-04-20,35.85333251953125
2021-04-21,35.804443359375
2021-04-22,35.7599983215332
2021-04-23,36.15999984741211
2021-04-26,35.7511100769043
2021-04-27,35.80888748168945
2021-04-28,35.06222152709961
2021-04-29,35.38222122192383
2021-04-30,35.43111038208008
2021-05-03,35.782222747802734
2021-05-04,35.88444519042969
2021-05-05,35.72888946533203
2021-05-06,35.942222595214844
2021-05-07,36.20000076293945
2021-05-10,35.9466667175293
2021-05-11,35.1511116027832
2021-05-12,34.573333740234375
2021-05-13,35.29777908325195
2021-05-14,35.77333450317383
2021-05-17,35.293331146240234
2021-05-18,34.9555549621582
2021-05-19,35.00444412231445
2021-05-20,34.88888931274414
2021-05-21,34.82666778564453
2021-05-24,34.77333450317383
2021-05-25,34.137779235839844
2021-05-26,34.03555679321289
2021-05-27,34.400001525878906
2021-05-28,34.66222381591797
2021-06-01,34.53333282470703
2021-06-02,34.20000076293945
2021-06-03,34.33333206176758
2021-06-04,34.35555648803711
2021-06-07,33.63999938964844
2021-06-08,33.72888946533203
2021-06-09,33.53333282470703
2021-06-10,33.488887786865234
2021-06-11,33.75555419921875
2021-06-14,33.52888870239258
2021-06-15,33.79999923706055
2021-06-16,33.84000015258789
2021-06-17,33.27555465698242
2021-06-18,32.328887939453125
2021-06-21,33.0444450378418
2021-06-22,32.99555587768555
2021-06-23,32.72444534301758
2021-06-24,32.8577766418457
2021-06-25,33.195556640625
2021-06-28,32.96444320678711
2021-06-29,32.973331451416016
2021-06-30,33.08000183105469
2021-07-01,33.7599983215332
2021-07-02,33.764442443847656
2021-07-06,33.697776794433594
2021-07-07,33.9466667175293
2021-07-08,32.91999816894531
2021-07-09,33.608890533447266
2021-07-12,33.89777755737305
2021-07-13,33.36888885498047
2021-07-14,33.52000045776367
2021-07-15,33.98666763305664
2021-07-16,34.10222244262695
2021-07-19,32.96888732910156
2021-07-20,33.71110916137695
2021-07-21,34.0
2021-07-22,33.426666259765625
2021-07-23,33.2488899230957
2021-07-26,33.133331298828125
2021-07-27,33.008888244628906
2021-07-28,32.41777801513672
2021-07-29,32.69333267211914
2021-07-30,32.52000045776367
2021-08-02,32.36888885498047
2021-08-03,32.24444580078125
2021-08-04,31.9777774810791
2021-08-05,32.293331146240234
2021-08-06,32.6533317565918
2021-08-09,32.648887634277344
2021-08-10,32.497779846191406
2021-08-11,32.9022216796875
2021-08-12,32.817779541015625
2021-08-13,33.137779235839844
2021-08-16,33.07110977172852
2021-08-17,33.20888900756836
2021-08-18,32.924442291259766
2021-08-19,33.586666107177734
2021-08-20,33.9466667175293
2021-08-23,33.804443359375
2021-08-24,33.74222183227539
2021-08-25,33.86222076416016
2021-08-26,33.38666534423828
2021-08-27,33.84000015258789
2021-08-30,33.40888977050781
2021-08-31,33.47111129760742
2021-09-01,33.40888977050781
2021-09-02,33.497779846191406
2021-09-03,33.088890075683594
2021-09-07,32.59111022949219
2021-09-08,32.98666763305664
2021-09-09,32.46666717529297
2021-09-10,31.8799991607666
2021-09-13,32.21333312988281
2021-09-14,31.76444435119629
2021-09-15,31.86222267150879
2021-09-16,32.075557708740234
2021-09-17,32.084442138671875
2021-09-20,31.831111907958984
2021-09-21,31.87555694580078
2021-09-22,32.12888717651367
2021-09-23,32.400001525878906
2021-09-24,32.58222198486328
2021-09-27,32.65777969360352
2021-09-28,32.25333404541016
2021-09-29,32.648887634277344
2021-09-30,32.524444580078125
2021-10-01,33.075557708740234
2021-10-04,32.87555694580078
2021-10-05,33.45333480834961
2021-10-06,34.05777740478516
2021-10-07,34.426666259765625
2021-10-08,34.28889083862305
2021-10-11,34.026668548583984
2021-10-12,33.98222351074219
2021-10-13,33.82666778564453
2021-10-14,34.439998626708984
2021-10-15,34.56888961791992
2021-10-18,33.9555549621582
2021-10-19,34.43111038208008
2021-10-20,34.880001068115234
2021-10-21,35.06222152709961
2021-10-22,36.560001373291016
2021-10-25,36.41777801513672
2021-10-26,36.377777099609375
2021-10-27,35.671112060546875
2021-10-28,35.96888732910156
2021-10-29,35.377777099609375
2021-11-01,35.58222198486328
2021-11-02,36.27555465698242
2021-11-03,36.26666641235352
2021-11-04,35.28444290161133
2021-11-05,35.813331604003906
2021-11-08,36.186668395996094
2021-11-09,36.1422233581543
2021-11-10,36.1511116027832
2021-11-11,36.133331298828125
2021-11-12,36.10222244262695
2021-11-15,35.928890228271484
2021-11-16,36.04888916015625
2021-11-17,36.29333114624024
2021-11-18,36.391109466552734
2021-11-19,35.684444427490234
2021-11-22,36.67111206054688
2021-11-23,37.55555725097656
2021-11-24,37.11111068725586
2021-11-26,35.764442443847656
2021-11-29,35.31999969482422
2021-11-30,34.06222152709961
2021-12-01,33.648887634277344
2021-12-02,35.0444450378418
2021-12-03,34.54222106933594
2021-12-06,34.98222351074219
2021-12-07,35.45333480834961
2021-12-08,35.511112213134766
2021-12-09,35.45777893066406
2021-12-10,35.973331451416016
2021-12-13,35.831111907958984
2021-12-14,36.21333312988281
2021-12-15,36.29777908325195
2021-12-16,36.497779846191406
2021-12-17,35.733333587646484
2021-12-20,35.0
2021-12-21,35.351112365722656
2021-12-22,35.400001525878906
2021-12-23,35.63111114501953
2021-12-27,36.15999984741211
2021-12-28,36.43111038208008
2021-12-29,36.67555618286133
2021-12-30,36.23555755615234
2021-12-31,36.61777877807617
2022-01-03,36.11555480957031
2022-01-04,36.6533317565918
2022-01-05,36.24444580078125
2022-01-06,36.86222076416016
