,BKR
2020-04-28,14.199999809265137
2020-04-29,14.8100004196167
2020-04-30,13.949999809265137
2020-05-01,13.699999809265137
2020-05-04,13.970000267028809
2020-05-05,13.600000381469728
2020-05-06,12.93000030517578
2020-05-07,14.020000457763672
2020-05-08,15.010000228881836
2020-05-11,14.619999885559082
2020-05-12,14.56999969482422
2020-05-13,13.609999656677246
2020-05-14,14.0
2020-05-15,13.760000228881836
2020-05-18,15.34000015258789
2020-05-19,14.510000228881836
2020-05-20,15.609999656677246
2020-05-21,15.420000076293944
2020-05-22,15.119999885559082
2020-05-26,16.010000228881836
2020-05-27,16.559999465942383
2020-05-28,16.389999389648438
2020-05-29,16.510000228881836
2020-06-01,16.329999923706055
2020-06-02,17.110000610351562
2020-06-03,17.329999923706055
2020-06-04,17.149999618530273
2020-06-05,17.75
2020-06-08,19.059999465942383
2020-06-09,18.670000076293945
2020-06-10,17.260000228881836
2020-06-11,15.630000114440918
2020-06-12,15.9399995803833
2020-06-15,16.350000381469727
2020-06-16,16.84000015258789
2020-06-17,16.100000381469727
2020-06-18,16.110000610351562
2020-06-19,15.489999771118164
2020-06-22,15.350000381469728
2020-06-23,15.539999961853027
2020-06-24,14.3100004196167
2020-06-25,14.949999809265137
2020-06-26,14.699999809265137
2020-06-29,14.850000381469728
2020-06-30,15.390000343322754
2020-07-01,15.40999984741211
2020-07-02,15.40999984741211
2020-07-06,15.510000228881836
2020-07-07,15.220000267028809
2020-07-08,15.520000457763672
2020-07-09,14.649999618530272
2020-07-10,15.050000190734863
2020-07-13,15.0600004196167
2020-07-14,15.5600004196167
2020-07-15,15.600000381469728
2020-07-16,15.390000343322754
2020-07-17,15.270000457763672
2020-07-20,15.050000190734863
2020-07-21,16.309999465942383
2020-07-22,16.459999084472656
2020-07-23,16.690000534057617
2020-07-24,16.3700008392334
2020-07-27,16.329999923706055
2020-07-28,15.869999885559082
2020-07-29,15.8100004196167
2020-07-30,15.329999923706056
2020-07-31,15.489999771118164
2020-08-03,15.630000114440918
2020-08-04,16.190000534057617
2020-08-05,16.760000228881836
2020-08-06,16.770000457763672
2020-08-07,16.56999969482422
2020-08-10,17.260000228881836
2020-08-11,17.18000030517578
2020-08-12,17.530000686645508
2020-08-13,17.1200008392334
2020-08-14,17.229999542236328
2020-08-17,16.670000076293945
2020-08-18,16.459999084472656
2020-08-19,16.329999923706055
2020-08-20,15.729999542236328
2020-08-21,15.449999809265137
2020-08-24,15.90999984741211
2020-08-25,15.649999618530272
2020-08-26,15.050000190734863
2020-08-27,14.729999542236328
2020-08-28,14.800000190734863
2020-08-31,14.279999732971191
2020-09-01,13.880000114440918
2020-09-02,14.109999656677246
2020-09-03,14.550000190734863
2020-09-04,14.529999732971191
2020-09-08,13.989999771118164
2020-09-09,14.119999885559082
2020-09-10,13.869999885559082
2020-09-11,13.949999809265137
2020-09-14,14.630000114440918
2020-09-15,14.710000038146973
2020-09-16,15.010000228881836
2020-09-17,15.1899995803833
2020-09-18,15.170000076293944
2020-09-21,14.329999923706056
2020-09-22,14.399999618530272
2020-09-23,13.529999732971191
2020-09-24,13.31999969482422
2020-09-25,13.130000114440918
2020-09-28,13.470000267028809
2020-09-29,13.130000114440918
2020-09-30,13.289999961853027
2020-10-01,12.760000228881836
2020-10-02,12.649999618530272
2020-10-05,12.960000038146973
2020-10-06,12.760000228881836
2020-10-07,12.970000267028809
