,RTX
2019-05-17,84.17243194580078
2019-05-20,84.00251770019531
2019-05-21,85.6072998046875
2019-05-22,85.21711730957031
2019-05-23,82.09565734863281
2019-05-24,82.69351959228516
2019-05-28,81.76211547851562
2019-05-29,81.47891998291016
2019-05-30,80.80553436279297
2019-05-31,79.48395538330078
2019-06-03,79.83637237548828
2019-06-04,81.41598510742188
2019-06-05,82.66834259033203
2019-06-06,82.86343383789062
2019-06-07,83.16551208496094
2019-06-10,80.56010437011719
2019-06-11,77.36941528320312
2019-06-12,78.08055114746094
2019-06-13,78.54625701904297
2019-06-14,78.85462951660156
2019-06-17,78.18124389648438
2019-06-18,79.68533325195312
2019-06-19,79.77344512939453
2019-06-20,81.83133697509766
2019-06-21,81.02580261230469
2019-06-24,81.92573547363281
2019-06-25,81.19572448730469
2019-06-26,80.40277099609375
2019-06-27,81.16425323486328
2019-06-28,81.93832397460938
2019-07-01,82.65576171875
2019-07-02,83.04594421386719
2019-07-03,83.700439453125
2019-07-05,83.41094970703125
2019-07-08,82.35997772216797
2019-07-09,82.05789947509766
2019-07-10,82.09565734863281
2019-07-11,82.65576171875
2019-07-12,84.15355682373047
2019-07-15,83.84518432617188
2019-07-16,83.82001495361328
2019-07-17,81.87539672851562
2019-07-18,82.63058471679688
2019-07-19,83.3165512084961
2019-07-22,83.66897583007812
2019-07-23,84.92133331298828
2019-07-24,84.48709869384766
2019-07-25,85.81497955322266
2019-07-26,85.3555679321289
2019-07-29,85.4122085571289
2019-07-30,85.14789581298828
2019-07-31,84.07803344726562
2019-08-01,82.97042083740234
2019-08-02,82.32221221923828
2019-08-05,79.13782501220703
2019-08-06,81.05726623535156
2019-08-07,81.1894302368164
2019-08-08,82.74386596679688
2019-08-09,82.59282684326172
2019-08-12,80.56639099121094
2019-08-13,81.15166473388672
2019-08-14,78.22529602050781
2019-08-15,77.87287902832031
2019-08-16,78.69729614257812
2019-08-19,79.69792175292969
2019-08-20,79.72309875488281
2019-08-21,80.13215637207031
2019-08-22,80.52863311767578
2019-08-23,77.67149353027344
2019-08-26,78.97419738769531
2019-08-27,78.39521789550781
2019-08-28,79.84266662597656
2019-08-29,81.50408935546875
2019-08-30,81.9635009765625
2019-09-03,81.16425323486328
2019-09-04,82.47325134277344
2019-09-05,83.71932220458984
2019-09-06,84.13467407226562
2019-09-09,84.39899444580078
2019-09-10,84.27312469482422
2019-09-11,85.55695343017578
2019-09-12,86.50724029541016
2019-09-13,86.88483428955078
2019-09-16,86.89742279052734
2019-09-17,86.34990692138672
2019-09-18,86.63310241699219
2019-09-19,86.5512924194336
2019-09-20,85.31781005859375
2019-09-23,85.38074493408203
2019-09-24,85.26116943359375
2019-09-25,86.11076354980469
2019-09-26,86.5512924194336
2019-09-27,85.83385467529297
2019-09-30,85.9156723022461
2019-10-01,84.1976089477539
2019-10-02,82.10824584960938
2019-10-03,82.57394409179688
2019-10-04,83.83259582519531
2019-10-07,83.5053482055664
2019-10-08,82.30963134765625
2019-10-09,83.04594421386719
2019-10-10,84.2794189453125
2019-10-11,85.68281555175781
2019-10-14,85.53807067871094
2019-10-15,85.68281555175781
2019-10-16,86.03524017333984
2019-10-17,86.95405578613281
2019-10-18,86.09188079833984
2019-10-21,87.06733703613281
2019-10-22,88.99308013916016
2019-10-23,88.04908752441406
2019-10-24,90.2706069946289
2019-10-25,89.96853637695312
2019-10-28,90.01888275146484
2019-10-29,89.3643798828125
2019-10-30,90.5223388671875
2019-10-31,90.35871887207033
2019-11-01,92.30963134765624
2019-11-04,92.83197021484376
2019-11-05,93.0459442138672
2019-11-06,93.33543395996094
2019-11-07,93.59974670410156
2019-11-08,93.69414520263672
2019-11-11,93.27879333496094
2019-11-12,93.38578033447266
2019-11-13,93.33543395996094
2019-11-14,93.20956420898438
2019-11-15,93.99622344970705
2019-11-18,93.8388900756836
2019-11-19,93.3731918334961
2019-11-20,92.2907485961914
2019-11-21,92.69981384277344
2019-11-22,92.95154571533205
2019-11-25,92.83826446533205
2019-11-26,93.21585845947266
2019-11-27,93.65638732910156
2019-11-29,93.35430908203124
2019-12-02,91.24606323242188
2019-12-03,90.45311737060548
2019-12-04,90.95027923583984
2019-12-05,91.41598510742188
2019-12-06,92.50472259521484
2019-12-09,92.0201416015625
2019-12-10,91.48521423339844
2019-12-11,92.6809310913086
2019-12-12,94.0276870727539
2019-12-13,93.813720703125
2019-12-16,94.05915832519533
2019-12-17,93.53052520751952
2019-12-18,92.95783233642578
2019-12-19,93.587158203125
2019-12-20,94.07803344726562
2019-12-23,94.28571319580078
2019-12-24,94.12837982177734
2019-12-26,94.84581756591795
2019-12-27,94.57520294189452
2019-12-30,94.32347106933594
2019-12-31,94.24795532226562
2020-01-02,96.37507629394533
2020-01-03,96.50724029541016
2020-01-06,96.71491241455078
2020-01-07,96.40654754638672
2020-01-08,96.5512924194336
2020-01-09,96.69603729248048
2020-01-10,95.56954193115234
2020-01-13,95.6891098022461
2020-01-14,95.36815643310548
2020-01-15,95.63247680664062
2020-01-16,96.6331024169922
2020-01-17,97.16802978515624
