,BX
2016-09-26,25.459999084472656
2016-09-27,25.0
2016-09-28,25.1200008392334
2016-09-29,25.059999465942383
2016-09-30,25.530000686645508
2016-10-03,25.190000534057617
2016-10-04,25.09000015258789
2016-10-05,25.13999938964844
2016-10-06,24.790000915527344
2016-10-07,24.68000030517578
2016-10-10,24.65999984741211
2016-10-11,24.299999237060547
2016-10-12,24.15999984741211
2016-10-13,23.84000015258789
2016-10-14,23.68000030517578
2016-10-17,23.520000457763672
2016-10-18,23.61000061035156
2016-10-19,23.709999084472656
2016-10-20,23.6200008392334
2016-10-21,24.06999969482422
2016-10-24,24.790000915527344
2016-10-25,25.040000915527344
2016-10-26,25.3799991607666
2016-10-27,25.34000015258789
2016-10-28,25.5
2016-10-31,25.030000686645508
2016-11-01,24.920000076293945
2016-11-02,24.36000061035156
2016-11-03,23.84000015258789
2016-11-04,23.540000915527344
2016-11-07,23.86000061035156
2016-11-08,24.040000915527344
2016-11-09,23.690000534057617
2016-11-10,24.530000686645508
2016-11-11,24.200000762939453
2016-11-14,25.270000457763672
2016-11-15,25.89999961853028
2016-11-16,25.559999465942383
2016-11-17,25.89999961853028
2016-11-18,26.600000381469727
2016-11-21,26.350000381469727
2016-11-22,26.489999771118164
2016-11-23,26.030000686645508
2016-11-25,26.549999237060547
2016-11-28,25.809999465942383
2016-11-29,25.989999771118164
2016-11-30,25.739999771118164
2016-12-01,26.14999961853028
2016-12-02,25.86000061035156
2016-12-05,26.39999961853028
2016-12-06,26.549999237060547
2016-12-07,28.56999969482422
2016-12-08,29.809999465942383
2016-12-09,29.520000457763672
2016-12-12,29.290000915527344
2016-12-13,29.32999992370605
2016-12-14,29.100000381469727
2016-12-15,29.229999542236328
2016-12-16,28.96999931335449
2016-12-19,29.07999992370605
2016-12-20,28.90999984741211
2016-12-21,28.5
2016-12-22,27.989999771118164
2016-12-23,28.13999938964844
2016-12-27,27.739999771118164
2016-12-28,27.32999992370605
2016-12-29,27.14999961853028
2016-12-30,27.030000686645508
2017-01-03,28.1200008392334
2017-01-04,29.799999237060547
2017-01-05,30.420000076293945
2017-01-06,30.51000022888184
2017-01-09,30.46999931335449
2017-01-10,30.06999969482422
2017-01-11,30.209999084472656
2017-01-12,30.200000762939453
2017-01-13,30.09000015258789
2017-01-17,29.670000076293945
2017-01-18,29.57999992370605
2017-01-19,29.309999465942383
2017-01-20,29.57999992370605
2017-01-23,29.56999969482422
2017-01-24,30.309999465942383
2017-01-25,30.6200008392334
2017-01-26,31.209999084472656
2017-01-27,31.299999237060547
2017-01-30,31.020000457763672
2017-01-31,30.6299991607666
2017-02-01,31.15999984741211
2017-02-02,30.790000915527344
2017-02-03,30.739999771118164
2017-02-06,30.6200008392334
2017-02-07,30.549999237060547
2017-02-08,30.530000686645508
2017-02-09,30.170000076293945
2017-02-10,30.350000381469727
2017-02-13,30.450000762939453
2017-02-14,30.450000762939453
2017-02-15,30.940000534057617
2017-02-16,30.39999961853028
2017-02-17,30.21999931335449
2017-02-21,30.549999237060547
2017-02-22,30.31999969482422
2017-02-23,29.82999992370605
2017-02-24,29.540000915527344
2017-02-27,29.790000915527344
2017-02-28,29.540000915527344
2017-03-01,30.0
2017-03-02,29.68000030517578
2017-03-03,29.65999984741211
2017-03-06,29.520000457763672
2017-03-07,29.38999938964844
2017-03-08,29.100000381469727
2017-03-09,28.6200008392334
2017-03-10,28.940000534057617
2017-03-13,30.350000381469727
2017-03-14,30.239999771118164
2017-03-15,30.51000022888184
2017-03-16,30.600000381469727
2017-03-17,30.59000015258789
2017-03-20,30.530000686645508
2017-03-21,30.01000022888184
2017-03-22,29.979999542236328
2017-03-23,29.88999938964844
2017-03-24,29.68000030517578
2017-03-27,29.59000015258789
2017-03-28,29.6200008392334
2017-03-29,29.309999465942383
2017-03-30,29.690000534057617
2017-03-31,29.700000762939453
2017-04-03,29.540000915527344
2017-04-04,29.63999938964844
2017-04-05,29.46999931335449
2017-04-06,29.76000022888184
2017-04-07,29.38999938964844
2017-04-10,29.440000534057617
2017-04-11,29.239999771118164
2017-04-12,29.26000022888184
2017-04-13,28.86000061035156
2017-04-17,29.25
2017-04-18,29.600000381469727
2017-04-19,30.059999465942383
2017-04-20,30.21999931335449
2017-04-21,30.280000686645508
2017-04-24,30.43000030517578
2017-04-25,30.88999938964844
2017-04-26,31.270000457763672
2017-04-27,30.96999931335449
2017-04-28,30.84000015258789
2017-05-01,30.84000015258789
2017-05-02,30.75
2017-05-03,30.790000915527344
2017-05-04,30.26000022888184
2017-05-05,30.280000686645508
2017-05-08,30.1200008392334
2017-05-09,29.989999771118164
2017-05-10,30.020000457763672
2017-05-11,30.0
2017-05-12,29.90999984741211
2017-05-15,30.11000061035156
2017-05-16,30.209999084472656
2017-05-17,29.31999969482422
2017-05-18,29.280000686645508
2017-05-19,29.8700008392334
2017-05-22,31.8799991607666
2017-05-23,32.470001220703125
2017-05-24,32.529998779296875
2017-05-25,32.470001220703125
2017-05-26,32.58000183105469
2017-05-30,32.86000061035156
2017-05-31,32.880001068115234
2017-06-01,33.45000076293945
