,TECH
2018-09-27,50.95750045776367
2018-09-28,51.02750015258789
2018-10-01,50.95000076293945
2018-10-02,50.41749954223633
2018-10-03,50.08250045776367
2018-10-04,48.33250045776367
2018-10-05,48.04999923706055
2018-10-08,47.36000061035156
2018-10-09,47.13249969482422
2018-10-10,45.59999847412109
2018-10-11,45.16249847412109
2018-10-12,46.25749969482422
2018-10-15,45.54750061035156
2018-10-16,46.34749984741211
2018-10-17,45.77750015258789
2018-10-18,45.8125
2018-10-19,44.375
2018-10-22,45.15999984741211
2018-10-23,45.84249877929688
2018-10-24,43.41999816894531
2018-10-25,44.959999084472656
2018-10-26,45.040000915527344
2018-10-29,44.3650016784668
2018-10-30,41.587501525878906
2018-10-31,41.93000030517578
2018-11-01,42.337501525878906
2018-11-02,42.557498931884766
2018-11-05,42.64250183105469
2018-11-06,43.165000915527344
2018-11-07,44.66749954223633
2018-11-08,43.21749877929688
2018-11-09,42.70000076293945
2018-11-12,40.91749954223633
2018-11-13,40.4900016784668
2018-11-14,40.352500915527344
2018-11-15,40.76250076293945
2018-11-16,40.057498931884766
2018-11-19,38.78749847412109
2018-11-20,39.08000183105469
2018-11-21,39.119998931884766
2018-11-23,39.869998931884766
2018-11-26,39.682498931884766
2018-11-27,39.54499816894531
2018-11-28,40.790000915527344
2018-11-29,40.595001220703125
2018-11-30,40.35499954223633
2018-12-03,41.0525016784668
2018-12-04,40.09749984741211
2018-12-06,40.122501373291016
2018-12-07,39.05500030517578
2018-12-10,38.907501220703125
2018-12-11,39.38249969482422
2018-12-12,40.494998931884766
2018-12-13,38.91749954223633
2018-12-14,37.79499816894531
2018-12-17,36.70000076293945
2018-12-18,36.53749847412109
2018-12-19,36.3849983215332
2018-12-20,35.3224983215332
2018-12-21,34.4474983215332
2018-12-24,33.1875
2018-12-26,34.83000183105469
2018-12-27,35.345001220703125
2018-12-28,35.4375
2018-12-31,36.18000030517578
2019-01-02,35.477500915527344
2019-01-03,34.022499084472656
2019-01-04,36.122501373291016
2019-01-07,36.470001220703125
2019-01-08,36.83000183105469
2019-01-09,37.2400016784668
2019-01-10,38.42250061035156
2019-01-11,39.442501068115234
2019-01-14,39.06999969482422
2019-01-15,39.70000076293945
2019-01-16,40.08000183105469
2019-01-17,40.48749923706055
2019-01-18,40.79249954223633
2019-01-22,40.25249862670898
2019-01-23,40.532501220703125
2019-01-24,40.560001373291016
2019-01-25,41.0724983215332
2019-01-28,40.98500061035156
2019-01-29,41.13249969482422
2019-01-30,42.09749984741211
2019-01-31,43.6150016784668
2019-02-01,43.92250061035156
2019-02-04,44.44499969482422
2019-02-05,47.14500045776367
2019-02-06,46.807498931884766
2019-02-07,46.057498931884766
2019-02-08,45.932498931884766
2019-02-11,45.95000076293945
2019-02-12,46.66249847412109
2019-02-13,47.26250076293945
2019-02-14,47.13750076293945
2019-02-15,47.907501220703125
2019-02-19,47.96749877929688
2019-02-20,48.4275016784668
2019-02-21,48.4900016784668
2019-02-22,48.74250030517578
2019-02-25,48.74250030517578
2019-02-26,47.88999938964844
2019-02-27,48.58000183105469
2019-02-28,48.47499847412109
2019-03-01,49.20249938964844
2019-03-04,48.79249954223633
2019-03-05,48.96500015258789
2019-03-06,47.81499862670898
2019-03-07,47.692501068115234
2019-03-08,47.375
2019-03-11,47.99250030517578
2019-03-12,48.34000015258789
2019-03-13,48.747501373291016
2019-03-14,48.630001068115234
2019-03-15,48.91249847412109
2019-03-18,49.1875
2019-03-19,49.76750183105469
2019-03-20,49.630001068115234
2019-03-21,50.11000061035156
2019-03-22,48.084999084472656
2019-03-25,48.54750061035156
2019-03-26,48.98500061035156
2019-03-27,48.560001373291016
2019-03-28,49.227500915527344
2019-03-29,49.63750076293945
2019-04-01,49.98249816894531
2019-04-02,50.04999923706055
2019-04-03,50.47249984741211
2019-04-04,49.727500915527344
2019-04-05,49.60749816894531
2019-04-08,50.41249847412109
2019-04-09,50.27750015258789
2019-04-10,50.852500915527344
2019-04-11,50.5625
2019-04-12,50.375
2019-04-15,50.15499877929688
2019-04-16,48.817501068115234
2019-04-17,47.18000030517578
2019-04-18,47.290000915527344
2019-04-22,47.790000915527344
2019-04-23,47.977500915527344
2019-04-24,47.73249816894531
2019-04-25,47.81999969482422
2019-04-26,48.7400016784668
2019-04-29,49.057498931884766
2019-04-30,51.147499084472656
2019-05-01,50.532501220703125
2019-05-02,50.33250045776367
2019-05-03,51.39250183105469
2019-05-06,51.837501525878906
2019-05-07,50.34749984741211
2019-05-08,50.48500061035156
2019-05-09,50.46749877929688
2019-05-10,50.43000030517578
2019-05-13,48.665000915527344
2019-05-14,49.34999847412109
2019-05-15,49.16999816894531
2019-05-16,50.380001068115234
2019-05-17,49.3650016784668
2019-05-20,49.36249923706055
2019-05-21,50.272499084472656
2019-05-22,50.5099983215332
2019-05-23,49.46500015258789
2019-05-24,49.4474983215332
2019-05-28,49.0099983215332
2019-05-29,48.4375
2019-05-30,48.73749923706055
2019-05-31,49.51250076293945
2019-06-03,49.48749923706055
2019-06-04,50.970001220703125
2019-06-05,51.64250183105469
2019-06-06,52.20249938964844
2019-06-07,52.48749923706055
2019-06-10,53.02999877929688
2019-06-11,53.165000915527344
2019-06-12,53.85749816894531
2019-06-13,52.810001373291016
2019-06-14,52.084999084472656
2019-06-17,51.807498931884766
2019-06-18,51.872501373291016
2019-06-19,52.782501220703125
2019-06-20,53.55500030517578
2019-06-21,52.57749938964844
2019-06-24,51.459999084472656
2019-06-25,50.86000061035156
2019-06-26,50.55500030517578
2019-06-27,51.59749984741211
2019-06-28,52.122501373291016
2019-07-01,52.31499862670898
2019-07-02,53.38750076293945
2019-07-03,54.18000030517578
2019-07-05,53.70249938964844
2019-07-08,53.102500915527344
2019-07-09,53.119998931884766
2019-07-10,53.25
2019-07-11,52.11750030517578
2019-07-12,52.32749938964844
2019-07-15,52.63999938964844
2019-07-16,52.56999969482422
2019-07-17,52.50749969482422
2019-07-18,53.60499954223633
2019-07-19,52.36750030517578
2019-07-22,52.18999862670898
2019-07-23,52.005001068115234
2019-07-24,52.25
2019-07-25,52.47249984741211
2019-07-26,53.65250015258789
2019-07-29,53.76499938964844
2019-07-30,52.61249923706055
2019-07-31,52.53749847412109
2019-08-01,52.744998931884766
2019-08-02,51.505001068115234
2019-08-05,49.872501373291016
2019-08-06,48.53749847412109
2019-08-07,47.602500915527344
2019-08-08,48.91749954223633
2019-08-09,48.022499084472656
2019-08-12,47.60749816894531
2019-08-13,49.29999923706055
2019-08-14,48.060001373291016
2019-08-15,48.212501525878906
2019-08-16,49.39250183105469
2019-08-19,48.47499847412109
2019-08-20,48.147499084472656
2019-08-21,48.3025016784668
2019-08-22,47.85749816894531
2019-08-23,46.90499877929688
2019-08-26,47.52000045776367
2019-08-27,47.27999877929688
2019-08-28,47.650001525878906
2019-08-29,48.15999984741211
2019-08-30,47.89250183105469
2019-09-03,46.41249847412109
2019-09-04,46.782501220703125
2019-09-05,47.45500183105469
2019-09-06,47.04499816894531
2019-09-09,45.88999938964844
2019-09-10,47.0099983215332
2019-09-11,48.91249847412109
2019-09-12,49.97999954223633
2019-09-13,50.23749923706055
2019-09-16,50.032501220703125
2019-09-17,49.41749954223633
2019-09-18,49.602500915527344
2019-09-19,49.375
2019-09-20,50.10749816894531
2019-09-23,50.54750061035156
2019-09-24,50.23500061035156
2019-09-25,50.375
2019-09-26,50.7400016784668
2019-09-27,49.33250045776367
2019-09-30,48.91749954223633
2019-10-01,47.41999816894531
2019-10-02,47.8849983215332
2019-10-03,49.209999084472656
2019-10-04,50.34999847412109
2019-10-07,50.41999816894531
2019-10-08,49.10749816894531
2019-10-09,50.2400016784668
2019-10-10,49.872501373291016
2019-10-11,50.23749923706055
2019-10-14,50.02750015258789
2019-10-15,50.15999984741211
2019-10-16,50.50749969482422
2019-10-17,50.375
2019-10-18,50.0625
2019-10-21,50.845001220703125
2019-10-22,50.16999816894531
2019-10-23,50.61000061035156
2019-10-24,50.40999984741211
2019-10-25,50.82749938964844
2019-10-28,52.29999923706055
2019-10-29,52.560001373291016
2019-10-30,52.29499816894531
2019-10-31,52.04249954223633
2019-11-01,52.59749984741211
2019-11-04,51.76250076293945
2019-11-05,51.17499923706055
2019-11-06,51.04750061035156
2019-11-07,50.74250030517578
2019-11-08,50.8025016784668
2019-11-11,50.76750183105469
2019-11-12,50.9900016784668
2019-11-13,51.22249984741211
2019-11-14,50.89500045776367
2019-11-15,53.11249923706055
2019-11-18,52.85499954223633
2019-11-19,54.084999084472656
