,WSM
2015-11-04,37.27000045776367
2015-11-05,37.79499816894531
2015-11-06,37.52000045776367
2015-11-09,37.29499816894531
2015-11-10,36.27000045776367
2015-11-11,35.72999954223633
2015-11-12,35.375
2015-11-13,33.650001525878906
2015-11-16,33.95500183105469
2015-11-17,32.6150016784668
2015-11-18,33.369998931884766
2015-11-19,33.10499954223633
2015-11-20,31.96999931335449
2015-11-23,31.815000534057617
2015-11-24,32.09000015258789
2015-11-25,32.005001068115234
2015-11-27,32.45000076293945
2015-11-30,31.665000915527344
2015-12-01,31.979999542236328
2015-12-02,31.7549991607666
2015-12-03,31.55500030517578
2015-12-04,31.76000022888184
2015-12-07,31.43000030517578
2015-12-08,31.59000015258789
2015-12-09,31.32999992370605
2015-12-10,31.315000534057617
2015-12-11,30.48500061035156
2015-12-14,29.52499961853028
2015-12-15,30.19499969482422
2015-12-16,30.56999969482422
2015-12-17,29.96500015258789
2015-12-18,29.165000915527344
2015-12-21,29.229999542236328
2015-12-22,29.5
2015-12-23,29.5049991607666
2015-12-24,29.26499938964844
2015-12-28,29.489999771118164
2015-12-29,29.790000915527344
2015-12-30,29.44499969482422
2015-12-31,29.20499992370605
2016-01-04,28.73500061035156
2016-01-05,28.7450008392334
2016-01-06,27.834999084472656
2016-01-07,28.2450008392334
2016-01-08,27.334999084472656
2016-01-11,26.70499992370605
2016-01-12,26.71999931335449
2016-01-13,26.07999992370605
2016-01-14,25.80500030517578
2016-01-15,25.225000381469727
2016-01-19,25.0049991607666
2016-01-20,24.4950008392334
2016-01-21,25.36000061035156
2016-01-22,26.145000457763672
2016-01-25,25.655000686645508
2016-01-26,25.795000076293945
2016-01-27,25.3700008392334
2016-01-28,24.75
2016-01-29,25.82999992370605
2016-02-01,25.82999992370605
2016-02-02,25.545000076293945
2016-02-03,25.065000534057617
2016-02-04,25.75
2016-02-05,26.084999084472656
2016-02-08,26.30500030517578
2016-02-09,26.05500030517578
2016-02-10,25.875
2016-02-11,25.6299991607666
2016-02-12,26.03499984741211
2016-02-16,27.084999084472656
2016-02-17,28.82999992370605
2016-02-18,28.95499992370605
2016-02-19,28.06999969482422
2016-02-22,28.415000915527344
2016-02-23,28.14999961853028
2016-02-24,28.405000686645508
2016-02-25,26.674999237060547
2016-02-26,27.48500061035156
2016-02-29,26.05500030517578
2016-03-01,27.084999084472656
2016-03-02,27.18000030517578
2016-03-03,27.895000457763672
2016-03-04,28.104999542236328
2016-03-07,28.71999931335449
2016-03-08,28.684999465942383
2016-03-09,28.375
2016-03-10,28.950000762939453
2016-03-11,28.934999465942383
2016-03-14,28.86000061035156
2016-03-15,29.104999542236328
2016-03-16,29.729999542236328
2016-03-17,27.8700008392334
2016-03-18,28.364999771118164
2016-03-21,28.375
2016-03-22,27.82999992370605
2016-03-23,27.655000686645508
2016-03-24,27.11000061035156
2016-03-28,27.1200008392334
2016-03-29,27.18000030517578
2016-03-30,27.864999771118164
2016-03-31,27.3700008392334
2016-04-01,27.39999961853028
2016-04-04,27.05500030517578
2016-04-05,27.95499992370605
2016-04-06,28.11000061035156
2016-04-07,27.700000762939453
2016-04-08,27.63999938964844
2016-04-11,27.90999984741211
2016-04-12,28.59000015258789
2016-04-13,29.59000015258789
2016-04-14,30.18000030517578
2016-04-15,30.45499992370605
2016-04-18,30.1299991607666
2016-04-19,29.84499931335449
2016-04-20,29.6200008392334
2016-04-21,29.350000381469727
2016-04-22,29.76000022888184
2016-04-25,29.350000381469727
2016-04-26,30.479999542236328
2016-04-27,30.77499961853028
2016-04-28,29.39999961853028
2016-04-29,29.38999938964844
2016-05-02,29.979999542236328
2016-05-03,29.38500022888184
2016-05-04,29.299999237060547
2016-05-05,28.96500015258789
2016-05-06,28.7450008392334
2016-05-09,28.790000915527344
2016-05-10,29.0049991607666
2016-05-11,27.4950008392334
2016-05-12,27.2549991607666
2016-05-13,26.30500030517578
2016-05-16,25.549999237060547
2016-05-17,25.125
2016-05-18,24.01000022888184
2016-05-19,24.559999465942383
2016-05-20,25.040000915527344
2016-05-23,25.065000534057617
2016-05-24,25.440000534057617
2016-05-25,26.049999237060547
2016-05-26,25.9950008392334
2016-05-27,26.89999961853028
2016-05-31,26.520000457763672
2016-06-01,26.575000762939453
2016-06-02,26.959999084472656
2016-06-03,26.625
2016-06-06,26.979999542236328
2016-06-07,27.350000381469727
2016-06-08,27.59000015258789
2016-06-09,26.06999969482422
2016-06-10,25.655000686645508
2016-06-13,25.51499938964844
2016-06-14,25.709999084472656
2016-06-15,25.98500061035156
2016-06-16,25.989999771118164
2016-06-17,26.309999465942383
2016-06-20,26.5
2016-06-21,26.1200008392334
2016-06-22,26.81999969482422
2016-06-23,27.200000762939453
