,MPWR
2019-09-13,161.5500030517578
2019-09-16,160.3000030517578
2019-09-17,157.89999389648438
2019-09-18,158.33999633789062
2019-09-19,156.35000610351562
2019-09-20,154.27000427246094
2019-09-23,157.17999267578125
2019-09-24,157.27999877929688
2019-09-25,159.9600067138672
2019-09-26,160.22000122070312
2019-09-27,156.6199951171875
2019-09-30,155.6300048828125
2019-10-01,153.35000610351562
2019-10-02,149.92999267578125
2019-10-03,151.72999572753906
2019-10-04,152.92999267578125
2019-10-07,149.2100067138672
2019-10-08,141.80999755859375
2019-10-09,135.14999389648438
2019-10-10,137.02000427246094
2019-10-11,138.1300048828125
2019-10-14,142.52000427246094
2019-10-15,144.61000061035156
2019-10-16,141.86000061035156
2019-10-17,142.72000122070312
2019-10-18,142.11000061035156
2019-10-21,145.39999389648438
2019-10-22,144.2100067138672
2019-10-23,150.69000244140625
2019-10-24,150.24000549316406
2019-10-25,152.3300018310547
2019-10-28,153.89999389648438
2019-10-29,152.27999877929688
2019-10-30,151.67999267578125
2019-10-31,149.9199981689453
2019-11-01,155.5800018310547
2019-11-04,161.10000610351562
2019-11-05,162.5800018310547
2019-11-06,160.14999389648438
2019-11-07,163.36000061035156
2019-11-08,165.0399932861328
2019-11-11,163.89999389648438
2019-11-12,162.5500030517578
2019-11-13,160.27000427246094
2019-11-14,160.1300048828125
2019-11-15,162.5
2019-11-18,161.1300048828125
2019-11-19,161.75999450683594
2019-11-20,159.14999389648438
2019-11-21,158.4600067138672
2019-11-22,157.97999572753906
2019-11-25,164.11000061035156
2019-11-26,162.77999877929688
2019-11-27,163.19000244140625
2019-11-29,160.67999267578125
2019-12-02,158.0
2019-12-03,157.44000244140625
2019-12-04,161.82000732421875
2019-12-05,162.30999755859375
2019-12-06,165.99000549316406
2019-12-09,164.30999755859375
2019-12-10,165.1199951171875
2019-12-11,169.0500030517578
2019-12-12,173.75
2019-12-13,174.60000610351562
2019-12-16,177.22999572753906
2019-12-17,178.64999389648438
2019-12-18,178.83999633789062
2019-12-19,179.92999267578125
2019-12-20,182.88999938964844
2019-12-23,179.07000732421875
2019-12-24,178.33999633789062
2019-12-26,179.16000366210938
2019-12-27,178.41000366210938
2019-12-30,178.38999938964844
2019-12-31,178.02000427246094
2020-01-02,180.00999450683594
2020-01-03,176.75
2020-01-06,174.94000244140625
2020-01-07,176.57000732421875
2020-01-08,176.33999633789062
2020-01-09,178.72000122070312
2020-01-10,176.8699951171875
2020-01-13,179.30999755859375
2020-01-14,178.92999267578125
2020-01-15,178.1199951171875
2020-01-16,180.33999633789065
2020-01-17,181.6100006103516
2020-01-21,182.17999267578125
2020-01-22,181.69000244140625
2020-01-23,183.02999877929688
2020-01-24,183.2899932861328
2020-01-27,176.0500030517578
2020-01-28,180.27999877929688
2020-01-29,177.5
2020-01-30,178.5
2020-01-31,171.1699981689453
2020-02-03,175.2100067138672
2020-02-04,182.6199951171875
2020-02-05,186.9900054931641
2020-02-06,181.8600006103516
2020-02-07,180.2100067138672
2020-02-10,184.19000244140625
2020-02-11,189.5200042724609
2020-02-12,190.72999572753903
2020-02-13,191.42999267578125
2020-02-14,191.19000244140625
2020-02-18,185.3300018310547
2020-02-19,187.4600067138672
2020-02-20,184.0599975585937
2020-02-21,176.6300048828125
2020-02-24,165.8699951171875
2020-02-25,164.5399932861328
2020-02-26,164.22000122070312
2020-02-27,157.22000122070312
2020-02-28,158.63999938964844
2020-03-02,164.1199951171875
2020-03-03,162.2100067138672
2020-03-04,171.5399932861328
2020-03-05,172.3300018310547
2020-03-06,166.05999755859375
2020-03-09,148.50999450683594
2020-03-10,163.6199951171875
2020-03-11,155.8000030517578
2020-03-12,145.99000549316406
2020-03-13,170.55999755859375
2020-03-16,135.97000122070312
2020-03-17,159.10000610351562
2020-03-18,141.6300048828125
2020-03-19,150.44000244140625
2020-03-20,135.22000122070312
2020-03-23,139.85000610351562
2020-03-24,162.49000549316406
2020-03-25,158.30999755859375
2020-03-26,174.77999877929688
2020-03-27,161.6999969482422
2020-03-30,165.19000244140625
2020-03-31,167.4600067138672
2020-04-01,159.4199981689453
2020-04-02,157.52000427246094
2020-04-03,153.4199981689453
2020-04-06,170.0
2020-04-07,166.85000610351562
2020-04-08,173.47999572753906
2020-04-09,167.92999267578125
2020-04-13,171.89999389648438
2020-04-14,183.8800048828125
2020-04-15,178.50999450683594
2020-04-16,183.8000030517578
2020-04-17,185.7700042724609
2020-04-20,184.22999572753903
2020-04-21,177.1300048828125
2020-04-22,184.77999877929688
2020-04-23,181.2700042724609
2020-04-24,186.0399932861328
2020-04-27,193.8699951171875
2020-04-28,191.3099975585937
2020-04-29,203.5500030517578
2020-04-30,199.91000366210932
2020-05-01,189.0
2020-05-04,189.7700042724609
2020-05-05,196.94000244140625
2020-05-06,200.75
2020-05-07,203.07000732421875
2020-05-08,211.2700042724609
2020-05-11,210.5
2020-05-12,209.5
2020-05-13,199.77999877929688
2020-05-14,200.9600067138672
2020-05-15,193.009994506836
