,FDS
2018-10-05,222.5599975585937
2018-10-08,219.67999267578125
2018-10-09,222.3000030517578
2018-10-10,215.57000732421875
2018-10-11,211.7400054931641
2018-10-12,212.8600006103516
2018-10-15,211.5599975585937
2018-10-16,216.91000366210932
2018-10-17,217.509994506836
2018-10-18,217.47999572753903
2018-10-19,219.67999267578125
2018-10-22,220.8999938964844
2018-10-23,218.1699981689453
2018-10-24,215.3000030517578
2018-10-25,215.75
2018-10-26,213.38999938964844
2018-10-29,212.8500061035156
2018-10-30,218.5200042724609
2018-10-31,223.759994506836
2018-11-01,221.8800048828125
2018-11-02,223.509994506836
2018-11-05,224.5800018310547
2018-11-06,224.5599975585937
2018-11-07,229.5399932861328
2018-11-08,231.1100006103516
2018-11-09,230.759994506836
2018-11-12,227.1699981689453
2018-11-13,227.57000732421875
2018-11-14,223.8999938964844
2018-11-15,227.88999938964844
2018-11-16,230.9499969482422
2018-11-19,230.259994506836
2018-11-20,226.5599975585937
2018-11-21,227.97999572753903
2018-11-23,228.3300018310547
2018-11-26,231.1100006103516
2018-11-27,233.6000061035156
2018-11-28,235.32000732421875
2018-11-29,233.5500030517578
2018-11-30,234.4900054931641
2018-12-03,234.5399932861328
2018-12-04,227.7400054931641
2018-12-06,226.4199981689453
2018-12-07,223.6999969482422
2018-12-10,222.44000244140625
2018-12-11,223.5599975585937
2018-12-12,228.0200042724609
2018-12-13,228.0599975585937
2018-12-14,223.1100006103516
2018-12-17,217.5800018310547
2018-12-18,208.3699951171875
2018-12-19,200.9900054931641
2018-12-20,201.0800018310547
2018-12-21,194.42999267578125
2018-12-24,188.5500030517578
2018-12-26,197.5500030517578
2018-12-27,200.16000366210932
2018-12-28,199.4600067138672
2018-12-31,200.1300048828125
2019-01-02,199.3999938964844
2019-01-03,194.0
2019-01-04,200.0399932861328
2019-01-07,200.25
2019-01-08,202.72000122070312
2019-01-09,205.2899932861328
2019-01-10,205.07000732421875
2019-01-11,203.7100067138672
2019-01-14,203.7700042724609
2019-01-15,207.8800048828125
2019-01-16,209.47999572753903
2019-01-17,211.0
2019-01-18,214.4499969482422
2019-01-22,212.38999938964844
2019-01-23,214.52999877929688
2019-01-24,213.8600006103516
2019-01-25,214.25
2019-01-28,214.17999267578125
2019-01-29,212.9900054931641
2019-01-30,214.67999267578125
2019-01-31,218.6300048828125
2019-02-01,219.8000030517578
2019-02-04,219.69000244140625
2019-02-05,221.94000244140625
2019-02-06,218.6100006103516
2019-02-07,220.5800018310547
2019-02-08,221.33999633789065
2019-02-11,220.57000732421875
2019-02-12,221.88999938964844
2019-02-13,221.8500061035156
2019-02-14,221.7100067138672
2019-02-15,224.4499969482422
2019-02-19,225.83999633789065
2019-02-20,228.0200042724609
2019-02-21,227.9900054931641
2019-02-22,231.5399932861328
2019-02-25,231.6300048828125
2019-02-26,231.6000061035156
2019-02-27,234.4600067138672
2019-02-28,235.1699981689453
2019-03-01,237.1100006103516
2019-03-04,235.3699951171875
2019-03-05,236.8800048828125
2019-03-06,234.72000122070312
2019-03-07,231.2400054931641
2019-03-08,231.1000061035156
2019-03-11,233.38999938964844
2019-03-12,233.3699951171875
2019-03-13,234.13999938964844
2019-03-14,236.1100006103516
2019-03-15,237.3600006103516
2019-03-18,238.6000061035156
2019-03-19,239.22999572753903
2019-03-20,236.8000030517578
2019-03-21,242.32000732421875
2019-03-22,234.5399932861328
2019-03-25,233.57000732421875
2019-03-26,246.3000030517578
2019-03-27,243.0399932861328
2019-03-28,244.92999267578125
2019-03-29,248.2700042724609
2019-04-01,249.2700042724609
2019-04-02,250.0500030517578
2019-04-03,252.3999938964844
2019-04-04,252.94000244140625
