,FIX
2019-05-16,49.06999969482422
2019-05-17,48.790000915527344
2019-05-20,48.27000045776367
2019-05-21,49.59999847412109
2019-05-22,49.459999084472656
2019-05-23,49.36000061035156
2019-05-24,49.27000045776367
2019-05-28,48.97999954223633
2019-05-29,48.650001525878906
2019-05-30,48.18999862670898
2019-05-31,47.18000030517578
2019-06-03,47.65999984741211
2019-06-04,49.27999877929688
2019-06-05,49.060001373291016
2019-06-06,49.060001373291016
2019-06-07,49.27999877929688
2019-06-10,48.77000045776367
2019-06-11,48.52999877929688
2019-06-12,48.43999862670898
2019-06-13,48.86000061035156
2019-06-14,48.97999954223633
2019-06-17,48.720001220703125
2019-06-18,50.36000061035156
2019-06-19,50.13999938964844
2019-06-20,51.18000030517578
2019-06-21,50.720001220703125
2019-06-24,49.970001220703125
2019-06-25,50.2400016784668
2019-06-26,50.130001068115234
2019-06-27,50.630001068115234
2019-06-28,50.9900016784668
2019-07-01,51.18999862670898
2019-07-02,51.09000015258789
2019-07-03,51.7400016784668
2019-07-05,51.77999877929688
2019-07-08,52.22999954223633
2019-07-09,52.220001220703125
2019-07-10,52.29999923706055
2019-07-11,52.15999984741211
2019-07-12,52.90999984741211
2019-07-15,52.880001068115234
2019-07-16,52.900001525878906
2019-07-17,52.81999969482422
2019-07-18,52.880001068115234
2019-07-19,52.20000076293945
2019-07-22,51.630001068115234
2019-07-23,52.20000076293945
2019-07-24,53.150001525878906
2019-07-25,52.369998931884766
2019-07-26,41.63999938964844
2019-07-29,40.470001220703125
2019-07-30,42.77000045776367
2019-07-31,42.0
2019-08-01,40.93999862670898
2019-08-02,41.31999969482422
2019-08-05,39.650001525878906
2019-08-06,39.66999816894531
2019-08-07,39.119998931884766
2019-08-08,40.810001373291016
2019-08-09,40.29999923706055
2019-08-12,38.93000030517578
2019-08-13,39.040000915527344
2019-08-14,37.7400016784668
2019-08-15,37.970001220703125
2019-08-16,38.45000076293945
2019-08-19,38.40999984741211
2019-08-20,37.79999923706055
2019-08-21,38.13999938964844
2019-08-22,38.38999938964844
2019-08-23,36.790000915527344
2019-08-26,37.04999923706055
2019-08-27,36.56999969482422
2019-08-28,37.0
2019-08-29,38.04999923706055
2019-08-30,38.65999984741211
2019-09-03,37.59000015258789
2019-09-04,37.38999938964844
2019-09-05,38.38999938964844
2019-09-06,37.97999954223633
2019-09-09,39.36000061035156
