,EG
2016-01-21,169.35000610351562
2016-01-22,172.44000244140625
2016-01-25,170.36000061035156
2016-01-26,173.00999450683594
2016-01-27,172.27999877929688
2016-01-28,174.4600067138672
2016-01-29,178.94000244140625
2016-02-01,180.6199951171875
2016-02-02,176.7100067138672
2016-02-03,177.6999969482422
2016-02-04,182.5599975585937
2016-02-05,180.00999450683594
2016-02-08,187.3500061035156
2016-02-09,187.91000366210932
2016-02-10,184.58999633789065
2016-02-11,182.9199981689453
2016-02-12,185.66000366210932
2016-02-16,184.69000244140625
2016-02-17,185.32000732421875
2016-02-18,185.92999267578125
2016-02-19,186.5500030517578
2016-02-22,186.0599975585937
2016-02-23,186.509994506836
2016-02-24,187.6499938964844
2016-02-25,189.2899932861328
2016-02-26,186.8699951171875
2016-02-29,186.1300048828125
2016-03-01,190.94000244140625
2016-03-02,191.8500061035156
2016-03-03,191.97999572753903
2016-03-04,193.6000061035156
2016-03-07,193.8000030517578
2016-03-08,192.38999938964844
2016-03-09,193.3500061035156
2016-03-10,193.6199951171875
2016-03-11,196.0800018310547
2016-03-14,195.8099975585937
2016-03-15,193.1699981689453
2016-03-16,195.1199951171875
2016-03-17,194.7400054931641
2016-03-18,191.2899932861328
2016-03-21,193.91000366210932
2016-03-22,193.509994506836
2016-03-23,193.3300018310547
2016-03-24,191.3600006103516
2016-03-28,194.41000366210932
2016-03-29,195.77999877929688
2016-03-30,196.8000030517578
2016-03-31,197.42999267578125
2016-04-01,199.2700042724609
2016-04-04,197.8000030517578
2016-04-05,195.67999267578125
2016-04-06,195.9199981689453
2016-04-07,195.22999572753903
2016-04-08,194.8800048828125
2016-04-11,194.8600006103516
2016-04-12,197.22000122070312
2016-04-13,199.0599975585937
2016-04-14,197.6300048828125
2016-04-15,197.67999267578125
2016-04-18,197.8699951171875
2016-04-19,197.88999938964844
2016-04-20,197.6000061035156
2016-04-21,191.58999633789065
2016-04-22,193.3699951171875
2016-04-25,193.42999267578125
2016-04-26,185.8300018310547
2016-04-27,184.8000030517578
2016-04-28,184.33999633789065
2016-04-29,184.8999938964844
2016-05-02,186.0599975585937
2016-05-03,184.7100067138672
2016-05-04,182.75
2016-05-05,183.1699981689453
2016-05-06,181.52999877929688
