,ODFL
2017-05-02,29.446666717529297
2017-05-03,29.24333381652832
2017-05-04,29.07999992370605
2017-05-05,28.809999465942383
2017-05-08,28.46666717529297
2017-05-09,28.38333320617676
2017-05-10,28.293333053588867
2017-05-11,28.0
2017-05-12,27.99666786193848
2017-05-15,28.170000076293945
2017-05-16,28.433332443237305
2017-05-17,27.786666870117188
2017-05-18,28.3933334350586
2017-05-19,28.663333892822266
2017-05-22,28.93000030517578
2017-05-23,29.270000457763672
2017-05-24,29.65333366394043
2017-05-25,29.916667938232425
2017-05-26,29.68666648864746
2017-05-30,29.83333206176757
2017-05-31,29.773332595825195
2017-06-01,30.0
2017-06-02,30.09333229064941
2017-06-05,30.459999084472656
2017-06-06,30.63999938964844
2017-06-07,31.190000534057617
2017-06-08,31.25
2017-06-09,31.296667098999023
2017-06-12,31.63666725158692
2017-06-13,31.81999969482422
2017-06-14,31.3933334350586
2017-06-15,31.406667709350582
2017-06-16,31.56666755676269
2017-06-19,31.63666725158692
2017-06-20,30.88999938964844
2017-06-21,30.71666717529297
2017-06-22,30.479999542236328
2017-06-23,30.71333312988281
2017-06-26,30.82333374023437
2017-06-27,30.953332901000977
2017-06-28,31.913333892822266
2017-06-29,31.670000076293945
2017-06-30,31.74666786193848
2017-07-03,32.26666641235352
2017-07-05,32.53666687011719
2017-07-06,32.290000915527344
2017-07-07,32.61333465576172
2017-07-10,32.71666717529297
2017-07-11,32.526668548583984
2017-07-12,33.00666809082031
2017-07-13,33.08000183105469
2017-07-14,33.33000183105469
2017-07-17,33.12333297729492
2017-07-18,32.77000045776367
2017-07-19,32.709999084472656
2017-07-20,32.380001068115234
2017-07-21,32.483333587646484
2017-07-24,32.880001068115234
2017-07-25,33.30666732788086
2017-07-26,33.46666717529297
2017-07-27,32.133331298828125
2017-07-28,32.68333435058594
2017-07-31,31.96999931335449
2017-08-01,31.479999542236328
2017-08-02,31.426666259765625
2017-08-03,31.530000686645508
2017-08-04,32.073333740234375
2017-08-07,32.133331298828125
2017-08-08,32.25
2017-08-09,32.35333251953125
2017-08-10,31.76000022888184
2017-08-11,32.09333419799805
2017-08-14,32.58000183105469
2017-08-15,32.53333282470703
2017-08-16,32.293331146240234
2017-08-17,31.809999465942383
2017-08-18,31.59666633605957
2017-08-21,31.273332595825195
2017-08-22,31.68666648864746
2017-08-23,31.253332138061523
2017-08-24,31.196666717529297
2017-08-25,31.80666732788086
2017-08-28,32.40666580200195
2017-08-29,33.04999923706055
2017-08-30,33.380001068115234
2017-08-31,33.29999923706055
2017-09-01,33.400001525878906
2017-09-05,33.413333892822266
2017-09-06,33.369998931884766
2017-09-07,33.40666580200195
2017-09-08,33.97666549682617
