,ITW
2017-12-07,166.49000549316406
2017-12-08,166.49000549316406
2017-12-11,165.02999877929688
2017-12-12,163.8800048828125
2017-12-13,163.82000732421875
2017-12-14,162.64999389648438
2017-12-15,165.1699981689453
2017-12-18,166.05999755859375
2017-12-19,167.4600067138672
2017-12-20,168.5500030517578
2017-12-21,168.25999450683594
2017-12-22,167.1300048828125
2017-12-26,167.10000610351562
2017-12-27,167.1300048828125
2017-12-28,166.7100067138672
2017-12-29,166.85000610351562
2018-01-02,165.27000427246094
2018-01-03,165.9600067138672
2018-01-04,166.14999389648438
2018-01-05,166.02999877929688
2018-01-08,167.57000732421875
2018-01-09,168.86000061035156
2018-01-10,167.30999755859375
2018-01-11,169.0
2018-01-12,170.52000427246094
2018-01-16,169.22000122070312
2018-01-17,171.02000427246094
2018-01-18,170.32000732421875
2018-01-19,172.4199981689453
2018-01-22,173.38999938964844
2018-01-23,173.05999755859375
2018-01-24,173.75999450683594
2018-01-25,174.75999450683594
2018-01-26,178.8800048828125
2018-01-29,176.89999389648438
2018-01-30,175.19000244140625
2018-01-31,173.6699981689453
2018-02-01,173.0800018310547
2018-02-02,170.3800048828125
2018-02-05,161.1199951171875
2018-02-06,164.13999938964844
2018-02-07,163.44000244140625
2018-02-08,156.14999389648438
2018-02-09,160.1300048828125
2018-02-12,161.4199981689453
2018-02-13,161.85000610351562
2018-02-14,162.47000122070312
2018-02-15,163.36000061035156
2018-02-16,162.5500030517578
2018-02-20,161.33999633789062
2018-02-21,161.25999450683594
2018-02-22,163.32000732421875
2018-02-23,163.9600067138672
2018-02-26,165.4499969482422
2018-02-27,163.24000549316406
2018-02-28,161.44000244140625
2018-03-01,158.44000244140625
2018-03-02,158.55999755859375
2018-03-05,159.67999267578125
2018-03-06,161.64999389648438
2018-03-07,163.0
2018-03-08,166.25
2018-03-09,170.3000030517578
2018-03-12,169.1999969482422
2018-03-13,169.92999267578125
2018-03-14,169.33999633789062
2018-03-15,170.17999267578125
2018-03-16,170.9600067138672
2018-03-19,167.6300048828125
2018-03-20,167.8000030517578
2018-03-21,168.22000122070312
2018-03-22,162.75
2018-03-23,156.91000366210938
2018-03-26,160.00999450683594
2018-03-27,155.63999938964844
2018-03-28,153.86000061035156
2018-03-29,156.66000366210938
2018-04-02,152.86000061035156
2018-04-03,155.36000061035156
2018-04-04,158.02999877929688
2018-04-05,158.72000122070312
2018-04-06,152.60000610351562
2018-04-09,152.58999633789062
2018-04-10,156.25999450683594
2018-04-11,154.5
2018-04-12,155.74000549316406
2018-04-13,155.02000427246094
2018-04-16,156.36000061035156
2018-04-17,157.97000122070312
2018-04-18,159.39999389648438
2018-04-19,159.08999633789062
2018-04-20,158.2899932861328
2018-04-23,156.60000610351562
